head;relation;tail
bicycle and related repairers;exactMatch;bicycle and related repairers
prison guards;exactMatch;prison guards
army major;exactMatch;army major
yarn spinner;exactMatch;yarn spinner
electronic musical instrument maker;exactMatch;electronic musical instrument maker
financial analysts and advisors;exactMatch;financial analysts and advisors
firefighting and prevention workers;exactMatch;firefighting and prevention workers
immigration policy officer;exactMatch;immigration policy officer
nuclear monitoring technicians;exactMatch;nuclear monitoring technicians
audiovisual equipment installers and repairers;exactMatch;audiovisual equipment installers and repairers
transport technology vocational teacher;exactMatch;transport technology vocational teacher
advertising, marketing, promotions, public relations, and sales managers;exactMatch;advertising, marketing, promotions, public relations, and sales managers
database and network administrators and architects;exactMatch;database and network administrators and architects
meat and meat products shop manager;exactMatch;meat and meat products shop manager
diesel engine mechanic;exactMatch;diesel engine mechanic
other healthcare support occupations;exactMatch;other healthcare support occupations
heat treatment furnace operator;exactMatch;heat treatment furnace operator
granulator machine operator;exactMatch;granulator machine operator
hardware and paint specialised seller;exactMatch;hardware and paint specialised seller
aquaculture hatchery manager;exactMatch;aquaculture hatchery manager
welders and flamecutters;exactMatch;welders and flamecutters
meter readers and vending-machine collectors;exactMatch;meter readers and vending-machine collectors
engraving machine operator;exactMatch;engraving machine operator
wholesale merchant in mining, construction and civil engineering machinery;exactMatch;wholesale merchant in mining, construction and civil engineering machinery
nuclear power reactor operators;exactMatch;nuclear power reactor operators
medical secretaries and administrative assistants;exactMatch;medical secretaries and administrative assistants
medical imaging and therapeutic equipment technicians;exactMatch;medical imaging and therapeutic equipment technicians
motorcycle delivery person;exactMatch;motorcycle delivery person
chemical products distribution manager;exactMatch;chemical products distribution manager
environmental engineering technologists and technicians;exactMatch;environmental engineering technologists and technicians
clinical research coordinators;exactMatch;clinical research coordinators
restoration technician;exactMatch;restoration technician
computer hardware engineering technician;exactMatch;computer hardware engineering technician
motor vehicle assembly supervisor;exactMatch;motor vehicle assembly supervisor
telecommunications equipment specialised seller;exactMatch;telecommunications equipment specialised seller
online marketer;exactMatch;online marketer
surgeons, all other;exactMatch;surgeons, all other
clothing technologist;exactMatch;clothing technologist
drama teacher;exactMatch;drama teacher
educational researcher;exactMatch;educational researcher
script supervisor;exactMatch;script supervisor
hides, skins and leather products distribution manager;exactMatch;hides, skins and leather products distribution manager
first-line supervisors of entertainment and recreation workers, except gambling services;exactMatch;first-line supervisors of entertainment and recreation workers, except gambling services
hotel, motel, and resort desk clerks;exactMatch;hotel, motel, and resort desk clerks
dangerous goods safety adviser;exactMatch;dangerous goods safety adviser
weaving and knitting machine operators;exactMatch;weaving and knitting machine operators
linguist;exactMatch;linguist
ict help desk agent;exactMatch;ict help desk agent
glass blowers, molders, benders, and finishers;exactMatch;glass blowers, molders, benders, and finishers
business and financial operations occupations;exactMatch;business and financial operations occupations
lifting truck operators;exactMatch;lifting truck operators
social work practice educator;exactMatch;social work practice educator
sporting accessories specialised seller;exactMatch;sporting accessories specialised seller
import export manager in meat and meat products;exactMatch;import export manager in meat and meat products
ground steward/ground stewardess;exactMatch;ground steward/ground stewardess
control panel assembler;exactMatch;control panel assembler
frame maker;exactMatch;frame maker
pilates teacher;exactMatch;pilates teacher
theme park technician;exactMatch;theme park technician
electronics engineers, except computer;exactMatch;electronics engineers, except computer
signal and track switch repairers;exactMatch;signal and track switch repairers
metal production process controllers;exactMatch;metal production process controllers
performance hairdresser;exactMatch;performance hairdresser
zoologists and wildlife biologists;exactMatch;zoologists and wildlife biologists
wholesale merchant in electrical household appliances;exactMatch;wholesale merchant in electrical household appliances
hospitality entertainment manager;exactMatch;hospitality entertainment manager
zoo educator;exactMatch;zoo educator
carpenters;exactMatch;carpenters
columnist;exactMatch;columnist
sales, marketing and public relations professionals;exactMatch;sales, marketing and public relations professionals
energy engineer;exactMatch;energy engineer
manicurist;exactMatch;manicurist
hairdresser assistant;exactMatch;hairdresser assistant
health and safety engineer;exactMatch;health and safety engineer
animal artificial insemination technician;exactMatch;animal artificial insemination technician
data analyst;exactMatch;data analyst
model makers, metal and plastic;exactMatch;model makers, metal and plastic
nitrator operator;exactMatch;nitrator operator
bicycle repairers;exactMatch;bicycle repairers
chemical plant manager;exactMatch;chemical plant manager
food safety inspector;exactMatch;food safety inspector
manufacturing facility manager;exactMatch;manufacturing facility manager
chipper operator;exactMatch;chipper operator
transportation workers, all other;exactMatch;transportation workers, all other
automated cable vehicle controller;exactMatch;automated cable vehicle controller
information security analysts;exactMatch;information security analysts
embalmers and crematory operators;exactMatch;embalmers and crematory operators
flour purifier operator;exactMatch;flour purifier operator
drilling machine operator;exactMatch;drilling machine operator
political affairs officer;exactMatch;political affairs officer
printing trades workers;exactMatch;printing trades workers
aquaculture and fisheries production managers;exactMatch;aquaculture and fisheries production managers
astronaut;exactMatch;astronaut
draughtspersons;exactMatch;draughtspersons
private pilot;exactMatch;private pilot
data entry clerk;exactMatch;data entry clerk
nuclear technicians;exactMatch;nuclear technicians
public administration manager;exactMatch;public administration manager
import export specialist in hides, skins and leather products;exactMatch;import export specialist in hides, skins and leather products
facilities managers;exactMatch;facilities managers
spray painters and varnishers;exactMatch;spray painters and varnishers
desalination technician;exactMatch;desalination technician
production managers in agriculture, forestry and fisheries;exactMatch;production managers in agriculture, forestry and fisheries
train cleaner;exactMatch;train cleaner
insurance sales agents;exactMatch;insurance sales agents
watch and clock repairer;exactMatch;watch and clock repairer
physical and engineering science technicians not elsewhere classified;exactMatch;physical and engineering science technicians not elsewhere classified
import export specialist in household goods;exactMatch;import export specialist in household goods
accountants;exactMatch;accountants
chemical engineering technician;exactMatch;chemical engineering technician
slate mixer;exactMatch;slate mixer
handicraft workers in wood, basketry and related materials;exactMatch;handicraft workers in wood, basketry and related materials
coding, proof-reading and related clerks;exactMatch;coding, proof-reading and related clerks
horticulture production manager;exactMatch;horticulture production manager
butcher;exactMatch;butcher
import export manager in clothing and footwear;exactMatch;import export manager in clothing and footwear
master coffee roaster;exactMatch;master coffee roaster
motion picture film developer;exactMatch;motion picture film developer
geotechnician;exactMatch;geotechnician
harvest diver;exactMatch;harvest diver
social sciences teachers, postsecondary;exactMatch;social sciences teachers, postsecondary
plastic products machine operators;exactMatch;plastic products machine operators
chimney sweep supervisor;exactMatch;chimney sweep supervisor
ebusiness manager;exactMatch;ebusiness manager
carpenter supervisor;exactMatch;carpenter supervisor
cosmetics and perfume specialised seller;exactMatch;cosmetics and perfume specialised seller
pharmaceutical quality specialist;exactMatch;pharmaceutical quality specialist
data scientists;exactMatch;data scientists
telecommunications engineers;exactMatch;telecommunications engineers
promoter;exactMatch;promoter
print finishing and binding workers;exactMatch;print finishing and binding workers
air transportation workers;exactMatch;air transportation workers
Computer Occupations;exactMatch;Computer Occupations
tunnel kiln operator;exactMatch;tunnel kiln operator
health practitioner support technologists and technicians;exactMatch;health practitioner support technologists and technicians
vessel operations coordinator;exactMatch;vessel operations coordinator
guitar maker;exactMatch;guitar maker
coppersmith;exactMatch;coppersmith
fish preparation operator;exactMatch;fish preparation operator
meter readers, utilities;exactMatch;meter readers, utilities
music teacher;exactMatch;music teacher
cytotechnologists;exactMatch;cytotechnologists
translator;exactMatch;translator
layout workers, metal and plastic;exactMatch;layout workers, metal and plastic
miscellaneous electrical and electronic equipment mechanics, installers, and repairers;exactMatch;miscellaneous electrical and electronic equipment mechanics, installers, and repairers
automotive engineering technician;exactMatch;automotive engineering technician
picture archiving and communication systems administrator;exactMatch;picture archiving and communication systems administrator
credit authorizers, checkers, and clerks;exactMatch;credit authorizers, checkers, and clerks
semiconductor processing technicians;exactMatch;semiconductor processing technicians
massage therapist;exactMatch;massage therapist
astrologer;exactMatch;astrologer
bridge and lock tenders;exactMatch;bridge and lock tenders
water and firewood collectors;exactMatch;water and firewood collectors
electrolytic cell maker;exactMatch;electrolytic cell maker
pensions administrator;exactMatch;pensions administrator
domestic energy assessor;exactMatch;domestic energy assessor
electrical line installers and repairers;exactMatch;electrical line installers and repairers
correspondence clerks;exactMatch;correspondence clerks
component engineer;exactMatch;component engineer
cultural facilities manager;exactMatch;cultural facilities manager
gas station operator;exactMatch;gas station operator
plasma cutting machine operator;exactMatch;plasma cutting machine operator
material recording, scheduling, dispatching, and distributing workers;exactMatch;material recording, scheduling, dispatching, and distributing workers
tailors, dressmakers, and sewers;exactMatch;tailors, dressmakers, and sewers
midwifery professionals;exactMatch;midwifery professionals
dairy processing operator;exactMatch;dairy processing operator
drywall installers, ceiling tile installers, and tapers;exactMatch;drywall installers, ceiling tile installers, and tapers
extruding and forming machine setters, operators, and tenders, synthetic and glass fibers;exactMatch;extruding and forming machine setters, operators, and tenders, synthetic and glass fibers
physicists;exactMatch;physicists
heating technician;exactMatch;heating technician
textile machine operator;exactMatch;textile machine operator
ground lighting officer;exactMatch;ground lighting officer
welders, cutters, solderers, and brazers;exactMatch;welders, cutters, solderers, and brazers
clothing operations manager;exactMatch;clothing operations manager
umpires, referees, and other sports officials;exactMatch;umpires, referees, and other sports officials
video and motion picture producer;exactMatch;video and motion picture producer
calculation engineer;exactMatch;calculation engineer
air force officer;exactMatch;air force officer
animal trainer;exactMatch;animal trainer
psychic;exactMatch;psychic
heating and ventilation service engineer;exactMatch;heating and ventilation service engineer
water systems engineering technician;exactMatch;water systems engineering technician
fish, crustaceans and molluscs distribution manager;exactMatch;fish, crustaceans and molluscs distribution manager
materials handler;exactMatch;materials handler
physical therapist assistants and aides;exactMatch;physical therapist assistants and aides
knitter;exactMatch;knitter
grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic;exactMatch;grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic
beauticians and related workers;exactMatch;beauticians and related workers
leather production manager;exactMatch;leather production manager
chemical equipment operators and tenders;exactMatch;chemical equipment operators and tenders
foster care support worker;exactMatch;foster care support worker
nannies;exactMatch;nannies
special education teachers, secondary school;exactMatch;special education teachers, secondary school
aircraft maintenance coordinator;exactMatch;aircraft maintenance coordinator
ict usability tester;exactMatch;ict usability tester
crossing guard;exactMatch;crossing guard
wine sommelier;exactMatch;wine sommelier
leather goods patternmaker;exactMatch;leather goods patternmaker
barbers;exactMatch;barbers
insurance rating analyst;exactMatch;insurance rating analyst
shotfirers and blasters;exactMatch;shotfirers and blasters
psychologists, all other;exactMatch;psychologists, all other
sauce production operator;exactMatch;sauce production operator
dry press operator;exactMatch;dry press operator
filigree maker;exactMatch;filigree maker
client relations manager;exactMatch;client relations manager
meat preparations operator;exactMatch;meat preparations operator
precision device inspector;exactMatch;precision device inspector
gerontology social worker;exactMatch;gerontology social worker
technical sales representative in mining and construction machinery;exactMatch;technical sales representative in mining and construction machinery
refractory materials repairers, except brickmasons;exactMatch;refractory materials repairers, except brickmasons
environmental and occupational health inspectors and associates;exactMatch;environmental and occupational health inspectors and associates
road maintenance worker;exactMatch;road maintenance worker
ship steward/ship stewardess;exactMatch;ship steward/ship stewardess
relocation officer;exactMatch;relocation officer
fisheries boatman;exactMatch;fisheries boatman
court clerk;exactMatch;court clerk
petroleum pump system operator;exactMatch;petroleum pump system operator
spa attendant;exactMatch;spa attendant
child care social worker;exactMatch;child care social worker
green coffee buyer;exactMatch;green coffee buyer
material moving workers, all other;exactMatch;material moving workers, all other
stagehand;exactMatch;stagehand
dentists, general;exactMatch;dentists, general
curators;exactMatch;curators
process control technicians;exactMatch;process control technicians
table saw operator;exactMatch;table saw operator
paper engineer;exactMatch;paper engineer
wholesale merchant in textiles and textile semi-finished and raw materials;exactMatch;wholesale merchant in textiles and textile semi-finished and raw materials
block machine operator;exactMatch;block machine operator
employment and vocational integration consultant;exactMatch;employment and vocational integration consultant
beauty salon manager;exactMatch;beauty salon manager
landfill supervisor;exactMatch;landfill supervisor
riggers;exactMatch;riggers
stockers and order fillers;exactMatch;stockers and order fillers
web content manager;exactMatch;web content manager
waste and scrap distribution manager;exactMatch;waste and scrap distribution manager
clinical perfusion scientist;exactMatch;clinical perfusion scientist
ict help desk manager;exactMatch;ict help desk manager
prosthetic-orthotics technician;exactMatch;prosthetic-orthotics technician
space science lecturer;exactMatch;space science lecturer
chiropractic assistant;exactMatch;chiropractic assistant
midwifery associate professionals;exactMatch;midwifery associate professionals
news anchor;exactMatch;news anchor
livestock and dairy producers;exactMatch;livestock and dairy producers
répétiteur;exactMatch;répétiteur
securities broker;exactMatch;securities broker
construction scaffolder;exactMatch;construction scaffolder
building materials shop manager;exactMatch;building materials shop manager
highway maintenance workers;exactMatch;highway maintenance workers
secretary;exactMatch;secretary
court administrative officer;exactMatch;court administrative officer
performing arts theatre instructor;exactMatch;performing arts theatre instructor
other protective service workers;exactMatch;other protective service workers
wind energy development managers;exactMatch;wind energy development managers
architecture lecturer;exactMatch;architecture lecturer
moulding machine technician;exactMatch;moulding machine technician
motor vehicle upholsterer;exactMatch;motor vehicle upholsterer
ship and boat captains and operators;exactMatch;ship and boat captains and operators
grants management officer;exactMatch;grants management officer
fine artists, including painters, sculptors, and illustrators;exactMatch;fine artists, including painters, sculptors, and illustrators
loss adjuster;exactMatch;loss adjuster
train driver;exactMatch;train driver
road transport maintenance scheduler;exactMatch;road transport maintenance scheduler
collection manager;exactMatch;collection manager
photographic products machine operators;exactMatch;photographic products machine operators
occupational driving instructor;exactMatch;occupational driving instructor
philosophy and religion teachers, postsecondary;exactMatch;philosophy and religion teachers, postsecondary
drawing artist;exactMatch;drawing artist
tracer powder blender;exactMatch;tracer powder blender
aircraft assembler;exactMatch;aircraft assembler
poultry breeder;exactMatch;poultry breeder
spring maker;exactMatch;spring maker
family support worker;exactMatch;family support worker
beauty salon attendant;exactMatch;beauty salon attendant
cardiovascular technologists and technicians;exactMatch;cardiovascular technologists and technicians
wind energy engineers;exactMatch;wind energy engineers
import export specialist in perfume and cosmetics;exactMatch;import export specialist in perfume and cosmetics
hospitality revenue manager;exactMatch;hospitality revenue manager
coffee, tea, cocoa and spices distribution manager;exactMatch;coffee, tea, cocoa and spices distribution manager
miscellaneous material moving workers;exactMatch;miscellaneous material moving workers
equine yard manager;exactMatch;equine yard manager
non-commissioned armed forces officers;exactMatch;non-commissioned armed forces officers
marine chief engineer;exactMatch;marine chief engineer
metal finishing, plating and coating machine operators;exactMatch;metal finishing, plating and coating machine operators
court administrator;exactMatch;court administrator
telecommunications engineering specialists;exactMatch;telecommunications engineering specialists
cellar operator;exactMatch;cellar operator
nursing and midwifery associate professionals;exactMatch;nursing and midwifery associate professionals
government minister;exactMatch;government minister
computer systems analysts;exactMatch;computer systems analysts
statistical, mathematical and related associate professionals;exactMatch;statistical, mathematical and related associate professionals
instructional designer;exactMatch;instructional designer
craft and related workers not elsewhere classified;exactMatch;craft and related workers not elsewhere classified
foreign language correspondence clerk;exactMatch;foreign language correspondence clerk
health teachers, postsecondary;exactMatch;health teachers, postsecondary
kitchen helpers;exactMatch;kitchen helpers
supervisors of construction and extraction workers;exactMatch;supervisors of construction and extraction workers
arts, design, entertainment, sports, and media occupations;exactMatch;arts, design, entertainment, sports, and media occupations
fashion model;exactMatch;fashion model
foreign language and literature teachers, postsecondary;exactMatch;foreign language and literature teachers, postsecondary
leather production planner;exactMatch;leather production planner
auctioneer;exactMatch;auctioneer
stage machinist;exactMatch;stage machinist
fundraising assistant;exactMatch;fundraising assistant
sound operator;exactMatch;sound operator
botanicals specialist;exactMatch;botanicals specialist
acute care nurses;exactMatch;acute care nurses
mine shift manager;exactMatch;mine shift manager
electromechanical equipment assembler;exactMatch;electromechanical equipment assembler
food science lecturer;exactMatch;food science lecturer
mining engineers, metallurgists and related professionals;exactMatch;mining engineers, metallurgists and related professionals
tumbling machine operator;exactMatch;tumbling machine operator
drill operator;exactMatch;drill operator
medical laboratory assistant;exactMatch;medical laboratory assistant
electrical cable assembler;exactMatch;electrical cable assembler
construction scaffolding supervisor;exactMatch;construction scaffolding supervisor
podiatrist;exactMatch;podiatrist
hand packers;exactMatch;hand packers
miscellaneous community and social service specialists;exactMatch;miscellaneous community and social service specialists
credit manager;exactMatch;credit manager
clothing development manager;exactMatch;clothing development manager
call centre analyst;exactMatch;call centre analyst
nonwoven  textile technician;exactMatch;nonwoven  textile technician
coffee grinder;exactMatch;coffee grinder
property appraiser;exactMatch;property appraiser
medical laboratory technology vocational teacher;exactMatch;medical laboratory technology vocational teacher
agricultural raw materials, seeds and animal feeds distribution manager;exactMatch;agricultural raw materials, seeds and animal feeds distribution manager
genealogist;exactMatch;genealogist
construction safety manager;exactMatch;construction safety manager
ict network architect;exactMatch;ict network architect
agricultural and food science technicians;exactMatch;agricultural and food science technicians
dental technician;exactMatch;dental technician
pharmaceutical goods distribution manager;exactMatch;pharmaceutical goods distribution manager
chief executives;exactMatch;chief executives
import export manager in textile industry machinery;exactMatch;import export manager in textile industry machinery
disc jockeys, except radio;exactMatch;disc jockeys, except radio
counter and rental clerks and parts salespersons;exactMatch;counter and rental clerks and parts salespersons
digital games developer;exactMatch;digital games developer
patternmakers, wood;exactMatch;patternmakers, wood
pest control workers;exactMatch;pest control workers
paper machine operator;exactMatch;paper machine operator
business services and administration managers not elsewhere classified;exactMatch;business services and administration managers not elsewhere classified
nursing lecturer;exactMatch;nursing lecturer
buyers and purchasing agents, farm products;exactMatch;buyers and purchasing agents, farm products
weather forecaster;exactMatch;weather forecaster
first-line supervisors of non-retail sales workers;exactMatch;first-line supervisors of non-retail sales workers
hospital social worker;exactMatch;hospital social worker
advertising sales agents;exactMatch;advertising sales agents
traditional chiefs and heads of village;exactMatch;traditional chiefs and heads of village
import export specialist in office machinery and equipment;exactMatch;import export specialist in office machinery and equipment
call centre supervisor;exactMatch;call centre supervisor
animal therapist;exactMatch;animal therapist
photojournalist;exactMatch;photojournalist
toymaker;exactMatch;toymaker
cabinetmakers and bench carpenters;exactMatch;cabinetmakers and bench carpenters
contact tracing agent;exactMatch;contact tracing agent
wholesale merchant in clothing and footwear;exactMatch;wholesale merchant in clothing and footwear
gas plant operators;exactMatch;gas plant operators
systems administrators;exactMatch;systems administrators
import export manager in waste and scrap;exactMatch;import export manager in waste and scrap
clothing quality inspector;exactMatch;clothing quality inspector
teaching professionals not elsewhere classified;exactMatch;teaching professionals not elsewhere classified
vineyard worker;exactMatch;vineyard worker
actors;exactMatch;actors
chemical manufacturing quality technician;exactMatch;chemical manufacturing quality technician
cemetery attendant;exactMatch;cemetery attendant
sign language interpreter;exactMatch;sign language interpreter
malt kiln operator;exactMatch;malt kiln operator
mediator;exactMatch;mediator
construction general contractor;exactMatch;construction general contractor
astronomer;exactMatch;astronomer
first-line supervisors of helpers, laborers, and material movers, hand;exactMatch;first-line supervisors of helpers, laborers, and material movers, hand
road construction worker;exactMatch;road construction worker
fleet commander;exactMatch;fleet commander
disc jockey;exactMatch;disc jockey
audit supervisor;exactMatch;audit supervisor
crop farm labourers;exactMatch;crop farm labourers
weaving textile technician;exactMatch;weaving textile technician
wholesale merchant in wood and construction materials;exactMatch;wholesale merchant in wood and construction materials
child care workers and teachers’ aides;exactMatch;child care workers and teachers’ aides
3d modeller;exactMatch;3d modeller
visual arts teacher;exactMatch;visual arts teacher
agricultural machinery and equipment distribution manager;exactMatch;agricultural machinery and equipment distribution manager
aircraft cargo operations coordinator;exactMatch;aircraft cargo operations coordinator
dredging supervisor;exactMatch;dredging supervisor
debt collector;exactMatch;debt collector
legislative drafter;exactMatch;legislative drafter
yeast distiller;exactMatch;yeast distiller
brand manager;exactMatch;brand manager
fire service vehicle operator;exactMatch;fire service vehicle operator
drug and alcohol addiction counsellor;exactMatch;drug and alcohol addiction counsellor
starch extraction operator;exactMatch;starch extraction operator
optical instrument repairer;exactMatch;optical instrument repairer
chemical engineers;exactMatch;chemical engineers
cartographer;exactMatch;cartographer
miscellaneous managers;exactMatch;miscellaneous managers
games development manager;exactMatch;games development manager
computer shop manager;exactMatch;computer shop manager
terrazzo workers and finishers;exactMatch;terrazzo workers and finishers
milling machine operator;exactMatch;milling machine operator
musicians, singers and composers;exactMatch;musicians, singers and composers
leather raw materials purchasing manager;exactMatch;leather raw materials purchasing manager
variety artist;exactMatch;variety artist
metal rolling mill operator;exactMatch;metal rolling mill operator
corporate investment banker;exactMatch;corporate investment banker
government planning inspector;exactMatch;government planning inspector
patternmakers, metal and plastic;exactMatch;patternmakers, metal and plastic
court jury coordinator;exactMatch;court jury coordinator
non-vessel operating common carrier;exactMatch;non-vessel operating common carrier
air separation plant operator;exactMatch;air separation plant operator
inland and coastal waters fishery workers;exactMatch;inland and coastal waters fishery workers
dentists;exactMatch;dentists
quantity surveyor;exactMatch;quantity surveyor
hospital pharmacist;exactMatch;hospital pharmacist
drywall and ceiling tile installers;exactMatch;drywall and ceiling tile installers
weaving machine operator;exactMatch;weaving machine operator
transport clerks;exactMatch;transport clerks
real estate sales agents;exactMatch;real estate sales agents
liquid waste treatment plant operator;exactMatch;liquid waste treatment plant operator
cigar inspector;exactMatch;cigar inspector
advertising specialist;exactMatch;advertising specialist
sociology teachers, postsecondary;exactMatch;sociology teachers, postsecondary
artistic director;exactMatch;artistic director
cultural centre director;exactMatch;cultural centre director
fruit and vegetables specialised seller;exactMatch;fruit and vegetables specialised seller
incinerator and water treatment plant operators;exactMatch;incinerator and water treatment plant operators
agricultural engineer;exactMatch;agricultural engineer
drivers and mobile plant operators;exactMatch;drivers and mobile plant operators
mathematics lecturer;exactMatch;mathematics lecturer
event electrician;exactMatch;event electrician
digital marketing manager;exactMatch;digital marketing manager
building frame and related trades workers;exactMatch;building frame and related trades workers
other production occupations;exactMatch;other production occupations
community health workers;exactMatch;community health workers
assayer;exactMatch;assayer
chiropractors;exactMatch;chiropractors
counselors, social workers, and other community and social service specialists;exactMatch;counselors, social workers, and other community and social service specialists
precision mechanics supervisor;exactMatch;precision mechanics supervisor
product grader;exactMatch;product grader
mining electrician;exactMatch;mining electrician
telephone switchboard operator;exactMatch;telephone switchboard operator
costume maker;exactMatch;costume maker
glass annealer;exactMatch;glass annealer
systems analysts;exactMatch;systems analysts
metal moulders and coremakers;exactMatch;metal moulders and coremakers
health psychologist;exactMatch;health psychologist
audio describer;exactMatch;audio describer
wholesale merchant in agricultural machinery and equipment;exactMatch;wholesale merchant in agricultural machinery and equipment
interior architect;exactMatch;interior architect
aircraft interior technician;exactMatch;aircraft interior technician
equine dental technician;exactMatch;equine dental technician
cocoa press operator;exactMatch;cocoa press operator
agricultural machinery technician;exactMatch;agricultural machinery technician
civil engineer;exactMatch;civil engineer
miscellaneous plant and system operators;exactMatch;miscellaneous plant and system operators
industrial-organizational psychologists;exactMatch;industrial-organizational psychologists
camera operators, television, video, and film;exactMatch;camera operators, television, video, and film
bioengineer;exactMatch;bioengineer
retail salespersons;exactMatch;retail salespersons
administrative and commercial managers;exactMatch;administrative and commercial managers
ict buyer;exactMatch;ict buyer
enterprise architect;exactMatch;enterprise architect
import export manager in electrical household appliances;exactMatch;import export manager in electrical household appliances
correctional services manager;exactMatch;correctional services manager
wholesale merchant in sugar, chocolate and sugar confectionery;exactMatch;wholesale merchant in sugar, chocolate and sugar confectionery
gambling cage workers;exactMatch;gambling cage workers
compliance officers;exactMatch;compliance officers
securities and finance dealers and brokers;exactMatch;securities and finance dealers and brokers
tram controller;exactMatch;tram controller
demolition worker;exactMatch;demolition worker
cutting workers;exactMatch;cutting workers
enameller;exactMatch;enameller
shoe and leather workers and repairers;exactMatch;shoe and leather workers and repairers
curriculum administrator;exactMatch;curriculum administrator
other cleaning workers;exactMatch;other cleaning workers
crane technician;exactMatch;crane technician
paperhanger supervisor;exactMatch;paperhanger supervisor
nursing associate professionals;exactMatch;nursing associate professionals
interior designer;exactMatch;interior designer
community and social service occupations;exactMatch;community and social service occupations
animal physiotherapist;exactMatch;animal physiotherapist
stationary plant and machine operators not elsewhere classified;exactMatch;stationary plant and machine operators not elsewhere classified
welding engineer;exactMatch;welding engineer
refuse workers;exactMatch;refuse workers
travel and tourism vocational teacher;exactMatch;travel and tourism vocational teacher
performance production manager;exactMatch;performance production manager
