head;relation;tail
cat-scratch disease;exactmatch;debre's syndrome
ornithosis;exactmatch;psittacosis
chlamydia;exactmatch;chlamydia trachomatis infectious disease
trachoma;exactmatch;active stage trachoma
hemorrhagic fever with renal syndrome;exactmatch;hfrs
plummer's disease;exactmatch;plummer disease
vertebral artery occlusion;exactmatch;occlusion and stenosis of vertebral artery
sarcoidosis;exactmatch;boeck sarcoid
lemierre's syndrome;exactmatch;lemierre syndrome
rickets;exactmatch;vitamin d hydroxylation-deficient rickets
pleural tuberculosis;exactmatch;tuberculous pleurisy in primary progressive tuberculosis
pre-eclampsia;exactmatch;hypertension induced by pregnancy
nephronophthisis 18;exactmatch;nphp18
nephronophthisis 7;exactmatch;nphp7
nephronophthisis-like nephropathy 1;exactmatch;nphpl1
nephronophthisis 11;exactmatch;nphp11
nephronophthisis 12;exactmatch;nphp12
nephronophthisis 9;exactmatch;nphp9
nephronophthisis 13;exactmatch;nphp13
nephronophthisis 14;exactmatch;nphp14
nephronophthisis 15;exactmatch;nphp15
nephronophthisis 16;exactmatch;nphp16
nephronophthisis 19;exactmatch;nphp19
nephronophthisis 3;exactmatch;nph3
nephronophthisis 20;exactmatch;nphp20
focal segmental glomerulosclerosis 1;exactmatch;fsgs1
focal segmental glomerulosclerosis 2;exactmatch;fsgs2
focal segmental glomerulosclerosis 5;exactmatch;fsgs5
focal segmental glomerulosclerosis 6;exactmatch;fsgs6
focal segmental glomerulosclerosis 7;exactmatch;fsgs7
focal segmental glomerulosclerosis 8;exactmatch;fsgs8
focal segmental glomerulosclerosis 9;exactmatch;fsgs9
congenital generalized lipodystrophy type 1;exactmatch;bscl1
nephronophthisis 4;exactmatch;nphp4
nephronophthisis 2;exactmatch;nph2
congenital generalized lipodystrophy type 3;exactmatch;bscl3
maturity-onset diabetes of the young type 5;exactmatch;cakut with diabetes
fanconi anemia complementation group p;exactmatch;fancp
fanconi anemia complementation group q;exactmatch;fancq
fanconi anemia complementation group n;exactmatch;fancn
fanconi anemia complementation group a;exactmatch;fanca
fanconi anemia complementation group o;exactmatch;fanco
fanconi anemia complementation group j;exactmatch;fancj
fanconi anemia complementation group b;exactmatch;fa2
maturity-onset diabetes of the young type 1;exactmatch;mody type 1
maturity-onset diabetes of the young type 2;exactmatch;mody glucokinase-related
maturity-onset diabetes of the young type 3;exactmatch;mody type 3
nephronophthisis 1;exactmatch;nph1
maturity-onset diabetes of the young type 4;exactmatch;mody type 4
maturity-onset diabetes of the young type 6;exactmatch;mody type 6
maturity-onset diabetes of the young type 8;exactmatch;mody type 8
maturity-onset diabetes of the young type 7;exactmatch;mody7
maturity-onset diabetes of the young type 9;exactmatch;mody9
maturity-onset diabetes of the young type 10;exactmatch;mody10
maturity-onset diabetes of the young type 11;exactmatch;mody11
maturity-onset diabetes of the young type 13;exactmatch;mody type 13
maturity-onset diabetes of the young type 14;exactmatch;mody14
congenital generalized lipodystrophy type 2;exactmatch;berardinelli-seip congenital lipodystrophy type 2
congenital generalized lipodystrophy type 4;exactmatch;bscl4
intellectual disability;exactmatch;mental retardation, autosomal recessive 15
hirschsprung's disease;exactmatch;hirschsprung disease
caplan's syndrome;exactmatch;caplan syndrome
yaws;exactmatch;bouba
pneumonic plague;exactmatch;primary pneumonic plague
chronic lymphocytic leukemia;exactmatch;b-cell chronic lymphocytic leukemia
klippel-feil syndrome;exactmatch;klippel-feil deformity, deafness and facial asymmetry
mooren's ulcer;exactmatch;mooren ulcer
tonsillitis;exactmatch;chronic tonsillitis
common cold;exactmatch;acute viral rhinopharyngitis
nasopharyngitis;exactmatch;chronic nasopharyngitis
dressler's syndrome;exactmatch;dressler syndrome
stomach cancer;exactmatch;ca greater curvature of stomach
supine hypotensive syndrome;exactmatch;antepartum maternal hypotension syndrome
oculocerebrorenal syndrome;exactmatch;lowe oculocerebrorenal syndrome
late yaws;exactmatch;gummatous frambeside
early yaws;exactmatch;bone and joint yaws lesion
metachromatic leukodystrophy;exactmatch;mld
retinitis pigmentosa;exactmatch;pericentral pigmentary retinopathy
krabbe disease;exactmatch;globoid cell leukoencephalopathy
adrenoleukodystrophy;exactmatch;bronze schilder disease
silicosis;exactmatch;silicotuberculosis
prostate cancer;exactmatch;hereditary prostate cancer
intestinal infectious disease;exactmatch;bacterial enteritis
diphyllobothriasis;exactmatch;fish tapeworm
sensorineural hearing loss;exactmatch;high-frequency hearing loss
multiple endocrine neoplasia type 2b;exactmatch;men2b
multiple endocrine neoplasia type 1;exactmatch;wermer syndrome
duodenum cancer;exactmatch;duodenal neoplasm
migraine with aura;exactmatch;classic migraine
late congenital syphilis;exactmatch;juvenile neurosyphilis
dysplastic nevus syndrome;exactmatch;familial atypical multiple mole-melanoma
skin amelanotic melanoma;exactmatch;skin amelanotic malignant melanoma
hymenolepiasis;exactmatch;dwarf tapeworm infection
cysticercosis;exactmatch;neurocysticercosis
heart conduction disease;exactmatch;heart rhythm disease
hyperpigmentation of eyelid;exactmatch;dyspigmentation of eyelid
keratoconus;exactmatch;conical cornea
meckel's diverticulum cancer;exactmatch;meckel diverticulum cancer
ileum cancer;exactmatch;ileal neoplasm
skin lipoma;exactmatch;cutaneous lipomatous tumor
dermatomyositis;exactmatch;dermatopolymyositis
brown's tendon sheath syndrome;exactmatch;brown tendon sheath syndrome
thalassemia;exactmatch;thalassemia hb-s disease with crisis
ehrlichiosis;exactmatch;human ehrlichiosis
palindromic rheumatism;exactmatch;hench's syndrome
familial hyperlipidemia;exactmatch;familial hyperlipoproteinemia
fanconi anemia complementation group r;exactmatch;fancr
heart cancer;exactmatch;malignant neoplasm of heart
childhood disintegrative disease;exactmatch;heller's syndrome
active cochleovestibular meniere's disease;exactmatch;active cochleovestibular meniere disease
active vestibular meniere's disease;exactmatch;active vestibular meniere disease
active cochlear meniere's disease;exactmatch;active cochlear meniere disease
osteopetrosis;exactmatch;albers-schonberg disease
purulent labyrinthitis;exactmatch;bacterial labyrinthitis
paranasal sinus lymphoma;exactmatch;lymphoma of paranasal sinus
eclampsia;exactmatch;postpartum eclampsia
vaginal carcinosarcoma;exactmatch;malignant vaginal mixed epithelial and mesenchymal tumor
fanconi anemia;exactmatch;fanconi pancytopenia
uterine corpus adenomatoid tumor;exactmatch;uterine corpus localized epithelial mesothelioma
anodontia;exactmatch;developmental absence of tooth
hepatic infarction;exactmatch;infarct of liver
pthirus pubis infestation;exactmatch;crabs
endometrial cancer;exactmatch;endometrial neoplasm
inclusion conjunctivitis;exactmatch;adult inclusion conjunctivitis
pharyngoconjunctival fever;exactmatch;pharyngo-conjunctival fever
fox-fordyce disease;exactmatch;fox fordyce disease
familial hypercholesterolemia;exactmatch;hyperbetalipoproteinemia
proteus syndrome;exactmatch;wiedemann's syndrome
coccidioidomycosis;exactmatch;primary extrapulmonary coccidioidomycosis
alexia;exactmatch;acquired dyslexia
acute cystitis;exactmatch;urinary tract infection
eumycotic mycetoma;exactmatch;eumycetoma
jaccoud's syndrome;exactmatch;jaccoud syndrome
moyamoya disease;exactmatch;progressive intracranial arterial occlusion
paronychia;exactmatch;onychia and paronychia of finger
focal segmental glomerulosclerosis;exactmatch;focal glomerular sclerosis
severe pre-eclampsia;exactmatch;severe pre-eclampsia, with delivery
hordeolum externum;exactmatch;external stye
werdnig-hoffmann disease;exactmatch;hmn (hereditary motor neuropathy) proximal type i
esophageal candidiasis;exactmatch;esophageal thrush
brain cancer;exactmatch;adult brain tumor
megaloblastic anemia;exactmatch;grasbeck-imerslund syndrome
retinal dystrophies primarily involving bruch's membrane;exactmatch;retinal dystrophies primarily involving bruch membrane
behcet's disease;exactmatch;behcet syndrome
diverticulitis of colon;exactmatch;colonic diverticular disease
intestinal tuberculosis;exactmatch;tuberculosis of intestine
vaginal mullerian papilloma;exactmatch;vaginal muellerian papilloma
scheuermann's disease;exactmatch;scheuermann's kyphosis
hyperinsulinemic hypoglycemia;exactmatch;nesidioblastosis
fibrodysplasia ossificans progressiva;exactmatch;stone man syndrome
kawasaki disease;exactmatch;mucocutaneous lymph node syndrome
lymphogranuloma venereum;exactmatch;durand-nicolas-favre disease
tangier disease;exactmatch;familial alpha-lipoprotein deficiency
sick sinus syndrome;exactmatch;sinus node infection
46 xy gonadal dysgenesis;exactmatch;46,xy sex reversal
mixed malaria;exactmatch;malaria by more than one parasite
riedel's fibrosing thyroiditis;exactmatch;riedel fibrosing thyroiditis
systemic primary carnitine deficiency disease;exactmatch;carnitine transporter deficiency
parietal lobe neoplasm;exactmatch;malignant neoplasm of parietal lobe
machado-joseph disease;exactmatch;mjd
autosomal dominant cerebellar ataxia;exactmatch;spinocerebellar ataxia
legg-calve-perthes disease;exactmatch;juvenile osteochondrosis of hip and pelvis
dipetalonemiasis;exactmatch;dipetalonema infectious disease
farmer's lung;exactmatch;farmer lung
pulmonary valve insufficiency;exactmatch;pulmonary incompetence
ureteral lymphoma;exactmatch;lymphoma of ureter
lipoid proteinosis;exactmatch;urbach-wiethe disease
niemann-pick disease;exactmatch;niemann-pick disease type a
candidal paronychia;exactmatch;candidiasis of skin
wagr syndrome;exactmatch;chromosome 11p13 deletion syndrome
argyll robertson pupil;exactmatch;argyll robertson phenomenon or pupil, nonsyphilitic
atrophic glossitis;exactmatch;smooth atrophic tongue
geographic tongue;exactmatch;benign migratory glossitis
disease of cellular proliferation;exactmatch;cell process disease
leopard syndrome;exactmatch;capute-rimoin-konigsmark-esterly-richardson syndrome
benign neonatal seizures;exactmatch;benign familial neonatal seizures
bird fancier's lung;exactmatch;bird fancier lung
epicondylitis;exactmatch;andrel epicondylitis
norum disease;exactmatch;lecithin:cholesterol acyltransferase deficiency
achromatopsia;exactmatch;achm
necrotizing ulcerative gingivitis;exactmatch;anug
urinary schistosomiasis;exactmatch;schistosoma hematobium infectious disease
cadasil;exactmatch;cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy
parasitic infectious disease;exactmatch;parasitemia
cleidocranial dysplasia;exactmatch;marie-sainton disease
autoimmune polyendocrine syndrome;exactmatch;autoimmune polyendocrinopathy
phaeohyphomycosis;exactmatch;phaehyphomycosis
boutonneuse fever;exactmatch;rickettsia conorii spotted fever
fragile x syndrome;exactmatch;fragile x mental retardation syndrome
anus cancer;exactmatch;anal cancer
toxic shock syndrome;exactmatch;toxic shock
multiple symmetric lipomatosis;exactmatch;lipodystrophy, cephalothoracic
bruton-type agammaglobulinemia;exactmatch;btk deficiency
hypophosphatasia;exactmatch;hypophospatasia, childhood
dihydropyrimidine dehydrogenase deficiency;exactmatch;thymine-uracilurea
metabolic syndrome x;exactmatch;abdominal obesity-metabolic syndrome 1
azoospermia;exactmatch;spermatogenic failure
adult-onset still's disease;exactmatch;adult-onset still disease
tinea unguium;exactmatch;cellulitis and abscess of face
persistent fetal circulation syndrome;exactmatch;congenital alveolar capillary dysplasia with misalignment of pulmonary veins
subclavian steal syndrome;exactmatch;subclavian steal phenomenon
chagas disease;exactmatch;chagas' disease
tracheal lymphoma;exactmatch;lymphoma of the trachea
conn's syndrome;exactmatch;conn syndrome
allergic hypersensitivity disease;exactmatch;allergic disease
cryptococcosis;exactmatch;cryptococcal infection
dieulafoy lesion;exactmatch;dieulafoy lesion (hemorrhagic) of intestine
transient arthropathy;exactmatch;transient arthropathy involving forearm
pulmonary hemosiderosis;exactmatch;brown induration
hemosiderosis;exactmatch;haemosiderosis
wegener's granulomatosis;exactmatch;wegener granulomatosis
alveolar echinococcosis;exactmatch;alveolococcosis
hypertrophic cardiomyopathy;exactmatch;familial hypertrophic cardiomyopathy
blessig's cysts;exactmatch;blessig cysts
goiter;exactmatch;goitre
common variable immunodeficiency;exactmatch;cvid
tinea corporis;exactmatch;dermatophytosis of the body
dengue disease;exactmatch;classic dengue
dengue hemorrhagic fever;exactmatch;dhf
filarial elephantiasis;exactmatch;elephantiasis of eyelid
oligohydramnios;exactmatch;antepartum oligohydramnios
primary biliary cirrhosis;exactmatch;biliary liver cirrhosis
female reproductive organ cancer;exactmatch;female reproductive cancer
botulism;exactmatch;botulism poisoning
coloboma;exactmatch;coloboma of eye
kohler's disease;exactmatch;kohler disease
neonatal diabetes mellitus;exactmatch;diabetes mellitus syndrome in newborn infant
hyperlipoproteinemia type iv;exactmatch;familial hypertriglyceridemia
distal muscular dystrophy;exactmatch;miyoshi muscular dystrophy
glycogen storage disease vii;exactmatch;glycogen storage disease type vii
myotonic dystrophy type 1;exactmatch;steinert disease
limb-girdle muscular dystrophy;exactmatch;erb's muscular dystrophy
cornelia de lange syndrome;exactmatch;de lange syndrome
emery-dreifuss muscular dystrophy;exactmatch;edmd
lyme disease;exactmatch;lyme neuroborreliosis
necrosis of ear ossicle;exactmatch;partial loss or necrosis of ear ossicles
esophagitis;exactmatch;acute esophagitis
degenerative myopia;exactmatch;pathological myopia
myopia;exactmatch;short-sightedness
clubfoot;exactmatch;congenital clubfoot
nephrotic syndrome;exactmatch;finnish congenital nephrosis
pick's disease;exactmatch;lobar atrophy of brain
peripheral nervous system neoplasm;exactmatch;nerve sheath tumors
tracheal cancer;exactmatch;tracheal neoplasm
head and neck cancer;exactmatch;head and neck tumours
creutzfeldt-jakob disease;exactmatch;creutzfeldt jacob syndrome
testicular lymphoma;exactmatch;lymphoma of the testis
paranoid schizophrenia;exactmatch;chronic paranoid schizophrenia
hereditary spherocytosis;exactmatch;spherocytic anemia
mucopolysaccharidosis i;exactmatch;hurler syndrome
friedreich ataxia;exactmatch;friedreich ataxia 1
capillary disease;exactmatch;disease of capillaries
nephronophthisis;exactmatch;medullary cystic disease
multiple epiphyseal dysplasia;exactmatch;polyepiphyseal dysplasia
choroid cancer;exactmatch;choroid neoplasm
mucopolysaccharidosis ii;exactmatch;hunter syndrome
mucopolysaccharidosis vi;exactmatch;mps vi - maroteaux-lamy syndrome
mucopolysaccharidosis iii;exactmatch;heparan sulfate sulfatase deficiency
sly syndrome;exactmatch;mps vii - sly syndrome
hyperprolactinemia;exactmatch;chiari-frommel syndrome
mucopolysaccharidosis iv;exactmatch;galactosamine-6-sulfatase deficiency
autistic disorder;exactmatch;autism
huntington's disease;exactmatch;huntington disease
choreatic disease;exactmatch;chorea
cardiovascular system disease;exactmatch;disease of subdivision of hemolymphoid system
neurodegenerative disease;exactmatch;degenerative disease
sjogren's syndrome;exactmatch;sjogren syndrome
dilated cardiomyopathy;exactmatch;primary dilated cardiomyopathy
poland syndrome;exactmatch;poland's syndactyly
ataxia telangiectasia;exactmatch;boder-sedgwick syndrome
hereditary hemorrhagic telangiectasia;exactmatch;osler hemorrhagic telangiectasia syndrome
vogt-koyanagi-harada disease;exactmatch;uveomeningoencephalitic syndrome
vulva cancer;exactmatch;vulvar neoplasm
alcoholic hepatitis;exactmatch;acute alcoholic liver disease
graves' disease;exactmatch;grave's disease
malaria;exactmatch;induced malaria
juvenile spinal muscular atrophy;exactmatch;type iii spinal muscular atrophy
shigellosis;exactmatch;shigella boydii infectious disease
intermittent explosive disorder;exactmatch;explosive personality disorder
pyromania;exactmatch;firesetting behavior
blood coagulation disease;exactmatch;postpartum coagulation defect
binocular vision disease;exactmatch;simultaneous visual perception without fusion
bell's palsy;exactmatch;bell palsy
trichuriasis;exactmatch;trichuris trichiura infection
von willebrand's disease;exactmatch;von willebrand disease
hemolytic-uremic syndrome;exactmatch;haemolytic-uraemic syndrome
idiopathic juvenile osteoporosis;exactmatch;juvenile osteoporosis
velocardiofacial syndrome;exactmatch;22q11 deletion syndrome
potter's syndrome;exactmatch;potter sequence
hypertrophic pyloric stenosis;exactmatch;congenital hypertrophic pyloric stenosis
hiatus hernia;exactmatch;hiatal hernia
fanconi anemia complementation group i;exactmatch;fanci
fanconi anemia complementation group d1;exactmatch;fad1
hypotrichosis 1;exactmatch;hhs
inflammatory bowel disease 13;exactmatch;ibd13
hereditary spastic paraplegia 77;exactmatch;spg77
hereditary spastic paraplegia 8;exactmatch;spg8
hereditary spastic paraplegia 9a;exactmatch;ad-spg9a
hereditary spastic paraplegia 9b;exactmatch;spg9b
usher syndrome type 1;exactmatch;us1
usher syndrome type 2;exactmatch;ush2
usher syndrome type 3;exactmatch;ush3
usher syndrome type 1c;exactmatch;ush1c
usher syndrome type 1d;exactmatch;ush1d
usher syndrome type 1f;exactmatch;ush1f
usher syndrome type 1e;exactmatch;ush1e
usher syndrome type 1g;exactmatch;ush1g
usher syndrome type 1h;exactmatch;ush1h
usher syndrome type 1j;exactmatch;ush1j
usher syndrome type 1k;exactmatch;ush1k
usher syndrome type 2a;exactmatch;ush2a
usher syndrome type 2c;exactmatch;ush2c
usher syndrome type 2d;exactmatch;ush2d
usher syndrome type 3a;exactmatch;ush3a
usher syndrome type 3b;exactmatch;ush3b
xeroderma pigmentosum group a;exactmatch;xp group a
hereditary spastic paraplegia 76;exactmatch;spg76
hereditary spastic paraplegia 75;exactmatch;spg75
hereditary spastic paraplegia 74;exactmatch;spg74
hereditary spastic paraplegia 55;exactmatch;spg55
hereditary spastic paraplegia 46;exactmatch;spg46
hereditary spastic paraplegia 47;exactmatch;cpsq5
hereditary spastic paraplegia 48;exactmatch;spg48
hereditary spastic paraplegia 49;exactmatch;spg49
hereditary spastic paraplegia 50;exactmatch;cpsq3
hereditary spastic paraplegia 51;exactmatch;cpsq4
hereditary spastic paraplegia 52;exactmatch;cpsq6
hereditary spastic paraplegia 53;exactmatch;spg53
hereditary spastic paraplegia 54;exactmatch;spg54
hereditary spastic paraplegia 56;exactmatch;spg56
hereditary spastic paraplegia 73;exactmatch;spg73
hereditary spastic paraplegia 57;exactmatch;spg57
hereditary spastic paraplegia 5a;exactmatch;spg5a
hereditary spastic paraplegia 6;exactmatch;fsp3
hereditary spastic paraplegia 61;exactmatch;spg61
hereditary spastic paraplegia 62;exactmatch;spg62
hereditary spastic paraplegia 63;exactmatch;spg63
hereditary spastic paraplegia 64;exactmatch;spg64
hereditary spastic paraplegia 7;exactmatch;spg7
hereditary spastic paraplegia 72;exactmatch;spg72
xeroderma pigmentosum group c;exactmatch;xp group c
xeroderma pigmentosum group d;exactmatch;xp group d
xeroderma pigmentosum group e;exactmatch;xp group e
holoprosencephaly 1;exactmatch;hpe1
holoprosencephaly 2;exactmatch;hpe2
holoprosencephaly 9;exactmatch;hpe9
holoprosencephaly 6;exactmatch;hpe6
holoprosencephaly 3;exactmatch;hlp3
holoprosencephaly 7;exactmatch;hpe7
holoprosencephaly 11;exactmatch;hpe11
holoprosencephaly 5;exactmatch;hpe5
holoprosencephaly 8;exactmatch;hpe8
holoprosencephaly 4;exactmatch;hpe4
inflammatory bowel disease 7;exactmatch;ibd7
congenital stationary night blindness 1a;exactmatch;csnb1a
inflammatory bowel disease 17;exactmatch;ibd17
inflammatory bowel disease 23;exactmatch;ibd23
inflammatory bowel disease 10;exactmatch;ibd10
inflammatory bowel disease 9;exactmatch;ibd9
inflammatory bowel disease 12;exactmatch;ibd12
inflammatory bowel disease 18;exactmatch;ibd18
inflammatory bowel disease 5;exactmatch;ibd5
inflammatory bowel disease 19;exactmatch;ibd19
inflammatory bowel disease 3;exactmatch;ibd3
congenital stationary night blindness 2a;exactmatch;congenital stationary night blindness 2a x-linked
congenital stationary night blindness 1e;exactmatch;csnb1e
posterior polymorphous corneal dystrophy 3;exactmatch;ppcd3
xeroderma pigmentosum group f;exactmatch;xp group f
xeroderma pigmentosum group g;exactmatch;xp group g
xeroderma pigmentosum group b;exactmatch;xp group b
rhizomelic chondrodysplasia punctata type 1;exactmatch;pbd9
rhizomelic chondrodysplasia punctata type 2;exactmatch;chondrodysplasia punctata, rhizomelic, due to dihydroxyacetonephosphate acyltransferase deficiency
rhizomelic chondrodysplasia punctata type 3;exactmatch;agps deficiency
rhizomelic chondrodysplasia punctata type 5;exactmatch;rcdp5
posterior polymorphous corneal dystrophy 1;exactmatch;ched1
posterior polymorphous corneal dystrophy 2;exactmatch;ppcd2
polycystic kidney disease 1;exactmatch;apkd1
congenital stationary night blindness 1d;exactmatch;csnb1d
polycystic kidney disease 2;exactmatch;apkd2
polycystic kidney disease 3;exactmatch;apkd3
autosomal recessive polycystic kidney disease;exactmatch;arpkd
congenital stationary night blindness autosomal dominant 1;exactmatch;csnbad1
congenital stationary night blindness autosomal dominant 2;exactmatch;csnbad2
congenital stationary night blindness 1f;exactmatch;csnb1f
congenital stationary night blindness 1b;exactmatch;csnb1b
congenital stationary night blindness 1h;exactmatch;csnb1h
congenital stationary night blindness 1c;exactmatch;csnb1c
hereditary spastic paraplegia 45;exactmatch;spg45
hereditary spastic paraplegia 44;exactmatch;spg44
hereditary spastic paraplegia 43;exactmatch;spg43
neuronal ceroid lipofuscinosis 9;exactmatch;cln9
neuronal ceroid lipofuscinosis 8 northern epilepsy variant;exactmatch;epmr
neuronal ceroid lipofuscinosis 10;exactmatch;cln10
neuronal ceroid lipofuscinosis 2;exactmatch;cln2
neuronal ceroid lipofuscinosis 13;exactmatch;cln13
neuronal ceroid lipofuscinosis 5;exactmatch;cln5
neuronal ceroid lipofuscinosis 6;exactmatch;cln6
neuronal ceroid lipofuscinosis 4a;exactmatch;cln4a
neuronal ceroid lipofuscinosis 3;exactmatch;cln3
neuronal ceroid lipofuscinosis 11;exactmatch;cln11
neurodegeneration with brain iron accumulation;exactmatch;nbia
neuronal ceroid lipofuscinosis 7;exactmatch;cln7
neurodegeneration with brain iron accumulation 2a;exactmatch;inad1
neurodegeneration with brain iron accumulation 2b;exactmatch;nbia2b
neurodegeneration with brain iron accumulation 3;exactmatch;adult basal ganglia disease
neurodegeneration with brain iron accumulation 4;exactmatch;mpan
neurodegeneration with brain iron accumulation 5;exactmatch;bpan
neurodegeneration with brain iron accumulation 6;exactmatch;copan
type 1 diabetes mellitus 2;exactmatch;iddm2
type 1 diabetes mellitus 3;exactmatch;iddm3
type 1 diabetes mellitus 4;exactmatch;iddm4
neuronal ceroid lipofuscinosis 8;exactmatch;cln8
neuronal ceroid lipofuscinosis 1;exactmatch;cln1
type 1 diabetes mellitus 6;exactmatch;iddm6
hypotrichosis 12;exactmatch;hypt12
hypotrichosis 3;exactmatch;htss2
hypotrichosis 4;exactmatch;hypotrichosis, marie unna type, 1
hypotrichosis 5;exactmatch;hypt5
hypotrichosis 6;exactmatch;hypotrichosis, localized, autosomal recessive 1
hypotrichosis 7;exactmatch;hypt7
hypotrichosis 8;exactmatch;hypt8
hypotrichosis 9;exactmatch;hypt9
hypotrichosis 10;exactmatch;hypt10
hypotrichosis 11;exactmatch;hypt11
hypotrichosis 13;exactmatch;hypt13
neuronal ceroid lipofuscinosis 4b;exactmatch;cln4b disease
congenital hypotrichosis with juvenile macular dystrophy;exactmatch;hjmd
oguchi disease-1;exactmatch;csnbo1
oguchi disease-2;exactmatch;csnbo2
congenital stationary night blindness 1g;exactmatch;csnb1g
congenital stationary night blindness autosomal dominant 3;exactmatch;csnbad3
warburg micro syndrome 1;exactmatch;micro syndrome 1
warburg micro syndrome 2;exactmatch;micro syndrome 2
warburg micro syndrome 3;exactmatch;micro syndrome 3
warburg micro syndrome 4;exactmatch;micro syndrome 4
type 1 diabetes mellitus 5;exactmatch;iddm5
type 1 diabetes mellitus 7;exactmatch;iddm7
hereditary spastic paraplegia 42;exactmatch;spg42
hereditary spastic paraplegia 32;exactmatch;spg32
hereditary spastic paraplegia 23;exactmatch;lison syndrome
hereditary spastic paraplegia 24;exactmatch;spg24
hereditary spastic paraplegia 25;exactmatch;spg25
hereditary spastic paraplegia 26;exactmatch;gm2 synthase deficiency
hereditary spastic paraplegia 27;exactmatch;spg27
hereditary spastic paraplegia 28;exactmatch;spg28
hereditary spastic paraplegia 29;exactmatch;spg29
hereditary spastic paraplegia 30;exactmatch;spg30
