head;tail;relation
Structure of supraoptic region of hypothalamus (body structure);Region of hypothalamus (body structure);broadMatch
Structure of supraoptic region of hypothalamus (body structure);Supraoptic region of hypothalamus;exactMatch
Liver structure (body structure);Liver;exactMatch
Gynecoid pelvis (body structure);Entire bony pelvis (body structure);broadMatch
Gynecoid pelvis (body structure);Normal female pelvis;exactMatch
Structure of parotid lymph node (body structure);Structure of facial lymph node (body structure);broadMatch
Structure of parotid lymph node (body structure);Parotid lymph node;exactMatch
Structure of arch of sacral vertebra (body structure);Arch of sacral vertebra;exactMatch
Structure of arch of coccygeal vertebra (body structure);Arch of caudal vertebra;exactMatch
Structure of arch of coccygeal vertebra (body structure);Arch of coccygeal vertebra;exactMatch
Structure of skeletal muscle of shoulder (body structure);Muscle of shoulder;exactMatch
Structure of skeletal muscle of shoulder (body structure);Shoulder muscle;exactMatch
Structure of skeletal muscle of shoulder (body structure);Skeletal muscle of shoulder;exactMatch
Entire skeletal muscle of inguinal region (body structure);Entire muscle of inguinal region;exactMatch
Skeletal muscle structure of pelvis (body structure);Muscle of pelvis;exactMatch
Skeletal muscle structure of pelvis (body structure);Pelvic muscle;exactMatch
Skeletal muscle structure of lower limb (body structure);Muscle of lower extremity;exactMatch
Skeletal muscle structure of lower limb (body structure);Muscle structure of lower limb;exactMatch
Structure of laryngeal aspect of aryepiglottic fold (body structure);Aryepiglottic fold structure (body structure);broadMatch
Structure of laryngeal aspect of aryepiglottic fold (body structure);Laryngeal aspect of aryepiglottic fold;exactMatch
Structure of hypopharyngeal aspect of interarytenoid fold (body structure);Interarytenoid fold structure (body structure);broadMatch
Structure of hypopharyngeal aspect of interarytenoid fold (body structure);Hypopharyngeal aspect of interarytenoid fold;exactMatch
Structure of laryngeal aspect of interarytenoid fold (body structure);Interarytenoid fold structure (body structure);broadMatch
Structure of laryngeal aspect of interarytenoid fold (body structure);Laryngeal aspect of interarytenoid fold;exactMatch
Main bronchus structure (body structure);Bronchial structure (body structure);broadMatch
Main bronchus structure (body structure);Main bronchus;exactMatch
Structure of chordae tendineae cordis (body structure);Chordae tendineae cordis;exactMatch
Structure of vein of trunk (body structure);Vein of trunk;exactMatch
Structure of gingival mucous membrane (body structure);Gingival mucosa;exactMatch
Structure of gingival mucous membrane (body structure);Gingival mucous membrane;exactMatch
Structure of abductor digiti minimi muscle of foot (body structure);Abductor digiti minimi muscle of foot;exactMatch
Sebaceous gland structure (body structure);Sebaceous gland;exactMatch
Scalenectomy (procedure);Excision of scalenus muscle;exactMatch
Structure of iliac artery (body structure);Iliac artery;exactMatch
Entire anteromedial perforating artery (body structure);Entire anteromedial perforating arteries;exactMatch
Structure of vesicular bursa of sternohyoid muscle (body structure);Structure of bursa of neck (body structure);broadMatch
Structure of vesicular bursa of sternohyoid muscle (body structure);Vesicular bursa of sternohyoid muscle;exactMatch
Structure of capsule of calcaneocuboidal joint (body structure);Capsule of calcaneocuboidal joint;exactMatch
Procedural approach (qualifier value);Spatial and relational concepts (qualifier value);broadMatch
Procedural approach (qualifier value);Approaches;exactMatch
Structure of annulus fibrosus of intervertebral disc of tenth thoracic vertebra (body structure);Anulus fibrosus of intervertebral disc of tenth thoracic vertebra;exactMatch
Structure of annulus fibrosus of intervertebral disc of tenth thoracic vertebra (body structure);Structure of anulus fibrosus of intervertebral disc of tenth thoracic vertebra;exactMatch
Accessory spleen (disorder);Polysplenia;exactMatch
Accessory spleen (disorder);Splenunculi;exactMatch
Accessory spleen (disorder);Supernumerary spleen;exactMatch
Endoscopic mucosal resection of gastrointestinal tract (procedure);Endoscopic mucosal resection of gastrointestinal tract;exactMatch
Excision of lesion of patella (procedure);Local excision of lesion or tissue of patella;exactMatch
Sweat gland structure (body structure);Sudoriferous gland;exactMatch
Sweat gland structure (body structure);Sweat gland;exactMatch
Structure of pigmented layer of ciliary body (body structure);Layer of ciliary epithelium (body structure);broadMatch
Structure of pigmented layer of ciliary body (body structure);Pigmented layer of ciliary body;exactMatch
Structure of lesser sciatic notch (body structure);Lesser sciatic notch;exactMatch
Structure of pulmonic area (body structure);Structure of surface region of thorax (body structure);broadMatch
Structure of pulmonic area (body structure);Pulmonary area;exactMatch
Structure of pulmonic area (body structure);Pulmonic area;exactMatch
Structure of lateral surface of toe (body structure);Lateral surface of toe;exactMatch
Operation on omentum (procedure);Surgical procedure on omentum;exactMatch
Structure of superficial cervical artery (body structure);Structure of half of neck lateral to midsagittal plane (body structure);broadMatch
Structure of superficial cervical artery (body structure);Superficial cervical artery;exactMatch
Structure of medial head of gastrocnemius muscle (body structure);Medial head of gastrocnemius muscle;exactMatch
Structure of transplanted cornea (body structure);Transplanted cornea;exactMatch
Subcutaneous tissue structure of finger (body structure);Subcutaneous tissue of finger;exactMatch
Structure of lateral cubital region (body structure);Elbow region structure (body structure);broadMatch
Structure of lateral cubital region (body structure);Lateral cubital region;exactMatch
Structure of perforating branch of the femoral vein (body structure);Perforating branch of the femoral vein;exactMatch
Structure of perforating branch of the femoral vein (body structure);Perforating branches of the femoral vein;exactMatch
Entire common extensor tendon (body structure);Structure of common extensor tendon (body structure);broadMatch
Entire common flexor tendon (body structure);Structure of common flexor tendon (body structure);broadMatch
Entire flexor digitorum longus muscle tendon of second toe (body structure);Structure of flexor digitorum longus muscle tendon of second toe (body structure);broadMatch
Entire flexor digitorum longus muscle tendon of fifth toe (body structure);Structure of flexor digitorum longus muscle tendon of fifth toe (body structure);broadMatch
Entire flexor digitorum longus muscle tendon of fourth toe (body structure);Structure of flexor digitorum longus muscle tendon of fourth toe (body structure);broadMatch
Entire flexor digitorum longus muscle tendon of third toe (body structure);Structure of flexor digitorum longus muscle tendon of third toe (body structure);broadMatch
Entire extensor digitorum longus muscle tendon of second toe (body structure);Structure of extensor digitorum longus muscle tendon of second toe (body structure);broadMatch
Entire extensor digitorum longus muscle tendon of third toe (body structure);Structure of extensor digitorum longus muscle tendon of third toe (body structure);broadMatch
Entire extensor digitorum longus muscle tendon of fifth toe (body structure);Structure of extensor digitorum longus muscle tendon of fifth toe (body structure);broadMatch
Entire extensor digitorum longus muscle tendon of fourth toe (body structure);Structure of extensor digitorum longus muscle tendon of fourth toe (body structure);broadMatch
Entire vein of the brain stem (body structure);Entire veins of the brain stem;exactMatch
Excision of left hemidiaphragm (procedure);Left hemidiaphragm excision;exactMatch
Structure of superior wall of orbit (body structure);Part of bony orbit (body structure);broadMatch
Structure of superior wall of orbit (body structure);Orbital roof;exactMatch
Structure of superior wall of orbit (body structure);Superior orbital wall;exactMatch
Structure of superior wall of orbit (body structure);Superior wall of orbit;exactMatch
Structure of submucosa and/or muscularis propria of colon (body structure);Colon structure (body structure);broadMatch
Structure of submucosa and/or muscularis propria of colon (body structure);Structure of submucosa and/or muscularis propria of colon;exactMatch
Structure of interdigital web of foot (body structure);Forefoot region of foot (body structure);broadMatch
Structure of interdigital web of foot (body structure);Structure of web of foot;exactMatch
Structure of interdigital web of foot (body structure);Toe web;exactMatch
Structure of interdigital web of hand (body structure);Hand part (body structure);broadMatch
Structure of interdigital web of hand (body structure);Structure of web of hand;exactMatch
Entire interdigital web of foot (body structure);Structure of interdigital web of foot (body structure);broadMatch
Entire interdigital web of hand (body structure);Structure of interdigital web of hand (body structure);broadMatch
Structure of pars tensa of left tympanic membrane (body structure);Pars tensa of left tympanic membrane;exactMatch
Structure of pars tensa of right tympanic membrane (body structure);Pars tensa of right tympanic membrane;exactMatch
Structure of cristae cutis (body structure);Surface feature of skin (body structure);broadMatch
Structure of cristae cutis (body structure);Cristae cutis;exactMatch
Structure of cristae cutis (body structure);Dermal ridges;exactMatch
Structure of body of sacral vertebra (body structure);Structure of body of sacral vertebra;exactMatch
Structure of body of coccygeal vertebra (body structure);Body of caudal vertebra;exactMatch
Structure of body of coccygeal vertebra (body structure);Body of coccygeal vertebra;exactMatch
Interphalangeal toe joint structure (body structure);Interphalangeal joint of foot;exactMatch
Interarytenoid fold structure (body structure);Interarytenoid fold;exactMatch
Substance (substance);Substances;exactMatch
Infection caused by chordate (disorder);Infection caused by chordate;exactMatch
Structure of right upper lobe bronchial lumen (body structure);Right upper lobe bronchial lumen;exactMatch
Scope/camera, device (physical object);Biomedical equipment (physical object);broadMatch
Scope/camera, device (physical object);Scope/camera, device;exactMatch
Excision of right hemidiaphragm (procedure);Right hemidiaphragm excision;exactMatch
Structure of inferior gluteal nerve (body structure);Inferior gluteal nerve;exactMatch
Disorder of connective tissue (disorder);Connective tissue disease;exactMatch
Disorder of biliary tract (disorder);Disease of biliary system;exactMatch
Endoscopic brush biopsy of stomach (procedure);Gastro-oesophageal brush biopsy;exactMatch
Endoscopic brush biopsy of stomach (procedure);Gastroesophageal brush biopsy;exactMatch
Musculoskeletal finding (finding);Musculoskeletal observation;exactMatch
Musculoskeletal finding (finding);Musculoskeletal system observation;exactMatch
Muscle finding (finding);Muscle observation;exactMatch
Respiratory finding (finding);Respiratory observation;exactMatch
Respiratory finding (finding);Respiratory observations;exactMatch
Respiratory finding (finding);Respiratory system observation;exactMatch
Cardiovascular finding (finding);CVS - Cardiovascular observations;exactMatch
Cardiovascular finding (finding);Cardiovascular observations;exactMatch
Cardiovascular finding (finding);General cardiovascular observations;exactMatch
Skin finding (finding);Skin observation;exactMatch
Entire small subcutaneous vein (body structure);Entire small subcutaneous veins;exactMatch
Adjectival modifier (qualifier value);Descriptor (qualifier value);broadMatch
Topographical modifier (qualifier value);Adjectival modifier (qualifier value);broadMatch
Professional technical/related worker (occupation);Professional technical/related worker;exactMatch
Architect, engineer/related technician (occupation);Professional technical/related worker (occupation);broadMatch
Architect, engineer/related technician (occupation);Architect, engineer/related technician;exactMatch
Civil engineer (occupation);Civil/structural engineer (occupation);broadMatch
Engineer (occupation);Architect, engineer/related technician (occupation);broadMatch
Engineer (occupation);Engineer - professional;exactMatch
Structure of posterior cricoarytenoid muscle (body structure);Structure of intrinsic laryngeal muscle (body structure);broadMatch
Structure of posterior cricoarytenoid muscle (body structure);Posterior cricoarytenoid muscle;exactMatch
Structure of head of fifth metacarpal bone (body structure);Head of fifth metacarpal bone;exactMatch
Worker (occupation);Occupation (occupation);broadMatch
Structure of long plantar ligament (body structure);Structure of plantar tarsal ligaments (body structure);broadMatch
Structure of long plantar ligament (body structure);Long plantar ligament;exactMatch
Class Secernentea (organism);Phylum Nemata (organism);broadMatch
Order Spirurida (organism);Class Secernentea (organism);broadMatch
Order Spirurida (organism);Spirurida;exactMatch
Superfamily Thelazioidea (organism);Order Spirurida (organism);broadMatch
Mass of subcutaneous tissue of left lower limb (finding);Mass of subcutaneous tissue of left lower extremity;exactMatch
Mass of subcutaneous tissue of right lower limb (finding);Mass of subcutaneous tissue of right lower extremity;exactMatch
Bronchiole structure of accessory lobe (body structure);Bronchiole structure (body structure);broadMatch
Bronchiole structure of accessory lobe (body structure);Bronchiole of accessory lobe;exactMatch
Structure of lamina episcleralis (body structure);Episclera;exactMatch
Structure of lamina episcleralis (body structure);Lamina episcleralis;exactMatch
Structure of medial intertransversarius lumborum muscle (body structure);Structure of intertransversarius muscle (body structure);broadMatch
Structure of medial intertransversarius lumborum muscle (body structure);Medial intertransversalis lumborum muscle;exactMatch
Structure of medial intertransversarius lumborum muscle (body structure);Medial intertransversalis lumborum muscles;exactMatch
Structure of medial intertransversarius lumborum muscle (body structure);Medial lumbar intertransversarius;exactMatch
Structure of orifice of parotid duct (body structure);Orifice of parotid duct;exactMatch
Order Passeriformes (organism);Class Aves (organism);broadMatch
Order Passeriformes (organism);Order Passeriformes;exactMatch
Order Passeriformes (organism);Order Passeriformes - perching bird;exactMatch
Family Formicariidae (organism);Order Passeriformes (organism);broadMatch
Family Formicariidae (organism);Family Formicariidae;exactMatch
Class Reptilia (organism);Subphylum Vertebrata (organism);broadMatch
Family Emydidae (organism);Order Testudines (organism);broadMatch
Family Emydidae (organism);Family Emydidae;exactMatch
Conjunctival sac structure (body structure);Conjunctival sac;exactMatch
Excision of lesion of bone of thorax (procedure);Excision of lesion of bone of thorax;exactMatch
Cardiac septum structure (body structure);Cardiac septum;exactMatch
Embryonal rest AND/OR persistent embryonic structure (morphologic abnormality);Morphologically abnormal structure (morphologic abnormality);broadMatch
Mechanical abnormality (morphologic abnormality);Morphologically abnormal structure (morphologic abnormality);broadMatch
Structure of inferior collateral ulnar artery (body structure);Inferior collateral ulnar artery;exactMatch
Fibrosis AND/OR repair abnormality (morphologic abnormality);Lesion (morphologic abnormality);broadMatch
Structure of superior phrenic vein (body structure);Superior phrenic vein;exactMatch
Structure of superior phrenic vein (body structure);Superior phrenic veins;exactMatch
Structure of distal phalanx of little toe (body structure);Distal phalanx of fifth toe;exactMatch
Structure of distal phalanx of little toe (body structure);Distal phalanx of little toe;exactMatch
Structure of intralaminar nuclear group of thalamus (body structure);Structure of nucleus of thalamus (body structure);broadMatch
Structure of intralaminar nuclear group of thalamus (body structure);Intralaminar nuclear group of thalamus;exactMatch
Structure of lateral nuclear group of thalamus (body structure);Structure of nucleus of thalamus (body structure);broadMatch
Structure of lateral nuclear group of thalamus (body structure);Lateral nuclear group of thalamus;exactMatch
Surgical procedure on lower extremity (procedure);Operative procedure on lower extremity;exactMatch
Accessory sinus excision (procedure);Excision of nasal sinus;exactMatch
Accessory sinus excision (procedure);Nasal sinusectomy;exactMatch
Intervertebral disc structure of second cervical vertebra (body structure);Intervertebral disc, C2-C3;exactMatch
Structure of capillary of lung (body structure);Pulmonary capillary;exactMatch
Entire capillary of lung (body structure);Structure of capillary of lung (body structure);broadMatch
Entire capillary of lung (body structure);Entire pulmonary capillary;exactMatch
Benign neoplasm of bone of left lower limb (disorder);Benign neoplasm of left leg bone;exactMatch
Benign neoplasm of bone of right lower limb (disorder);Benign neoplasm of right leg bone;exactMatch
Benign neoplasm of skin of left upper limb (disorder);Benign neoplasm of skin of left upper extremity;exactMatch
Operative procedure on small intestine (procedure);Small intestine operation;exactMatch
Benign neoplasm of skin of left lower limb (disorder);Benign neoplasm of skin of left lower extremity;exactMatch
Benign neoplasm of skin of right upper limb (disorder);Benign neoplasm of skin of right upper extremity;exactMatch
Small intestine excision (procedure);Excision small intestine;exactMatch
Small intestine excision (procedure);Resection of small intestine;exactMatch
Small intestine excision (procedure);Small bowel resection;exactMatch
Benign neoplasm of skin of right lower limb (disorder);Benign neoplasm of skin of right lower extremity;exactMatch
Large intestine excision (procedure);Large bowel resection;exactMatch
Operative procedure on rectum AND/OR anus (procedure);Rectal and anal operations;exactMatch
Excision of liver (procedure);Hepatectomy;exactMatch
Excision of liver (procedure);Liver excision;exactMatch
Excision of liver (procedure);Resection of liver;exactMatch
Superior trunk of brachial plexus (body structure);Upper trunk of brachial plexus;exactMatch
Ureter excision (procedure);Ureter excision;exactMatch
Urinary bladder excision (procedure);Cystectomy;exactMatch
Urinary bladder excision (procedure);Urinary bladder excision;exactMatch
Urethra excision (procedure);Excision of urethral tissue;exactMatch
Urethra excision (procedure);Urethrectomy;exactMatch
Brain endoscopy (procedure);Endoscopy of brain;exactMatch
Cornea excision (procedure);Abscission of cornea;exactMatch
External ear excision (procedure);Excision of external ear;exactMatch
Congenital malposition of heart (disorder);Abnormal position of heart;exactMatch
Congenital malposition of heart (disorder);Congenital abnormality of cardiac position;exactMatch
Congenital malposition of heart (disorder);Congenital malpositioned heart;exactMatch
Diaphragm excision (procedure);Diaphragm resection;exactMatch
Diaphragm excision (procedure);Excision of diaphragm;exactMatch
Disorder of bilateral acoustic nerves (disorder);Disorder of bilateral vestibulocochlear nerves;exactMatch
Disorder of bilateral acoustic nerves (disorder);Disorder of both acoustic nerves;exactMatch
Spinal cord root AND/OR ganglion (body structure);Nerve root structure (body structure);broadMatch
Cell surface AND/OR associated structure (cell structure);Cell structure (cell structure);broadMatch
Cell surface AND/OR associated structure (cell structure);Cell surface structure;exactMatch
Disorder of bilateral ears (disorder);Disorder of bilateral ears;exactMatch
Disorder of bilateral ears (disorder);Disorder of both ears;exactMatch
Lesion of bilateral ears (disorder);Lesion of bilateral ears;exactMatch
Lesion of bilateral ears (disorder);Lesion of both ears;exactMatch
Disorder of bilateral tympanic membranes (disorder);Disorder of bilateral eardrums;exactMatch
Disorder of bilateral tympanic membranes (disorder);Disorder of bilateral tympanic membranes;exactMatch
Disorder of bilateral tympanic membranes (disorder);Disorder of both eardrums;exactMatch
