head;relation;tail
animal care managers;narrowmatch;animal shelter / animal pension keeper
head zookeeper transport;broadmatch;animal care managers
animal care managers;narrowmatch;head zookeeper transport
kennel keeper;broadmatch;animal care managers
animal care managers;narrowmatch;kennel keeper
dog behaviourist;broadmatch;animal trainers and behavioural therapists
animal trainers and behavioural therapists;narrowmatch;dog behaviourist
instructor guide dogs;broadmatch;animal trainers and behavioural therapists
animal trainers and behavioural therapists;narrowmatch;instructor guide dogs
dog obedience training instructor;broadmatch;animal trainers and behavioural therapists
animal trainers and behavioural therapists;narrowmatch;dog obedience training instructor
cat behaviourist;broadmatch;animal trainers and behavioural therapists
animal trainers and behavioural therapists;narrowmatch;cat behaviourist
marine animal trainer;broadmatch;animal trainers and behavioural therapists
funeral and mortuary assistants;narrowmatch;cemetery / crematorium assistant
funeral and mortuary assistants;narrowmatch;crematorium assistant
head of production planning;broadmatch;production planners
domestic services and cleaning team leaders;narrowmatch;object leader cleaning
butlers and hostesses;narrowmatch;butler
butlers and hostesses;broadmatch;domestic housekeepers
domestic housekeepers;narrowmatch;butlers and hostesses
cleaning foreman;broadmatch;domestic services and cleaning team leaders
domestic services and cleaning team leaders;narrowmatch;cleaning foreman
business manager / cleaning company entrepreneur;broadmatch;domestic services and cleaning team leaders
domestic services and cleaning team leaders;narrowmatch;business manager / cleaning company entrepreneur
head of linen room;broadmatch;domestic services and cleaning team leaders
domestic services and cleaning team leaders;narrowmatch;head of linen room
head of cleaning (hotel, institution);broadmatch;domestic services and cleaning team leaders
domestic services and cleaning team leaders;narrowmatch;head of cleaning (hotel, institution)
hotel caretaker;broadmatch;domestic services and cleaning team leaders
domestic services and cleaning team leaders;narrowmatch;hotel caretaker
object leader cleaning;broadmatch;domestic services and cleaning team leaders
cleaning manager;broadmatch;domestic services and cleaning team leaders
building caretakers;narrowmatch;concierges
domestic services and cleaning team leaders;narrowmatch;cleaning manager
domestic services and cleaning team leaders;broadmatch;cleaning and housekeeping supervisors in offices, hotels and other establishments
cleaning and housekeeping supervisors in offices, hotels and other establishments;narrowmatch;domestic services and cleaning team leaders
building caretakers;broadmatch;building and housekeeping supervisors
building and housekeeping supervisors;narrowmatch;building caretakers
domestic housekeepers;broadmatch;building and housekeeping supervisors
building and housekeeping supervisors;narrowmatch;domestic housekeepers
cleaning and housekeeping supervisors in offices, hotels and other establishments;broadmatch;building and housekeeping supervisors
building and housekeeping supervisors;narrowmatch;cleaning and housekeeping supervisors in offices, hotels and other establishments
lifestyle coach;broadmatch;slimming and lifestyle consultants
slimming and lifestyle consultants;narrowmatch;lifestyle coach
image stylist;broadmatch;slimming and lifestyle consultants
slimming and lifestyle consultants;narrowmatch;image stylist
sauna worker;broadmatch;employees sauna and solarium
butler;broadmatch;butlers and hostesses
concierges;broadmatch;building caretakers
hostess / host of the funeral home;broadmatch;funeral and mortuary assistants
astrologers, soothsayers;narrowmatch;graphologist
funeral and mortuary assistants;narrowmatch;hostess / host of the funeral home
staff member of the funeral home reporting office;broadmatch;funeral and mortuary assistants
funeral and mortuary assistants;narrowmatch;staff member of the funeral home reporting office
staff member of the funeral home;broadmatch;funeral and mortuary assistants
funeral and mortuary assistants;narrowmatch;staff member of the funeral home
funeral director;broadmatch;funeral and mortuary assistants
funeral and mortuary assistants;narrowmatch;funeral director
animal funeral parlour staff and preparers;broadmatch;undertakers and embalmers
undertakers and embalmers;narrowmatch;animal funeral parlour staff and preparers
funeral directors;broadmatch;undertakers and embalmers
undertakers and embalmers;narrowmatch;funeral directors
funeral and mortuary assistants;broadmatch;undertakers and embalmers
undertakers and embalmers;narrowmatch;funeral and mortuary assistants
graphologist;broadmatch;astrologers, soothsayers
forester;broadmatch;astrologers, soothsayers
concierges;narrowmatch;koster
astrologers, soothsayers;narrowmatch;forester
astrologers, soothsayers;broadmatch;astrologers, fortune-tellers and related workers
astrologers, fortune-tellers and related workers;narrowmatch;astrologers, soothsayers
personal services workers not elsewhere classified;broadmatch;other personal services workers
other personal services workers;narrowmatch;personal services workers not elsewhere classified
driving instructors;broadmatch;other personal services workers
other personal services workers;narrowmatch;driving instructors
pet groomers and animal care workers;broadmatch;other personal services workers
other personal services workers;narrowmatch;pet groomers and animal care workers
undertakers and embalmers;broadmatch;other personal services workers
other personal services workers;narrowmatch;undertakers and embalmers
astrologers, fortune-tellers and related workers;broadmatch;other personal services workers
other personal services workers;narrowmatch;astrologers, fortune-tellers and related workers
koster;broadmatch;concierges
street and market salespersons;broadmatch;sales workers
sales workers;narrowmatch;shop salespersons
shop salespersons;broadmatch;sales workers
manager / entrepreneur electrical goods and equipment sales;broadmatch;retailers electronics
manager / entrepreneur selling home textiles and floor coverings;broadmatch;home furnishing retailers
home furnishing retailers;narrowmatch;manager / entrepreneur selling home textiles and floor coverings
home furnishing company;broadmatch;home furnishing retailers
home furnishing retailers;narrowmatch;home furnishing company
manager / entrepreneur selling household goods and gifts;broadmatch;retailers household articles-toys
retailers household articles-toys;narrowmatch;manager / entrepreneur selling household goods and gifts
manager / entrepreneur selling toys;broadmatch;retailers household articles-toys
retailers household articles-toys;narrowmatch;manager / entrepreneur selling toys
manager / entrepreneur selling audio and video equipment;broadmatch;retailers electronics
retailers electronics;narrowmatch;manager / entrepreneur selling audio and video equipment
manager / entrepreneur selling image and sound carriers;broadmatch;retailers electronics
retailers electronics;narrowmatch;manager / entrepreneur selling image and sound carriers
manager / entrepreneur selling computers and computer supplies;broadmatch;retailers electronics
retailers electronics;narrowmatch;manager / entrepreneur selling computers and computer supplies
retailers electronics;narrowmatch;manager / entrepreneur electrical goods and equipment sales
manager / entrepreneur selling home furnishings;broadmatch;home furnishing retailers
manager / entrepreneur selling photographic articles;broadmatch;retailers electronics
retailers electronics;narrowmatch;manager / entrepreneur selling photographic articles
manager / entrepreneur telecom products sales;broadmatch;retailers electronics
retailers electronics;narrowmatch;manager / entrepreneur telecom products sales
manager / entrepreneur building market;broadmatch;retailers do-it-yourself
retailers do-it-yourself;narrowmatch;manager / entrepreneur building market
manager / entrepreneur selling hardware and tools;broadmatch;retailers do-it-yourself
retailers do-it-yourself;narrowmatch;manager / entrepreneur selling hardware and tools
manager / entrepreneur selling paint and wallpaper;broadmatch;retailers do-it-yourself
retailers do-it-yourself;narrowmatch;manager / entrepreneur selling paint and wallpaper
manager / entrepreneur women's clothing sales;broadmatch;fashion retailers
fashion retailers;narrowmatch;manager / entrepreneur women's clothing sales
manager / entrepreneur organiser menswear sales;broadmatch;fashion retailers
fashion retailers;narrowmatch;manager / entrepreneur organiser menswear sales
home furnishing retailers;narrowmatch;manager / entrepreneur selling home furnishings
home furnishing retailers;narrowmatch;manager / entrepreneur selling parquet and laminate flooring
sales workers;narrowmatch;cashiers and ticket clerks
manager / entrepreneur gun sales;broadmatch;retailers non-food (other)
manager / entrepreneur selling musical instruments and sheet music;broadmatch;retailers non-food (other)
retailers non-food (other);narrowmatch;manager / entrepreneur selling musical instruments and sheet music
manager / entrepreneur car sales;broadmatch;retailers non-food (other)
retailers non-food (other);narrowmatch;manager / entrepreneur car sales
manager / entrepreneur selling stamps (philately) / coins;broadmatch;retailers non-food (other)
retailers non-food (other);narrowmatch;manager / entrepreneur selling stamps (philately) / coins
manager / entrepreneur selling bicycles;broadmatch;retailers non-food (other)
retailers non-food (other);narrowmatch;manager / entrepreneur selling bicycles
manager / entrepreneur selling sports and camping goods;broadmatch;retailers non-food (other)
retailers non-food (other);narrowmatch;manager / entrepreneur selling sports and camping goods
manager / entrepreneur selling tractors, agricultural and earthmoving machinery;broadmatch;retailers non-food (other)
retailers non-food (other);narrowmatch;manager / entrepreneur selling tractors, agricultural and earthmoving machinery
manager / entrepreneur selling second-hand goods;broadmatch;retailers non-food (other)
retailers non-food (other);narrowmatch;manager / entrepreneur selling second-hand goods
retailers non-food (other);narrowmatch;manager / entrepreneur gun sales
manager / entrepreneur selling parquet and laminate flooring;broadmatch;home furnishing retailers
manager / entrepreneur selling healthcare equipment and tools;broadmatch;retailers non-food (other)
retailers non-food (other);narrowmatch;manager / entrepreneur selling healthcare equipment and tools
manager / entrepreneur video shop;broadmatch;retailers non-food (other)
retailers non-food (other);narrowmatch;manager / entrepreneur video shop
jeweller;broadmatch;retailers non-food (other)
retailers non-food (other);narrowmatch;jeweller
manager / entrepreneur selling sewing and knitting machines;broadmatch;retailers non-food (other)
retailers non-food (other);narrowmatch;manager / entrepreneur selling sewing and knitting machines
manager / entrepreneur petrol station;broadmatch;retailers non-food (other)
retailers non-food (other);narrowmatch;manager / entrepreneur petrol station
manager / entrepreneur selling bathrooms and sanitary equipment;broadmatch;home furnishing retailers
home furnishing retailers;narrowmatch;manager / entrepreneur selling bathrooms and sanitary equipment
manager / entrepreneur selling kitchens;broadmatch;home furnishing retailers
home furnishing retailers;narrowmatch;manager / entrepreneur selling kitchens
manager / entrepreneur organising children's clothing sales;broadmatch;fashion retailers
fashion retailers;narrowmatch;manager / entrepreneur organising children's clothing sales
manager/entrepreneur selling all-round clothing;broadmatch;fashion retailers
shop salespersons;narrowmatch;shop sales assistants
shop keepers;narrowmatch;retailers non-food (other)
home furnishing retailers;broadmatch;shop keepers
shop keepers;narrowmatch;home furnishing retailers
retailers household articles-toys;broadmatch;shop keepers
shop keepers;narrowmatch;retailers household articles-toys
retailers electronics;broadmatch;shop keepers
shop keepers;narrowmatch;retailers electronics
retailers do-it-yourself;broadmatch;shop keepers
shop keepers;narrowmatch;retailers do-it-yourself
fashion retailers;broadmatch;shop keepers
shop keepers;narrowmatch;fashion retailers
retailers food;broadmatch;shop keepers
shop keepers;narrowmatch;retailers food
shop sales assistants;broadmatch;shop salespersons
shop supervisors;broadmatch;shop salespersons
fashion retailers;narrowmatch;manager/entrepreneur selling all-round clothing
shop salespersons;narrowmatch;shop supervisors
shop keepers;broadmatch;shop salespersons
shop salespersons;narrowmatch;shop keepers
market trader;broadmatch;market and kiosk vendors
market and kiosk vendors;narrowmatch;market trader
market vendor;broadmatch;market and kiosk vendors
market and kiosk vendors;narrowmatch;market vendor
market and kiosk vendors;broadmatch;stall and market salespersons
stall and market salespersons;narrowmatch;market and kiosk vendors
stall and market salespersons;broadmatch;street and market salespersons
street and market salespersons;narrowmatch;stall and market salespersons
other sales workers;broadmatch;sales workers
sales workers;narrowmatch;other sales workers
cashiers and ticket clerks;broadmatch;sales workers
retailers non-food (other);broadmatch;shop keepers
retailers food;narrowmatch;mobile shop salesman
mobile shop salesman;broadmatch;retailers food
retailers food;narrowmatch;manager of operations / entrepreneur selling game and poultry
manager / entrepreneur selling lingerie, legwear and body fashion products;broadmatch;fashion retailers
fashion retailers;narrowmatch;manager / entrepreneur selling lingerie, legwear and body fashion products
manager / entrepreneur shoe and leather goods sales;broadmatch;fashion retailers
fashion retailers;narrowmatch;manager / entrepreneur shoe and leather goods sales
manager / entrepreneur selling textiles (fabrics);broadmatch;fashion retailers
fashion retailers;narrowmatch;manager / entrepreneur selling textiles (fabrics)
manager/entrepreneur coffee shop (soft drugs);broadmatch;retailers food
retailers food;narrowmatch;manager/entrepreneur coffee shop (soft drugs)
manager / entrepreneur supermarket;broadmatch;retailers food
retailers food;narrowmatch;manager / entrepreneur supermarket
manager/entrepreneur selling potatoes, fruit and vegetables;broadmatch;retailers food
retailers food;narrowmatch;manager/entrepreneur selling potatoes, fruit and vegetables
manager / entrepreneur selling alcoholic beverages;broadmatch;retailers food
retailers food;narrowmatch;manager / entrepreneur selling alcoholic beverages
manager / entrepreneur selling bread, pastries, chocolate and confectionery;broadmatch;retailers food
retailers food;narrowmatch;manager / entrepreneur selling bread, pastries, chocolate and confectionery
manager / entrepreneur selling delicatessen products;broadmatch;retailers food
retailers food;narrowmatch;manager / entrepreneur selling delicatessen products
manager / entrepreneur selling cheese and dairy products;broadmatch;retailers food
retailers food;narrowmatch;manager / entrepreneur selling cheese and dairy products
manager / entrepreneur selling natural and health food products;broadmatch;retailers food
retailers food;narrowmatch;manager / entrepreneur selling natural and health food products
manager / entrepreneur selling tobacco and convenience goods;broadmatch;retailers food
retailers food;narrowmatch;manager / entrepreneur selling tobacco and convenience goods
manager / entrepreneur selling fish, crustaceans and molluscs;broadmatch;retailers food
retailers food;narrowmatch;manager / entrepreneur selling fish, crustaceans and molluscs
manager / entrepreneur selling meat and meat products;broadmatch;retailers food
retailers food;narrowmatch;manager / entrepreneur selling meat and meat products
manager of operations / entrepreneur selling game and poultry;broadmatch;retailers food
employees sauna and solarium;narrowmatch;sauna worker
sun consultant;broadmatch;employees sauna and solarium
employees sauna and solarium;narrowmatch;sun consultant
library staff;broadmatch;library clerks
group leader postal workers;broadmatch;postal deliverers and postal sorters
postal deliverers and postal sorters;narrowmatch;group leader postal workers
mailroom assistant;broadmatch;postal deliverers and postal sorters
postal deliverers and postal sorters;narrowmatch;mailroom assistant
mail deliverer;broadmatch;postal deliverers and postal sorters
postal deliverers and postal sorters;narrowmatch;mail deliverer
mail sorter;broadmatch;postal deliverers and postal sorters
postal deliverers and postal sorters;narrowmatch;mail sorter
team leader mail sorting centre;broadmatch;postal deliverers and postal sorters
postal deliverers and postal sorters;narrowmatch;team leader mail sorting centre
postal deliverers and postal sorters;broadmatch;mail carriers and sorting clerks
mail carriers and sorting clerks;narrowmatch;postal deliverers and postal sorters
library assistant;broadmatch;library staff
library staff;narrowmatch;library assistant
library clerks;narrowmatch;library staff
text correctors;broadmatch;coding, proof-reading and related clerks
clerical support workers not elsewhere classified;broadmatch;other clerical support workers
other clerical support workers;narrowmatch;clerical support workers not elsewhere classified
personnel clerks;broadmatch;other clerical support workers
other clerical support workers;narrowmatch;personnel clerks
filing and copying clerks;broadmatch;other clerical support workers
other clerical support workers;narrowmatch;filing and copying clerks
coding, proof-reading and related clerks;broadmatch;other clerical support workers
other clerical support workers;narrowmatch;coding, proof-reading and related clerks
mail carriers and sorting clerks;broadmatch;other clerical support workers
other clerical support workers;narrowmatch;mail carriers and sorting clerks
library clerks;broadmatch;other clerical support workers
other clerical support workers;narrowmatch;library clerks
operational traffic management officer;broadmatch;traffic managers
traffic managers;narrowmatch;operational traffic management officer
coding, proof-reading and related clerks;narrowmatch;text correctors
text correctors;narrowmatch;corrector
travel attendants and travel stewards;broadmatch;travel attendants, conductors and guides
correspondents;broadmatch;clerical support workers not elsewhere classified
protective services workers;broadmatch;service and sales workers
service and sales workers;narrowmatch;protective services workers
personal care workers;broadmatch;service and sales workers
service and sales workers;narrowmatch;personal care workers
sales workers;broadmatch;service and sales workers
service and sales workers;narrowmatch;sales workers
personal service workers;broadmatch;service and sales workers
service and sales workers;narrowmatch;personal service workers
fitness and recreation instructors and program leaders;broadmatch;correspondents
correspondents;narrowmatch;fitness and recreation instructors and program leaders
trade correspondent;broadmatch;correspondents
correspondents;narrowmatch;trade correspondent
technical correspondent;broadmatch;correspondents
correspondents;narrowmatch;technical correspondent
clerical support workers not elsewhere classified;narrowmatch;correspondents
corrector;broadmatch;text correctors
personnel and organisation assistant;broadmatch;personnel administration assistants
personnel administration assistants;narrowmatch;personnel and organisation assistant
staff planner;broadmatch;schedulers and personnel planners
schedulers and personnel planners;narrowmatch;staff planner
personnel administration assistants;broadmatch;personnel clerks
personnel clerks;narrowmatch;personnel administration assistants
schedulers and personnel planners;broadmatch;personnel clerks
personnel clerks;narrowmatch;schedulers and personnel planners
archive assistant;broadmatch;filing assistants
filing assistants;narrowmatch;archive assistant
museum archive assistant;broadmatch;filing assistants
filing assistants;narrowmatch;museum archive assistant
filing assistants;broadmatch;filing and copying clerks
filing and copying clerks;narrowmatch;filing assistants
shipping master;broadmatch;traffic managers
traffic managers;narrowmatch;shipping master
train dispatcher;broadmatch;traffic managers
agricultural engineering planners and calculators;narrowmatch;agricultural engineering calculator
mechanical engineering planners and calculators;narrowmatch;mechanical engineering planner
specification writer in civil engineering;broadmatch;planners and calculators civil engineering
planners and calculators civil engineering;narrowmatch;specification writer in civil engineering
civil engineering calculator;broadmatch;planners and calculators civil engineering
planners and calculators civil engineering;narrowmatch;civil engineering calculator
planner/calculator civil engineering;broadmatch;planners and calculators civil engineering
planners and calculators civil engineering;narrowmatch;planner/calculator civil engineering
work planner/project leader civil engineering;broadmatch;planners and calculators civil engineering
planners and calculators civil engineering;narrowmatch;work planner/project leader civil engineering
planner for civil engineering work;broadmatch;planners and calculators civil engineering
planners and calculators civil engineering;narrowmatch;planner for civil engineering work
electrical engineering planner;broadmatch;electrical engineering planners and calculators
electrical engineering planners and calculators;narrowmatch;electrical engineering planner
agricultural engineering calculator;broadmatch;agricultural engineering planners and calculators
planner/calculator civil engineering;broadmatch;agricultural engineering planners and calculators
traffic managers;narrowmatch;train dispatcher
agricultural engineering planners and calculators;narrowmatch;planner/calculator civil engineering
planner civil engineering;broadmatch;agricultural engineering planners and calculators
agricultural engineering planners and calculators;narrowmatch;planner civil engineering
construction estimator;broadmatch;planners and calculators for construction and installation technology
planners and calculators for construction and installation technology;narrowmatch;construction estimator
construction calculator;broadmatch;planners and calculators for construction and installation technology
planners and calculators for construction and installation technology;narrowmatch;construction calculator
construction planner/calculator;broadmatch;planners and calculators for construction and installation technology
planners and calculators for construction and installation technology;narrowmatch;construction planner/calculator
planner/calculator installation technology;broadmatch;planners and calculators for construction and installation technology
planners and calculators for construction and installation technology;narrowmatch;planner/calculator installation technology
construction planner;broadmatch;planners and calculators for construction and installation technology
planners and calculators for construction and installation technology;narrowmatch;construction planner
business office assistant;broadmatch;production planners
mechanical engineering planner;broadmatch;mechanical engineering planners and calculators
mechanical engineering planners and calculators;narrowmatch;mechanical engineering calculator
mechanical engineering calculator;broadmatch;mechanical engineering planners and calculators
interior and furniture construction planners;narrowmatch;work planner/calculator carpentry
port traffic controller;broadmatch;traffic managers
traffic managers;narrowmatch;port traffic controller
dock master;broadmatch;warehouse and transport managers
warehouse and transport managers;narrowmatch;dock master
head of distribution production, trading company;broadmatch;warehouse and transport managers
warehouse and transport managers;narrowmatch;head of distribution production, trading company
loading manager;broadmatch;warehouse and transport managers
warehouse and transport managers;narrowmatch;loading manager
traffic managers;broadmatch;transport clerks
transport clerks;narrowmatch;traffic managers
warehouse and transport managers;broadmatch;transport clerks
transport clerks;narrowmatch;warehouse and transport managers
transport planners;broadmatch;transport clerks
transport clerks;narrowmatch;transport planners
technical calculator (process industry);broadmatch;process engineering calculators
process engineering calculators;narrowmatch;technical calculator (process industry)
graphics intermediary;broadmatch;order and production supervisors
order and production supervisors;narrowmatch;graphics intermediary
order manager;broadmatch;order and production supervisors
order and production supervisors;narrowmatch;order manager
publishing production supervisor;broadmatch;order and production supervisors
order and production supervisors;narrowmatch;publishing production supervisor
traffic manager advertising;broadmatch;order and production supervisors
order and production supervisors;narrowmatch;traffic manager advertising
work planner interior construction company;broadmatch;interior and furniture construction planners
interior and furniture construction planners;narrowmatch;work planner interior construction company
planner furniture industry;broadmatch;interior and furniture construction planners
interior and furniture construction planners;narrowmatch;planner furniture industry
work planner/calculator carpentry;broadmatch;interior and furniture construction planners
travel attendants, conductors and guides;narrowmatch;travel attendants and travel stewards
travel attendants, conductors and guides;narrowmatch;transport conductors
beauty salon manager / entrepreneur;broadmatch;beauty salon managers
catering service staff;narrowmatch;first food service assistant
hairdressers, beauticians and related workers;narrowmatch;hairdressers
barkeeper;broadmatch;bar staff
bar staff;narrowmatch;barkeeper
bar staff;broadmatch;bartenders
bartenders;narrowmatch;bar staff
banqueting room furnishing planner;broadmatch;banqueting staff
banqueting staff;narrowmatch;banqueting room furnishing planner
banqueting room coordinator;broadmatch;banqueting staff
banqueting staff;narrowmatch;banqueting room coordinator
banqueting room assistant;broadmatch;banqueting staff
banqueting staff;narrowmatch;banqueting room assistant
catering service manager (luxury restaurant);broadmatch;catering service managers
catering service managers;narrowmatch;catering service manager (luxury restaurant)
first food service assistant;broadmatch;catering service staff
employee catering service;broadmatch;catering service staff
hairdressers, beauticians and related workers;narrowmatch;beauticians and related workers
catering service staff;narrowmatch;employee catering service
employee catering service (luxury restaurant);broadmatch;catering service staff
catering service staff;narrowmatch;employee catering service (luxury restaurant)
banqueting staff;broadmatch;waiters
waiters;narrowmatch;banqueting staff
catering service managers;broadmatch;waiters
waiters;narrowmatch;catering service managers
catering service staff;broadmatch;waiters
waiters;narrowmatch;catering service staff
bartenders;broadmatch;waiters and bartenders
waiters and bartenders;narrowmatch;bartenders
waiters;broadmatch;waiters and bartenders
waiters and bartenders;narrowmatch;waiters
ship's cook;broadmatch;institution cooks
hairdressers;broadmatch;hairdressers, beauticians and related workers
beauticians and related workers;broadmatch;hairdressers, beauticians and related workers
transport conductors;broadmatch;travel attendants, conductors and guides
beauticians and related workers;narrowmatch;beauticians
beauty salon managers;narrowmatch;beauty salon manager / entrepreneur
make-up artist;broadmatch;beauticians
beauticians;narrowmatch;make-up artist
foot care worker;broadmatch;pedicures
pedicures;narrowmatch;foot care worker
slimming and lifestyle consultants;broadmatch;beauticians and related workers
beauticians and related workers;narrowmatch;slimming and lifestyle consultants
employees sauna and solarium;broadmatch;beauticians and related workers
beauticians and related workers;narrowmatch;employees sauna and solarium
beauty salon managers;broadmatch;beauticians and related workers
beauticians and related workers;narrowmatch;beauty salon managers
manicurists;broadmatch;beauticians and related workers
beauticians and related workers;narrowmatch;manicurists
beauticians;broadmatch;beauticians and related workers
pedicures;broadmatch;beauticians and related workers
hairdressers;narrowmatch;apprentice hairdressers
beauticians and related workers;narrowmatch;pedicures
hairdressing salon manager/entrepreneur;broadmatch;hairdressing salon managers
hairdressing salon managers;narrowmatch;hairdressing salon manager/entrepreneur
hairdressing salon assistant;broadmatch;apprentice hairdressers
apprentice hairdressers;narrowmatch;hairdressing salon assistant
afro hairdresser;broadmatch;hairdressers
hairdressers;narrowmatch;afro hairdresser
first hairdresser;broadmatch;hairdressers
hairdressers;narrowmatch;first hairdresser
hairdressing specialist;broadmatch;hairdressers
hairdressers;narrowmatch;hairdressing specialist
hairdressing salon managers;broadmatch;hairdressers
hairdressers;narrowmatch;hairdressing salon managers
apprentice hairdressers;broadmatch;hairdressers
institution cooks;narrowmatch;ship's cook
diet cook;broadmatch;institution cooks
institution cooks;narrowmatch;diet cook
passenger ship steward;broadmatch;stewards bus, train, ship
tour guides and conductors;broadmatch;travel guides
travel guides;narrowmatch;tour guides and conductors
conductor;broadmatch;conductors and station managers
conductors and station managers;narrowmatch;conductor
public transport inspector;broadmatch;conductors and station managers
conductors and station managers;narrowmatch;public transport inspector
platform supervisor;broadmatch;conductors and station managers
conductors and station managers;narrowmatch;platform supervisor
conductors and station managers;broadmatch;transport conductors
transport conductors;narrowmatch;conductors and station managers
ship steward;broadmatch;stewards bus, train, ship
stewards bus, train, ship;narrowmatch;ship steward
steward bus, coach;broadmatch;stewards bus, train, ship
stewards bus, train, ship;narrowmatch;steward bus, coach
stewards bus, train, ship;narrowmatch;passenger ship steward
institution chef;broadmatch;institution cooks
train steward catering;broadmatch;stewards bus, train, ship
stewards bus, train, ship;narrowmatch;train steward catering
ground steward / ground stewardess;broadmatch;airline stewards
airline stewards;narrowmatch;ground steward / ground stewardess
airline stewardess;broadmatch;airline stewards
airline stewards;narrowmatch;airline stewardess
purser (aviation);broadmatch;airline stewards
airline stewards;narrowmatch;purser (aviation)
stewards bus, train, ship;broadmatch;travel attendants and travel stewards
travel attendants and travel stewards;narrowmatch;stewards bus, train, ship
airline stewards;broadmatch;travel attendants and travel stewards
travel attendants and travel stewards;narrowmatch;airline stewards
travel guides;broadmatch;travel attendants, conductors and guides
travel attendants, conductors and guides;narrowmatch;travel guides
tour guides and conductors;narrowmatch;tour guide
tour guide;broadmatch;tour guides and conductors
tour guides and conductors;narrowmatch;museum guide
museum guide;broadmatch;tour guides and conductors
institution cooks;narrowmatch;institution chef
cook arabic;broadmatch;speciality cooks
speciality cooks;narrowmatch;cook arabic
cook asian;broadmatch;speciality cooks
speciality cooks;narrowmatch;cook asian
cook balkan, turkish, greek;broadmatch;speciality cooks
speciality cooks;narrowmatch;cook balkan, turkish, greek
cook south american, central american;broadmatch;speciality cooks
speciality cooks;narrowmatch;cook south american, central american
cook southern european;broadmatch;speciality cooks
speciality cooks;narrowmatch;cook southern european
basic cook;broadmatch;basic restaurant chefs
basic restaurant chefs;narrowmatch;basic cook
first assistant kitchen;broadmatch;basic restaurant chefs
basic restaurant chefs;narrowmatch;first assistant kitchen
chef de partie;broadmatch;self-employed restaurant chefs, chefs de partie
self-employed restaurant chefs, chefs de partie;narrowmatch;chef de partie
independent cook;broadmatch;self-employed restaurant chefs, chefs de partie
self-employed restaurant chefs, chefs de partie;narrowmatch;independent cook
institution cooks;broadmatch;cooks
cooks;narrowmatch;institution cooks
speciality cooks;broadmatch;cooks
cooks;narrowmatch;speciality cooks
basic restaurant chefs;broadmatch;cooks
cooks;narrowmatch;basic restaurant chefs
self-employed restaurant chefs, chefs de partie;broadmatch;cooks
cooks;narrowmatch;self-employed restaurant chefs, chefs de partie
tourism host;broadmatch;tour guides and conductors
tour guides and conductors;narrowmatch;tourism host
retailers non-food (other);narrowmatch;manager / entrepreneur motorbike sales
manager / entrepreneur motorbike sales;broadmatch;retailers non-food (other)
retailers non-food (other);narrowmatch;manager / entrepreneur jewellery and watches sales
