head;tail;relation
nuclear molding;nuclear molding;exactmatch
solitary pulmonary nodule;coin lesion;exactmatch
stage ii skin cancer;carcinoma of skin stage ii;exactmatch
lepidic growth pattern;lepidic growth pattern;exactmatch
tubular structures of glycogen-rich non-ciliated cells present;tubular structures of glycogen-rich non-ciliated cells present;exactmatch
stage iii skin cancer;carcinoma of skin stage iii;exactmatch
stage iv skin cancer;carcinoma of skin stage iv;exactmatch
skin sarcoma;cutaneous sarcoma;exactmatch
middle cranial fossa meningioma;meningioma of middle cranial fossa;exactmatch
visual pathway meningioma;meningioma of optic tract;exactmatch
recurrent medulloblastoma;recurrent medulloblastoma;exactmatch
jugular foramen neoplasm;jugular foramen neoplasm;exactmatch
pilosebaceous hamartoma;pilosebaceous hamartoma;exactmatch
skin appendage hamartoma;hamartoma of skin appendage;exactmatch
acinar prostate adenocarcinoma, sarcomatoid variant;acinar prostate adenocarcinoma, sarcomatoid variant;exactmatch
eccrine porocarcinoma;eccrine porocarcinoma;exactmatch
malignant prostate phyllodes tumor;malignant phyllodes neoplasm of prostate;exactmatch
benign prostate phyllodes tumor;benign phyllodes neoplasm of prostate;exactmatch
prostate lymphoma;lymphoma of prostate;exactmatch
prostate non-hodgkin lymphoma;non-hodgkin's lymphoma of prostate;exactmatch
acinar prostate adenocarcinoma, signet ring variant;acinar prostate adenocarcinoma, signet ring variant;exactmatch
prostate squamous cell carcinoma;prostate squamous cell carcinoma;exactmatch
acinar prostate mucinous adenocarcinoma;acinar colloid prostate adenocarcinoma;exactmatch
prostate adenosquamous carcinoma;adenosquamous carcinoma of prostate;exactmatch
prostate adenoid cystic carcinoma;adenoid cystic carcinoma of prostate;exactmatch
high grade prostatic intraepithelial neoplasia;hgpin;exactmatch
low grade prostatic intraepithelial neoplasia;grade 1 pin;exactmatch
cecum adenocarcinoma;adenocarcinoma of cecum;exactmatch
prostate leiomyoma;leiomyoma of prostate;exactmatch
prostate neuroendocrine neoplasm;neuroendocrine neoplasm of prostate;exactmatch
rectal adenoma;adenoma of rectum;exactmatch
rectal neuroendocrine tumor g1;carcinoid tumor of rectum;exactmatch
rectal sarcoma;rectal sarcoma;exactmatch
rectal leiomyosarcoma;leiomyosarcoma of rectum;exactmatch
rectal kaposi sarcoma;kaposi's sarcoma of rectum;exactmatch
rectal lipoma;lipoma of rectum;exactmatch
rectal leiomyoma;leiomyoma of rectum;exactmatch
rectal lymphoma;lymphoma of rectum;exactmatch
rectal squamous cell carcinoma;rectal squamous carcinoma;exactmatch
cloacogenic carcinoma of the rectum;cloacogenic carcinoma of rectum;exactmatch
rectal sarcomatoid carcinoma;rectal sarcomatoid cancer;exactmatch
ceruminous neoplasm;ceruminous neoplasm;exactmatch
malignant eccrine neoplasm;malignant eccrine neoplasm;exactmatch
neoplastic syndrome;cancer-related syndrome;exactmatch
invasive lobular breast carcinoma, signet ring variant;invasive lobular breast carcinoma, signet ring variant;exactmatch
mucinous tall columnar adenocarcinoma cell;mucinous tall columnar adenocarcinoma cell;exactmatch
basaloid squamous cell carcinoma;basaloid squamous cell carcinoma;exactmatch
skin ulcer;skin ulcer;exactmatch
angiosarcoma-like areas present;angiosarcoma-like areas present;exactmatch
skin adenosquamous carcinoma;skin adenosquamous cancer;exactmatch
windblown appearance of atypical keratinocytes;windblown appearance of atypical keratinocytes;exactmatch
acantholysis;acantholysis;exactmatch
dome-shaped lesion;dome-shaped lesion;exactmatch
clivus chondroid chordoma;chondroid chordoma of clivus;exactmatch
ear carcinoma;ear carcinoma;exactmatch
retroperitoneal ganglioneuroma;ganglioneuroma of retroperitoneum;exactmatch
throat;throat;exactmatch
intramedullary spinal cord teratoma;intramedullary spinal cord teratoma;exactmatch
paranasal sinus epithelium;paranasal sinus epithelium;exactmatch
rhinorrhea;nasal discharge;exactmatch
keratinizing head and neck squamous cell carcinoma;keratinizing head and neck squamous cell carcinoma;exactmatch
keratinizing paranasal sinus squamous cell carcinoma;keratinizing paranasal sinus squamous cell carcinoma;exactmatch
keratinizing nasal cavity squamous cell carcinoma;keratinizing nasal cavity squamous cell carcinoma;exactmatch
non-keratinizing sinonasal squamous cell carcinoma;non-keratinizing sinonasal squamous cell carcinoma;exactmatch
childhood mediastinal neurogenic neoplasm;childhood mediastinal neurogenic neoplasm;exactmatch
nasal cavity and paranasal sinus carcinoma;nasal cavity and paranasal sinus cancer;exactmatch
sinonasal undifferentiated carcinoma;sinonasal anaplastic carcinoma;exactmatch
primary intraosseous squamous cell carcinoma;pioscc;exactmatch
odontogenic epithelium;odontogenic epithelium;exactmatch
metastasizing ameloblastoma;ameloblastoma, malignant;exactmatch
ameloblastic carcinoma-secondary type (dedifferentiated), intraosseous;ameloblastic carcinoma-secondary type (dedifferentiated), intraosseous;exactmatch
ameloblastic carcinoma-secondary type (dedifferentiated), peripheral;ameloblastic carcinoma-secondary type (dedifferentiated), peripheral;exactmatch
intracranial germinoma;intracranial germinoma;exactmatch
clear cell odontogenic carcinoma;clear cell ameloblastoma;exactmatch
malignant hyperchromatic epithelial cell;malignant hyperchromatic epithelial cell;exactmatch
no evidence of radiologic finding;no evidence of radiologic finding;exactmatch
round adenocarcinoma cell with abundant cytoplasm and vesicular nucleus;round adenocarcinoma cell with abundant cytoplasm and vesicular nucleus;exactmatch
bronchial epithelial cell;bronchial epithelial cell;exactmatch
columnar cell change of the breast with atypia;columnar cell change of breast with atypia;exactmatch
columnar cell hyperplasia of the breast;cch;exactmatch
columnar cell hyperplasia of the breast with atypia;columnar cell hyperplasia of breast with atypia;exactmatch
floor of mouth;floor of mouth;exactmatch
rectosigmoid region;rectosigmoid junction;exactmatch
colorectal region;colorectal region;exactmatch
gliofibroma;gliofibroma;exactmatch
exophytic papillary lesion;exophytic papillary lesion;exactmatch
nicotine dependence;nicotine addiction;exactmatch
endophytic tumor growth;endophytic tumor growth;exactmatch
malignant small squamous cell;malignant basaloid squamous cell;exactmatch
malignant hyperchromatic squamous cell;malignant hyperchromatic squamous cell;exactmatch
peripheral nuclear palisading;peripheral nuclear palisading;exactmatch
sympathetic schwannoma;sympathetic neurilemmoma;exactmatch
urachal epithelium;urachal epithelium;exactmatch
early stromal invasion present;early stromal invasion present;exactmatch
horny masses of keratin present;horny masses of keratin present;exactmatch
"t(11;19)(q14-21;p12-13)";"t(11;19)(q14-21;p12-13)";exactmatch
mect1-maml2 fusion protein expression;crtc1-maml2 fusion protein expression;exactmatch
mucin-producing malignant epithelial cell;mucin-producing malignant epithelial cell;exactmatch
odontogenic cyst;odontogenic cyst;exactmatch
postcricoid region;lower hypopharyngeal region;exactmatch
lip and oral cavity;lip and oral cavity;exactmatch
cervicomedullary junction neoplasm;cervicomedullary junction neoplasm;exactmatch
malignant large squamous cell;malignant large squamous cell;exactmatch
epidural spinal canal angiolipoma;angiolipoma of epidural spinal canal;exactmatch
mixture of morphologic patterns;mixture of morphologic patterns;exactmatch
calcifying epithelial odontogenic tumor;calcifying epithelial odontogenic tumor;exactmatch
keratocystic odontogenic tumor;keratocystic odontogenic tumor;exactmatch
primary intraosseous squamous cell carcinoma derived from keratocystic odontogenic tumor;primary intraosseous carcinoma ex keratocystic odontogenic tumor;exactmatch
odontoameloblastoma;ameloblastic odontoma;exactmatch
central nervous system lipoma;cns lipoma;exactmatch
inner ear lipoma;inner ear lipoma;exactmatch
skull base chordoma;chordoma of skull base;exactmatch
single malignant cells present;single malignant cells present;exactmatch
malignant transitional cell with large nucleus and small nucleolus;malignant transitional cell with large nucleus and small nucleolus;exactmatch
malignant transitional cell with eccentrically placed large nucleus and small nucleolus;malignant transitional cell with eccentrically placed large nucleus and small nucleolus;exactmatch
renal pelvis urothelium;renal pelvis transitional epithelium;exactmatch
renal pelvis urothelial cell;renal pelvis transitional cell;exactmatch
human chorionic gonadotropin positive neoplastic cells present;human chorionic gonadotropin positive neoplastic cells present;exactmatch
malignant transitional cell with clear cytoplasm;malignant transitional cell with clear cytoplasm;exactmatch
lipoblast-like malignant transitional cell;lipoblast-like malignant transitional cell;exactmatch
preserved nuclear polarity;preserved nuclear polarity;exactmatch
invasive apocrine breast carcinoma;infiltrating apocrine breast carcinoma;exactmatch
intestinal hemorrhage;intestinal hemorrhage;exactmatch
gastric hemorrhage;gastric hemorrhage;exactmatch
malignant epithelial cell with ground glass cytoplasm;malignant epithelial cell with ground glass cytoplasm;exactmatch
central nervous system germ cell tumor;cns germ cell neoplasm;exactmatch
intracranial extraskeletal myxoid chondrosarcoma;intracranial extraskeletal myxoid chondrosarcoma;exactmatch
synchronous lesion;synchronous lesion;exactmatch
central nervous system rhabdomyosarcoma;cns rhabdomyosarcoma;exactmatch
central nervous system fibrosarcoma;cns fibrosarcoma;exactmatch
breast nevus;breast nevus;exactmatch
acral skin nevus;acral skin nevus;exactmatch
central nervous system paraganglioma;cns paraganglioma;exactmatch
head and neck nevus;head and neck nevus;exactmatch
hidradenocarcinoma;clear cell eccrine carcinoma;exactmatch
skin keratotic basal cell carcinoma;keratotic basal cell carcinoma;exactmatch
central nervous system angiosarcoma;angiosarcoma of cns;exactmatch
central nervous system mesenchymal, non-meningothelial neoplasm;cns soft tissue neoplasm;exactmatch
malignant childhood central nervous system neoplasm;childhood malignant cns neoplasms;exactmatch
transcription regulation gene;transcription regulation gene;exactmatch
intracranial cavernous hemangioma;intracranial cavernoma;exactmatch
cerebral hemangioma;angioma of cerebral hemispheres;exactmatch
laryngeal basaloid carcinoma;laryngeal basaloid carcinoma;exactmatch
laryngeal squamous cell carcinoma, spindle cell variant;laryngeal carcinosarcoma;exactmatch
laryngeal acantholytic squamous cell carcinoma;laryngeal acantholytic squamous cell carcinoma;exactmatch
laryngeal undifferentiated carcinoma;laryngeal undifferentiated carcinoma;exactmatch
schwannoma of the twelfth cranial nerve;hypoglossal nerve neurilemmoma;exactmatch
laryngeal giant cell carcinoma;laryngeal anaplastic carcinoma;exactmatch
oncocytic schneiderian papilloma;oncocytic schneiderian papilloma;exactmatch
exophytic schneiderian papilloma;exophytic schneiderian papilloma;exactmatch
cerebellopontine angle embryonal tumor, not otherwise specified;c-p angle pnet;exactmatch
nasopharyngeal basaloid squamous cell carcinoma;nasopharyngeal basaloid squamous cell carcinoma;exactmatch
extracranial neuroblastoma;extracranial neuroblastoma;exactmatch
childhood anaplastic oligodendroglioma;anaplastic childhood oligodendroglioma;exactmatch
corpus callosum lipoma;corpus callosum lipoma;exactmatch
malignant epithelial large cell with vesicular nucleus and distinct nucleolus;malignant epithelial large cell with vesicular nucleus and distinct nucleolus;exactmatch
central nervous system leukemia;cns leukemia;exactmatch
nasopharyngeal papillary adenocarcinoma;nasopharyngeal papillary adenocarcinoma;exactmatch
central nervous system teratoma;cns teratoma;exactmatch
rassf1a gene inactivation;rassf1 gene inactivation;exactmatch
round adenocarcinoma cell;round adenocarcinoma cell;exactmatch
renal pelvis and ureter;renal pelvis and ureter;exactmatch
intracranial melanoma;intracranial melanoma;exactmatch
conus medullaris neoplasm;conus medullaris neoplasm;exactmatch
intracranial lipoma;intracranial lipoma;exactmatch
meningeal gliomatosis;gliomatosis of meninges;exactmatch
benign childhood central nervous system neoplasm;benign childhood cns neoplasm;exactmatch
chordoid glioma of the third ventricle;chordoid glioma;exactmatch
prostate acinar adenocarcinoma;acinar adenocarcinoma of prostate;exactmatch
stage ii small intestinal cancer ajcc v7;small intestine cancer stage ii;exactmatch
stage iv small intestinal cancer ajcc v7;small intestine cancer stage iv;exactmatch
small intestinal gastrointestinal stromal tumor;digestive stromal neoplasm of small intestine;exactmatch
metastatic malignant neoplasm in the adult brain;brain metastases, adult;exactmatch
intracranial embryonal tumor, not otherwise specified;intracranial embryonal tumor, nos;exactmatch
pharyngeal adenoid cystic carcinoma;adenoid cystic carcinoma of pharynx;exactmatch
buccal mucosa papilloma;buccal mucosa papilloma;exactmatch
esophageal neuroendocrine tumor g1;carcinoid tumor of esophagus;exactmatch
esophageal neuroendocrine neoplasm;esophageal neuroendocrine neoplasm;exactmatch
nerve plexus neoplasm;neoplasm of nerve plexus;exactmatch
brachial plexus neoplasm;brachial plexus neoplasm;exactmatch
lumbar plexus neoplasm;lumbar plexus neoplasm;exactmatch
trochlear nerve neoplasm;fourth cranial nerve neoplasm;exactmatch
abducens nerve neoplasm;abducens nerve neoplasm;exactmatch
facial nerve neoplasm;facial nerve neoplasm;exactmatch
glossopharyngeal nerve neoplasm;glossopharyngeal nerve neoplasm;exactmatch
accessory nerve neoplasm;accessory nerve neoplasm;exactmatch
hypoglossal nerve neoplasm;hypoglossal nerve neoplasm;exactmatch
vagus nerve neoplasm;neoplasm of tenth cranial nerve;exactmatch
liver fibrosarcoma;fibrosarcoma of liver;exactmatch
liver extraskeletal osteosarcoma;hepatic extraskeletal osteosarcoma;exactmatch
liver rhabdomyosarcoma;hepatic rhabdomyosarcoma;exactmatch
gallbladder lipoma;gallbladder lipoma;exactmatch
undifferentiated gallbladder carcinoma, spindle and giant cell type;pleomorphic spindle and giant cell carcinoma of gallbladder;exactmatch
gallbladder rhabdomyosarcoma;gallbladder rhabdomyosarcoma;exactmatch
gallbladder angiosarcoma;angiosarcoma of gallbladder;exactmatch
gallbladder leiomyosarcoma;gallbladder leiomyosarcoma;exactmatch
gallbladder kaposi sarcoma;gallbladder kaposi sarcoma;exactmatch
stage iii small intestinal cancer ajcc v7;small intestine cancer stage iii;exactmatch
stage i small intestinal cancer ajcc v7;small intestine cancer stage i;exactmatch
clear cell hepatocellular carcinoma;clear cell carcinoma of liver cells;exactmatch
gastric gastrointestinal stromal tumor;digestive stromal neoplasm of stomach;exactmatch
stage i hepatocellular carcinoma ajcc v6 and v7;hepatocellular cancer stage i;exactmatch
stage ii hepatocellular carcinoma ajcc v6 and v7;hepatocullular cancer stage ii;exactmatch
stage iii hepatocellular carcinoma ajcc v6;hepatocellular cancer stage iii ajcc v6;exactmatch
stage iv hepatocellular carcinoma ajcc v6;hepatocellular cancer stage iv ajcc v6;exactmatch
stage ivb hepatocellular carcinoma ajcc v7;stage ivb carcinoma of liver cells;exactmatch
liver non-hodgkin lymphoma;hepatic non-hodgkin lymphoma;exactmatch
liver mucosa-associated lymphoid tissue lymphoma;hepatic maltoma;exactmatch
extrahepatic bile duct clear cell adenocarcinoma;bile duct clear cell adenocarcinoma;exactmatch
extrahepatic bile duct signet ring cell carcinoma;bile duct signet ring cell carcinoma;exactmatch
extrahepatic bile duct squamous cell carcinoma;bile duct squamous cell carcinoma;exactmatch
extrahepatic bile duct adenosquamous carcinoma;adenosquamous bile duct carcinoma;exactmatch
extrahepatic bile duct undifferentiated carcinoma;anaplastic carcinoma of extrahepatic bile duct;exactmatch
liver neuroendocrine tumor;carcinoid tumor of liver;exactmatch
jejunal somatostatin-producing neuroendocrine tumor;delta cell tumor of jejunum;exactmatch
pancreatic non-hodgkin lymphoma;pancreatic non-hodgkin lymphoma;exactmatch
adult central nervous system embryonal carcinoma;adult cns embryonal carcinoma;exactmatch
adult central nervous system germinoma;adult cns germinoma;exactmatch
adult central nervous system choriocarcinoma;adult cns choriocarcinoma;exactmatch
adult central nervous system teratoma;adult cns teratoma;exactmatch
childhood brain germ cell tumor;childhood brain germ cell neoplasm;exactmatch
benign adult cerebellar neoplasm;adult benign cerebellar neoplasms;exactmatch
benign adult brain stem neoplasm;adult benign brain stem neoplasms;exactmatch
benign childhood brain neoplasm;benign childhood brain neoplasm;exactmatch
benign childhood supratentorial neoplasm;benign childhood supratentorial neoplasm;exactmatch
childhood choroid plexus papilloma;childhood choroid plexus papilloma;exactmatch
childhood infratentorial neoplasm;childhood infratentorial neoplasm;exactmatch
small intestinal neuroendocrine neoplasm;small intestinal neuroendocrine neoplasm;exactmatch
extrahepatic bile duct small cell neuroendocrine carcinoma;extrahepatic bile duct small cell nec;exactmatch
extrahepatic bile duct mucinous adenocarcinoma;bile duct colloid carcinoma;exactmatch
extrahepatic bile duct embryonal rhabdomyosarcoma;embryonal extrahepatic bile duct rhabdomyosarcoma;exactmatch
extrahepatic bile duct leiomyosarcoma;bile duct leiomyosarcoma;exactmatch
stage iv major salivary gland cancer ajcc v7;stage iv carcinoma of major salivary gland;exactmatch
stage iv major salivary gland carcinoma with metastasis;stage iv carcinoma of major salivary gland with metastasis;exactmatch
stage iv major salivary gland carcinoma without metastasis;stage iv carcinoma of major salivary gland without metastasis;exactmatch
major salivary gland acinic cell carcinoma;acinic cell adenocarcinoma of major salivary gland;exactmatch
malignant mixed tumor of the major salivary gland;malignant major salivary gland mixed neoplasm;exactmatch
major salivary gland adenocarcinoma;adenocarcinoma of major salivary gland;exactmatch
salivary duct carcinoma;carcinoma of salivary duct;exactmatch
major salivary gland adenoid cystic carcinoma;adenoid cystic carcinoma of major salivary gland;exactmatch
major salivary gland mucoepidermoid carcinoma;major salivary gland mucoepidermoid cancer;exactmatch
major salivary gland carcinoma;carcinoma of major salivary gland;exactmatch
salivary gland mucoepidermoid carcinoma;mucoepidermoid carcinoma of salivary gland;exactmatch
oral cavity leiomyoma;leiomyoma of mouth;exactmatch
oral cavity lipoma;lipoma of mouth;exactmatch
oral cavity granular cell tumor;granular cell neoplasm of mouth;exactmatch
oral cavity adenoma;adenoma of mouth;exactmatch
oral cavity adenocarcinoma;adenocarcinoma of mouth;exactmatch
oral cavity mucosal melanoma;mouth mucosal melanoma;exactmatch
oral cavity sarcoma;mouth sarcoma;exactmatch
tonsillar lymphoma;lymphoma of tonsil;exactmatch
salivary gland oncocytoma;oncocytoma of salivary gland;exactmatch
parotid gland acinic cell carcinoma;acinic cell carcinoma of parotid;exactmatch
submandibular gland acinic cell carcinoma;acinic cell carcinoma of submandibular gland;exactmatch
submandibular gland adenoid cystic carcinoma;adenoid cystic carcinoma of submandibular gland;exactmatch
minor salivary gland adenoid cystic carcinoma;adenoid cystic carcinoma of minor salivary gland;exactmatch
parotid gland adenoid cystic carcinoma;adenoid cystic carcinoma of parotid;exactmatch
parotid gland mucoepidermoid carcinoma;mucoepidermoid carcinoma of parotid;exactmatch
submandibular gland mucoepidermoid carcinoma;mucoepidermoid carcinoma of submandibular gland;exactmatch
stage iii major salivary gland cancer ajcc v7;stage iii carcinoma of major salivary gland;exactmatch
stage ii major salivary gland cancer ajcc v7;stage ii carcinoma of major salivary gland;exactmatch
stage i major salivary gland cancer ajcc v7;stage i carcinoma of major salivary gland;exactmatch
extrahepatic bile duct mucoepidermoid carcinoma;bile duct mucoepidermoid carcinoma;exactmatch
extrahepatic bile duct papillary adenoma;extrahepatic bile duct papillary adenoma;exactmatch
extrahepatic bile duct tubular adenoma;extrahepatic bile duct tubular adenoma;exactmatch
extrahepatic bile duct mucinous cystic neoplasm;cystadenoma of extrahepatic bile duct;exactmatch
extrahepatic bile duct benign granular cell tumor;benign extrahepatic bile duct granular cell myoblastoma;exactmatch
extrahepatic bile duct fibroma;extrahepatic bile duct fibroma;exactmatch
extrahepatic bile duct lipoma;extrahepatic bile duct lipoma;exactmatch
extrahepatic bile duct leiomyoma;extrahepatic bile duct leiomyoma;exactmatch
benign extrahepatic bile duct soft tissue neoplasm;benign extrahepatic bile duct soft tissue neoplasm;exactmatch
extrahepatic bile duct adenoma;adenoma of extrahepatic bile duct;exactmatch
liver inflammatory myofibroblastic tumor;hepatic inflammatory myofibroblastic tumor;exactmatch
extrahepatic bile duct rhabdomyosarcoma;extrahepatic bile duct rhabdomyosarcoma;exactmatch
extrahepatic bile duct neuroendocrine tumor g1;carcinoid tumor of extrahepatic bile duct;exactmatch
stage ivb oral cavity adenoid cystic carcinoma ajcc v6 and v7;stage ivb adenoid cystic carcinoma of mouth;exactmatch
stage 0 lip basal cell carcinoma ajcc v6 and v7;basal cell carcinoma in situ of lip;exactmatch
stage ivb oral cavity mucoepidermoid carcinoma ajcc v6 and v7;stage ivb mouth mucoepidermoid carcinoma;exactmatch
stage ivb basal cell lip carcinoma;stage ivb basal cell carcinoma of lip;exactmatch
stage i lip cancer ajcc v6 and v7;stage i cancer of lip;exactmatch
stage ii lip cancer ajcc v6 and v7;stage ii cancer of lip;exactmatch
stage iii lip cancer ajcc v6 and v7;stage iii cancer of lip;exactmatch
stage iv lip cancer ajcc v6 and v7;stage iv cancer of lip;exactmatch
stage ivb lip cancer ajcc v6 and v7;stage ivb carcinoma of lip;exactmatch
stage i oral cavity cancer ajcc v6 and v7;stage i carcinoma of mouth;exactmatch
stage ii oral cavity cancer ajcc v6 and v7;stage ii carcinoma of mouth;exactmatch
stage iii oral cavity cancer ajcc v6 and v7;stage iii carcinoma of mouth;exactmatch
stage iv oral cavity cancer ajcc v6 and v7;stage iv carcinoma of mouth;exactmatch
stage ivb oral cavity cancer ajcc v6 and v7;stage ivb carcinoma of mouth;exactmatch
liver leiomyosarcoma;hepatic leiomyosarcoma;exactmatch
liver leiomyoma;hepatic leiomyoma;exactmatch
prostate undifferentiated carcinoma;prostate undifferentiated carcinoma;exactmatch
childhood anaplastic large cell lymphoma;childhood anaplastic large cell lymphoma;exactmatch
gastric hodgkin lymphoma;gastric hodgkin lymphoma;exactmatch
childhood t lymphoblastic leukemia/lymphoma;childhood precursor t-lymphoblastic lymphoma/leukemia;exactmatch
occult lung carcinoma;occult carcinoma of lung;exactmatch
acinar lung adenocarcinoma;acinar adenocarcinoma of lung;exactmatch
papillary lung adenocarcinoma;lung papillary-adenocarcinoma;exactmatch
sclerosing pneumocytoma;lung sclerosing angioma;exactmatch
lung myolipoma;lung myolipoma;exactmatch
lung fibroma;fibroma of lung;exactmatch
lung leiomyoma;leiomyoma of lung;exactmatch
endobronchial leiomyoma;endobronchial leiomyoma;exactmatch
endobronchial hamartoma;endobronchial hamartoma;exactmatch
multiple pulmonary hamartomas;multiple chondromatous hamartoma of lung;exactmatch
lung mucous gland adenoma;adenoma of bronchial mucous gland;exactmatch
atypical adenomatous lung hyperplasia;atypical adenomatous hyperplasia of lung;exactmatch
lung adenoid cystic carcinoma;adenocystic carcinoma of lung;exactmatch
lung leiomyosarcoma;leiomyosarcoma of lung;exactmatch
lung meningioma;lung meningioma;exactmatch
pleuropulmonary blastoma;pleuropulmonary blastoma;exactmatch
lung neuroendocrine neoplasm;lung neuroendocrine neoplasm;exactmatch
lung hilum neoplasm;hilar lung neoplasm;exactmatch
large cell lung neuroendocrine carcinoma;lcnec of the lung;exactmatch
colorectal adenoma;adenoma of large bowel;exactmatch
colorectal traditional serrated adenoma;colorectal serrated adenoma;exactmatch
colorectal tubulovillous adenoma;colorectal tubulovillous adenoma;exactmatch
colorectal villous adenoma;colorectal villous adenoma;exactmatch
