head;tail;relation
cytologic atypia (morphologic abnormality);atypical cell present;exactmatch
thoracic spinal cord structure (body structure);thoracic spinal cord;exactmatch
malignant mastocytosis (morphologic abnormality);systemic tissue mast cell disease;exactmatch
leydig cell tumor, benign (morphologic abnormality);benign leydig cell tumor;exactmatch
malignant lymphoma, mixed small and large cell, diffuse (morphologic abnormality);malignant lymphoma, mixed cell type, diffuse;exactmatch
male genitourinary system structure (body structure);male genitourinary system;exactmatch
hyperpigmentation of skin (disorder);hyperpigmentation;exactmatch
eccrine spiradenoma (morphologic abnormality);spiradenoma;exactmatch
skin structure of hip (body structure);skin of hip;exactmatch
structure of rectosigmoid junction (body structure);colorectal junction;exactmatch
lesion of canthus (finding);canthus lesion;exactmatch
viral exanthem (disorder);viral exanthemata;exactmatch
light emitted by the sun (physical force);light emitted by the sun;exactmatch
disorder of respiratory system (disorder);respiratory disease;exactmatch
structure of anterior portion of neck (body structure);anterior portion of neck;exactmatch
kaposi's sarcoma, morphology (morphologic abnormality);kaposi sarcoma, morphology;exactmatch
take-down of esophagostomy (procedure);closure of esophagostomy;exactmatch
spermatic cord structure (body structure);spermatic cord;exactmatch
repair of epididymis (procedure);epididymis repair;exactmatch
structure of costal cartilage (body structure);costal cartilage;exactmatch
atrophy of tongue (disorder);tongue atrophy;exactmatch
structure of anterior wall of urinary bladder (body structure);anterior wall of urinary bladder;exactmatch
disorder of anterior pituitary (disorder);anterior pituitary disease;exactmatch
traumatic ulcer of oral mucosa (disorder);traumatic stomatitis;exactmatch
right colon structure (body structure);caecum and ascending colon, cs;exactmatch
carotid body structure (body structure);carotid body;exactmatch
skin structure of eyelid (body structure);skin of eyelid;exactmatch
composite carcinoid (morphologic abnormality);combined carcinoid and adenocarcinoma;exactmatch
nasopharyngitis (disorder);rhinopharyngitis;exactmatch
disorder of tonsil and/or adenoid (disorder);disorder of tonsil and adenoid;exactmatch
leiomyosarcoma, no subtype (morphologic abnormality);lms - leiomyosarcoma;exactmatch
structure of multiple topographic sites (body structure);multiple body regions;exactmatch
edema of larynx (disorder);laryngeal edema;exactmatch
serous cystadenoma (morphologic abnormality);serous cystoma;exactmatch
fibrosis of lung (disorder);cirrhosis of lung;exactmatch
structure of left ankle (body structure);left ankle;exactmatch
adenocarcinoma in situ (morphologic abnormality);ais - adenocarcinoma in situ;exactmatch
congenital anomaly of skull (disorder);congenital skull malformation;exactmatch
cutaneous hamartoma (morphologic abnormality);skin mole;exactmatch
bone structure of clavicle (body structure);clavicle;exactmatch
digestive tract structure (body structure);alimentary tract;exactmatch
palatine bone structure (body structure);palatine bone;exactmatch
structure showing abnormal deposition of pigment (morphologic abnormality);pigmentation;exactmatch
disorder of vulva (disorder);vulval disorder;exactmatch
ectopic testis (disorder);ectopic testicle;exactmatch
myocarditis (disorder);myocardial inflammation;exactmatch
cartilage disorder (disorder);disease of cartilage;exactmatch
fifth metacarpal bone structure (body structure);bone structure of fifth metacarpal;exactmatch
congenital anomaly of bronchus (disorder);congenital deformity of bronchus;exactmatch
b-cell chronic lymphocytic leukemia/small lymphocytic lymphoma (morphologic abnormality);b-cell chronic lymphocytic leukaemia/small lymphocytic lymphoma;exactmatch
disorder of spleen (disorder);spleen disease;exactmatch
fibrous meningioma (morphologic abnormality);fibroblastic meningioma;exactmatch
arterial structure (body structure);artery;exactmatch
passive immunization (procedure);immune globulin immunisation;exactmatch
structure of glabella (body structure);glabella;exactmatch
thoracic structure (body structure);chest;exactmatch
acidophil carcinoma (morphologic abnormality);acidophil adenocarcinoma;exactmatch
hippocampal structure (body structure);hippocampus;exactmatch
operation on retina (procedure);retinal operation;exactmatch
left pleura structure (body structure);left pleura;exactmatch
parasitic infestation of orbit (disorder);parasitic orbital infestation;exactmatch
pituitary structure (body structure);hypophysis;exactmatch
splenic fibrosis (disorder);fibrosis of spleen;exactmatch
repair of clavicle (procedure);repair of clavicle;exactmatch
synovial sarcoma, epithelioid cell (morphologic abnormality);synovial sarcoma - epithelioid cell;exactmatch
nasal glial heterotopia (disorder);nasal glioma;exactmatch
foot structure (body structure);foot;exactmatch
