head;tail;relation
spinal muscular atrophy sma;spinal muscular atrophy;exactmatch
spina bifida;spina bifida;exactmatch
gambling addiction;pathological gambling;exactmatch
coronary artery disease;coronary artery disease;exactmatch
thyroiditis;thyroiditis;exactmatch
fanconi anemia;fanconi;exactmatch
atresia;biliary atresia;narrowmatch
thyroid cancer;thyroid;exactmatch
rosacea;rosacea;exactmatch
mitochondrial disease;mitochondrial;exactmatch
bacterial vaginosis;infections;exactmatch
chondromalacia patellae;chondromalacia;exactmatch
arthritis;arthritis;exactmatch
impulse control disorders;impulse control;exactmatch
cri du chat syndrome;cri du chat syndrome;exactmatch
hyperlexia;hyperlexia;exactmatch
schistosomiasis;schistosomiasis;exactmatch
postpartum depression;postpartum depression;exactmatch
rheumatic fever;rheumatic fever;exactmatch
diphtheria;diphtheria;exactmatch
morning sickness;morning sickness;exactmatch
mesothelioma;mesothelioma;exactmatch
tularemia;tularemia;exactmatch
diarrhea;diarrhea;exactmatch
prostate cancer;prostate;exactmatch
escherichia coli infection e coli infection;e coli;exactmatch
dehydration;water balance;broadmatch
gynecologic cancers;gynecologic;exactmatch
niemann pick disease;niemann pick;exactmatch
keratoconus;keratoconus;exactmatch
hemophilia;hemophilia;exactmatch
lymphoma;lymphoma;exactmatch
krabbe disease;krabbe disease;exactmatch
nephrogenic diabetes insipidus;diabetes insipidus;broadmatch
anal cancer;anal;exactmatch
encephalitis;encephalitis;exactmatch
postural orthostatic tachycardia syndrome;postural orthostatic tachycardia syndrome;exactmatch
spinal cord injury;spinal cord injury;exactmatch
cholera;cholera;exactmatch
rocky mountain spotted fever;rocky mountain spotted fever;exactmatch
psoriasis;psoriasis;exactmatch
organizations;organizations;exactmatch
selective mutism;selective mutism;exactmatch
mumps;mumps;exactmatch
hypertension;hypertension;exactmatch
heart diseases;heart disease;exactmatch
bodywork;bodywork;exactmatch
achilles tendinitis;tendonitis;broadmatch
pyromania;pyromania;exactmatch
shingles;herpes zoster;exactmatch
lyme disease;lyme disease;exactmatch
seasonal affective disorder;seasonal affective;exactmatch
multiple chemical sensitivity mcs;multiple chemical sensitivity;exactmatch
helicobacter pylori;helicobacter pylori;exactmatch
hellerwork;hellerwork;exactmatch
tourette syndrome;tourette syndrome;exactmatch
chronic fatigue syndrome;chronic fatigue syndrome;exactmatch
respiratory diseases;respiratory disorders;exactmatch
fibromyalgia;fibromyalgia;exactmatch
leukodystrophies;leukodystrophy;exactmatch
osteogenesis imperfecta;osteogenesis imperfecta;exactmatch
color therapy;color therapies;exactmatch
scabies;scabies;exactmatch
charcot marie tooth disease cmt;charcot marie tooth disease;exactmatch
bulimia nervosa;bulimia;exactmatch
cervical dysplasia;cervical dysplasia;exactmatch
lung cancer;lung;exactmatch
antiphospholipid syndrome aps;antiphospholipid syndrome;exactmatch
anorexia nervosa;anorexia;broadmatch
hypothermia;hypothermia;exactmatch
ovarian cysts;ovarian cysts;exactmatch
west nile virus infection;west nile virus;exactmatch
norovirus infections;noroviruses;exactmatch
glomerulonephritis;glomerulonephritis;exactmatch
leishmaniasis;leishmaniasis;exactmatch
albinism;albinism;exactmatch
fetal alcohol syndrome fas;fetal alcohol syndrome;exactmatch
sports injuries;wounds and injuries;broadmatch
restless legs syndrome;restless legs syndrome;exactmatch
body dysmorphic disorder;body dysmorphic;exactmatch
ectopic pregnancy;ectopic pregnancy;exactmatch
sexually transmitted diseases stds;sexually transmitted diseases;exactmatch
feldenkrais method;feldenkrais;exactmatch
bruxism;bruxism;exactmatch
mitral valve prolapse;mitral valve prolapse syndrome;exactmatch
narcolepsy;narcolepsy;exactmatch
spasmodic torticollis;torticollis;broadmatch
anosmia;anosmia;exactmatch
toxoplasmosis;toxoplasmosis;exactmatch
campylobacteriosis;campylobacteriosis;exactmatch
pregnancy complications;complications;exactmatch
skin cancer;skin;exactmatch
bipolar disorder manic depression;bipolar disorder;exactmatch
birthmarks;birthmarks;exactmatch
canavan disease;canavan;exactmatch
fragile x syndrome;fragile x syndrome;exactmatch
sanfilippo syndrome;sanfilippo syndrome;exactmatch
addiction and recovery;addictions;narrowmatch
naturopathy;naturopathy;exactmatch
chronic myelogenous leukemia;chronic myelogenous;exactmatch
fifth disease;fifth disease;exactmatch
allergic rhinitis hay fever;rhinitis;broadmatch
osteoporosis;osteoporosis;exactmatch
hair loss;hair loss;exactmatch
hypoglycemia;hypoglycemia;exactmatch
chronic obstructive pulmonary disease copd;chronic obstructive pulmonary disease;exactmatch
reflex sympathetic dystrophy;reflex sympathetic dystrophy;exactmatch
institutes;education;exactmatch
insect bites and stings;bites and stings;broadmatch
hypospadias;hypospadias;exactmatch
gonorrhea;gonorrhea;exactmatch
strabismus;squint;exactmatch
bodywork;massage therapy and bodywork;broadmatch
shy drager syndrome sds;shy drager syndrome;exactmatch
reactive attachment disorder;attachment disorder;broadmatch
premenstrual syndrome pms;premenstrual syndrome;exactmatch
preeclampsia;preeclampsia;exactmatch
maple syrup urine disease msud;maple syrup urine disease;exactmatch
colic;infant colic;narrowmatch
ovarian cancer;ovarian;exactmatch
scarlet fever;scarlet fever;exactmatch
therapeutic touch;therapeutic touch;exactmatch
