head;tail;relation
men;jumpers & cardigans ;narrowmatch
coats ;winter coats ;narrowmatch
men;coats ;narrowmatch
dresses;denim dresses;narrowmatch
women;dresses;narrowmatch
jackets ;gilets & waistcoats ;narrowmatch
men;jackets ;narrowmatch
tights & socks;leg warmers;narrowmatch
women;tights & socks;narrowmatch
suits & ties;suit jackets;narrowmatch
men;suits & ties;narrowmatch
trousers & chinos;joggers & sweats ;narrowmatch
men;trousers & chinos;narrowmatch
jackets;winter jackets;narrowmatch
men;underwear;narrowmatch
socks ;sports socks ;narrowmatch
men;socks ;narrowmatch
coats ;short coats ;narrowmatch
trousers & chinos;cargo trousers;narrowmatch
trousers & leggings;leggings ;narrowmatch
women;trousers & leggings;narrowmatch
swimwear ;swimming trunks;narrowmatch
men;swimwear ;narrowmatch
suits & ties;suits;narrowmatch
underwear;nightwear ;narrowmatch
lingerie & nightware;dressing gowns;narrowmatch
women;lingerie & nightware;narrowmatch
coats;trench coats;narrowmatch
skirts;denim skirts;narrowmatch
underwear;vests;narrowmatch
tights & socks;socks;narrowmatch
jumpers & cardigans;hoodies;narrowmatch
women;jumpers & cardigans;narrowmatch
lingerie & nightware;shapewear;narrowmatch
skirts;pencil skirts;narrowmatch
t-shirts ;print t-shirts;narrowmatch
men;t-shirts ;narrowmatch
jackets;blazers;narrowmatch
swimwear;swimsuits;narrowmatch
t-shirts ;basic t-shirts;narrowmatch
jeans ;loose fit ;narrowmatch
jumpers & cardigans ;athletic jackets  ;narrowmatch
coats ;parkas;narrowmatch
dresses;jersey dresses;narrowmatch
women;blouses & tunics;narrowmatch
jeans;denim shorts;narrowmatch
women;jeans;narrowmatch
tights & socks;knee high socks;narrowmatch
jackets;down jackets;narrowmatch
shirts ;casual;narrowmatch
tops;tops ;narrowmatch
women;tops;narrowmatch
jumpers & cardigans;cardigans;narrowmatch
jackets ;suit jackets ;narrowmatch
jackets ;denim jackets ;narrowmatch
jackets ;athletic jackets   ;narrowmatch
shirts ;business;narrowmatch
coats;wool coats;narrowmatch
swimwear;beach accessories;narrowmatch
jumpers & cardigans ;sweatshirts ;narrowmatch
coats;winter coats;narrowmatch
tights & socks;tigh high socks;narrowmatch
jackets ;fleece jackets ;narrowmatch
tops;t-shirts;narrowmatch
jumpers & cardigans ;hoodies ;narrowmatch
jeans;bootcut;narrowmatch
skirts;leather skirts;narrowmatch
jumpers & cardigans ;fleece jumpers ;narrowmatch
lingerie & nightware;suspenders;narrowmatch
lingerie & nightware;bras;narrowmatch
socks ;socks  ;narrowmatch
trousers & leggings;joggers & sweats;narrowmatch
socks ;knee high socks;narrowmatch
trousers & leggings;shorts;narrowmatch
dresses;shirt dresses;narrowmatch
jeans;straight leg;narrowmatch
coats ;wool coats ;narrowmatch
jackets;outdoor jackets;narrowmatch
dresses;casual dresses;narrowmatch
jeans;loose fit;narrowmatch
jeans;slim fit;narrowmatch
trousers & leggings;playsuits & jumpsuits;narrowmatch
suits & ties;business shirts;narrowmatch
skirts;a-line skirts;narrowmatch
coats ;trench coats ;narrowmatch
skirts;pleated skirts;narrowmatch
jumpers & cardigans;sweatshirts;narrowmatch
jackets ;lightweight jackets ;narrowmatch
trousers & chinos;trousers ;narrowmatch
lingerie & nightware;nightwear;narrowmatch
suits & ties;suit trousers;narrowmatch
underwear;dressing gowns ;narrowmatch
jackets;lightweight jackets;narrowmatch
jeans ;denim shorts ;narrowmatch
tights & socks;sports socks;narrowmatch
blouses & tunics;blouses;narrowmatch
swimwear ;dressing gowns  ;narrowmatch
jeans ;bootcut ;narrowmatch
underwear;underpants;narrowmatch
jackets;athletic jackets;narrowmatch
tights & socks;tights;narrowmatch
t-shirts ;polo shirts ;narrowmatch
jackets;fleece jackets;narrowmatch
suits & ties;waistcoats;narrowmatch
jumpers & cardigans;fleece jumpers;narrowmatch
dresses;cocktail dresses;narrowmatch
dresses;knitted dresses;narrowmatch
jeans ;straight leg ;narrowmatch
tops;polo shirts;narrowmatch
jackets;gilets & waistcoats;narrowmatch
t-shirts ;long sleeve tops ;narrowmatch
trousers & leggings;trousers;narrowmatch
jackets;capes;narrowmatch
dresses;maxi dresses;narrowmatch
tights & socks;leggings;narrowmatch
dresses;work dresses;narrowmatch
jumpers & cardigans;athletic jackets ;narrowmatch
jumpers & cardigans ;knitted jumpers;narrowmatch
tops;long sleeve tops;narrowmatch
coats;short coats;narrowmatch
blouses & tunics;tunics;narrowmatch
trousers & chinos;shorts ;narrowmatch
jackets ;leather jackets ;narrowmatch
trousers & leggings;chinos;narrowmatch
tights & socks;suspenders ;narrowmatch
lingerie & nightware;vests & camisoles;narrowmatch
jackets ;down jackets ;narrowmatch
jackets ;outdoor jackets ;narrowmatch
jackets ;winter jackets ;narrowmatch
jackets;leather jackets;narrowmatch
coats ;down coats ;narrowmatch
lingerie & nightware;knickers;narrowmatch
suits & ties;ties & accessories;narrowmatch
skirts;bubble hem skirts;narrowmatch
jumpers & cardigans;jumpers;narrowmatch
trousers & chinos;chinos ;narrowmatch
blouses & tunics;shirts;narrowmatch
skirts;maxi skirts;narrowmatch
