head;tail;relation
craniosacral-therapy;bodywork;broadmatch
bodywork;alternative medicine;broadmatch
organizations;holistic health;broadmatch
holistic-health;alternative medicine;broadmatch
impotence;diseases and conditions;broadmatch
listeriosis;diseases and conditions;broadmatch
chronic-granulomatous-disease-cgd;diseases and conditions;broadmatch
spina-bifida-association-of-america;organizations;broadmatch
organizations;spina bifida;broadmatch
laryngeal-cancer;diseases and conditions;broadmatch
sex-surrogates;sexual disorders;broadmatch
sexual-disorders;diseases and conditions;broadmatch
andrew;alternative medicine;broadmatch
organizations;chronic pain;broadmatch
newborn-jaundice;diseases and conditions;broadmatch
american-parkinson-disease-association-apda;organizations;broadmatch
diphtheria;diseases and conditions;broadmatch
long-qt-syndrome;diseases and conditions;broadmatch
varicose-veins;diseases and conditions;broadmatch
support-groups;organizations;broadmatch
organizations;eating disorders;broadmatch
sepsis-bacteremia;diseases and conditions;broadmatch
organizations;cluster headaches;broadmatch
cluster-headaches;diseases and conditions;broadmatch
iron-deficiency-anemia;diseases and conditions;broadmatch
organizations;williams syndrome;broadmatch
williams-syndrome;diseases and conditions;broadmatch
pigmented-villonodular-synovitis;diseases and conditions;broadmatch
colon-cancer;diseases and conditions;broadmatch
overeaters-anonymous-oa;support groups;broadmatch
kidney-diseases;diseases and conditions;broadmatch
organizations;chronic fatigue syndrome;broadmatch
chronic-fatigue-syndrome;diseases and conditions;broadmatch
infant-water-intoxication;water intoxication;broadmatch
organizations;stuttering;broadmatch
stuttering;diseases and conditions;broadmatch
infectious-diseases;diseases and conditions;broadmatch
organizations;lewy body disease;broadmatch
lewy-body-disease;diseases and conditions;broadmatch
chikungunya;diseases and conditions;broadmatch
uterine-fibroids;diseases and conditions;broadmatch
iron-lung;polio;broadmatch
diverticulitis;diseases and conditions;broadmatch
macular-degeneration;diseases and conditions;broadmatch
rocky-mountain-spotted-fever;diseases and conditions;broadmatch
tinnitus;diseases and conditions;broadmatch
personal-experience;brain injury;broadmatch
brain-injury;diseases and conditions;broadmatch
osteogenesis-imperfecta;diseases and conditions;broadmatch
spinal-muscular-atrophy-sma;diseases and conditions;broadmatch
pulmonary-sarcoidosis;diseases and conditions;broadmatch
dysentery;diseases and conditions;broadmatch
american-diabetes-association;organizations;broadmatch
organizations;diabetes;broadmatch
rickets;diseases and conditions;broadmatch
allergies;diseases and conditions;broadmatch
chapters;national multiple sclerosis society;broadmatch
national-multiple-sclerosis-society;organizations;broadmatch
therapeutic-touch;alternative medicine;broadmatch
personal-experience;self injury;broadmatch
self-injury;diseases and conditions;broadmatch
smallpox;diseases and conditions;broadmatch
restless-legs-syndrome;diseases and conditions;broadmatch
postural-orthostatic-tachycardia-syndrome;diseases and conditions;broadmatch
progeria;diseases and conditions;broadmatch
paruresis;diseases and conditions;broadmatch
septic-arthritis;arthritis;broadmatch
arthritis;diseases and conditions;broadmatch
trepanation;alternative medicine;broadmatch
needle-exchange;harm reduction;broadmatch
harm-reduction;substance abuse;broadmatch
photosensitivity;diseases and conditions;broadmatch
ganglion-cyst;diseases and conditions;broadmatch
personal-experience;hepatitis c;broadmatch
hepatitis-c;hepatitis;broadmatch
shy-drager-syndrome-sds;diseases and conditions;broadmatch
cavities;diseases and conditions;broadmatch
batten-disease;diseases and conditions;broadmatch
alopecia-areata;diseases and conditions;broadmatch
intersexuality;diseases and conditions;broadmatch
obstetric-fistula;diseases and conditions;broadmatch
craniosynostosis;diseases and conditions;broadmatch
ortho-bionomy;somatic education;broadmatch
somatic-education;bodywork;broadmatch
phobias;diseases and conditions;broadmatch
syphilis;diseases and conditions;broadmatch
faqs;anthrax;broadmatch
anthrax;diseases and conditions;broadmatch
applied-kinesiology;alternative medicine;broadmatch
organizations;dyslexia;broadmatch
dyslexia;diseases and conditions;broadmatch
lactose-intolerance;diseases and conditions;broadmatch
ichthyosis;diseases and conditions;broadmatch
brain-tumors;diseases and conditions;broadmatch
toothache;diseases and conditions;broadmatch
beriberi;diseases and conditions;broadmatch
carpal-tunnel-syndrome;diseases and conditions;broadmatch
hemochromatosis;diseases and conditions;broadmatch
commission-for-scientific-medicine-and-mental-health-practice-csmmh;organizations;broadmatch
organizations;alternative medicine;broadmatch
heartburn;diseases and conditions;broadmatch
organizations;multiple sclerosis ms;broadmatch
trisomy;diseases and conditions;broadmatch
cervical-dysplasia;diseases and conditions;broadmatch
atrial-fibrillation;diseases and conditions;broadmatch
personal-experience;substance abuse;broadmatch
substance-abuse;diseases and conditions;broadmatch
support-groups;organizations;broadmatch
organizations;herpes;broadmatch
epidermolysis-bullosa;diseases and conditions;broadmatch
polio-eradication-initiative;polio;broadmatch
association-for-applied-psychophysiology-and-biofeedback-aapb;biofeedback;broadmatch
biofeedback;alternative medicine;broadmatch
melanoma;diseases and conditions;broadmatch
american-liver-foundation;organizations;broadmatch
organizations;liver diseases;broadmatch
fibrous-dysplasia;diseases and conditions;broadmatch
male-breast-cancer;diseases and conditions;broadmatch
flatulence;diseases and conditions;broadmatch
blepharospasm;diseases and conditions;broadmatch
frostbite;diseases and conditions;broadmatch
agoraphobia;diseases and conditions;broadmatch
mumps;diseases and conditions;broadmatch
organizations;depressive disorders;broadmatch
depressive-disorders;diseases and conditions;broadmatch
ovarian-cancer;diseases and conditions;broadmatch
tropical-diseases;diseases and conditions;broadmatch
leptospirosis;diseases and conditions;broadmatch
glomerulonephritis;diseases and conditions;broadmatch
benign-paroxysmal-positional-vertigo;diseases and conditions;broadmatch
institutes;diabetes;broadmatch
diabetes;diseases and conditions;broadmatch
web-directories;alternative medicine;broadmatch
adenomyosis;diseases and conditions;broadmatch
iridology;alternative medicine;broadmatch
web-directories;down syndrome;broadmatch
down-syndrome;diseases and conditions;broadmatch
fifth-disease;diseases and conditions;broadmatch
metabolic-diseases;diseases and conditions;broadmatch
german-cancer-research-center;institutes;broadmatch
myositis;diseases and conditions;broadmatch
organizations;retinoblastoma;broadmatch
retinoblastoma;diseases and conditions;broadmatch
hair-loss;diseases and conditions;broadmatch
schistosomiasis;diseases and conditions;broadmatch
asthma;diseases and conditions;broadmatch
myasthenia-gravis;diseases and conditions;broadmatch
obesity;diseases and conditions;broadmatch
hyperactivity-disorder-chadd;organizations;broadmatch
organizations;attention deficit disorder add;broadmatch
bronchitis;diseases and conditions;broadmatch
methicillin-resistant-staphylococcus-aureus-mrsa;diseases and conditions;broadmatch
spider-bites;insect bites and stings;broadmatch
coma;diseases and conditions;broadmatch
chlamydia;diseases and conditions;broadmatch
sudden-infant-death-syndrome-sids;diseases and conditions;broadmatch
dysthymic-disorder;diseases and conditions;broadmatch
personal-experience;breast cancer;broadmatch
personal-experience;leukemia;broadmatch
leukemia;diseases and conditions;broadmatch
spasmodic-torticollis;diseases and conditions;broadmatch
prader-willi-syndrome;diseases and conditions;broadmatch
smallpox-eradication;smallpox;broadmatch
norovirus-infections;diseases and conditions;broadmatch
triplo-x-syndrome;diseases and conditions;broadmatch
autism-society-of-america;organizations;broadmatch
organizations;autism;broadmatch
memorials;personal experience;broadmatch
personal-experience;cancers;broadmatch
s-association;organizations;broadmatch
headaches;diseases and conditions;broadmatch
premenstrual-syndrome-pms;diseases and conditions;broadmatch
tick-bites;insect bites and stings;broadmatch
clinical-trials;cancers;broadmatch
institutes;narcolepsy;broadmatch
narcolepsy;diseases and conditions;broadmatch
west-syndrome;diseases and conditions;broadmatch
asbestosis;diseases and conditions;broadmatch
support;organizations;broadmatch
sudden-arrhythmia-death-syndrome-sads;diseases and conditions;broadmatch
organizations;dissociative disorders;broadmatch
dissociative-disorders;diseases and conditions;broadmatch
chapters;national stuttering association;broadmatch
national-stuttering-association;organizations;broadmatch
osteoarthritis;diseases and conditions;broadmatch
s-palsy;diseases and conditions;broadmatch
drug-abuse-resistance-education-dare;prevention;broadmatch
prevention;substance abuse;broadmatch
esophageal-varices;diseases and conditions;broadmatch
institutes;anxiety disorders;broadmatch
anxiety-disorders;diseases and conditions;broadmatch
influenza;diseases and conditions;broadmatch
pulmonary-embolism;diseases and conditions;broadmatch
kidney-cancer;diseases and conditions;broadmatch
endocarditis;diseases and conditions;broadmatch
legg-calve-perthes-disease;diseases and conditions;broadmatch
gastrointestinal-cancers;diseases and conditions;broadmatch
post-traumatic-stress-disorder-ptsd;diseases and conditions;broadmatch
amyloidosis;diseases and conditions;broadmatch
orthomolecular-medicine;alternative medicine;broadmatch
degenerative-disc-disease;diseases and conditions;broadmatch
heart-palpitations;diseases and conditions;broadmatch
disseminated-intravascular-coagulation-dic;diseases and conditions;broadmatch
american-cancer-society-acs;organizations;broadmatch
hurler-syndrome;diseases and conditions;broadmatch
ataxia-telangiectasia;diseases and conditions;broadmatch
niemann-pick-disease;diseases and conditions;broadmatch
onychomycosis;diseases and conditions;broadmatch
lupus-alliance-of-america;organizations;broadmatch
organizations;lupus;broadmatch
breast-self-exam;breast cancer;broadmatch
trisomy-13;trisomy;broadmatch
organizations;brain tumors;broadmatch
institutes;reflexology;broadmatch
reflexology;massage therapy;broadmatch
chondromalacia-patellae;diseases and conditions;broadmatch
lance-armstrong-foundation;organizations;broadmatch
scabies;diseases and conditions;broadmatch
dysgraphia;diseases and conditions;broadmatch
sensory-deprivation;alternative medicine;broadmatch
organizations;arthritis;broadmatch
organizations;tourette syndrome;broadmatch
tourette-syndrome;diseases and conditions;broadmatch
hemorrhoids;diseases and conditions;broadmatch
national-down-syndrome-society;organizations;broadmatch
organizations;down syndrome;broadmatch
pneumococcal-meningitis;diseases and conditions;broadmatch
monkeypox;diseases and conditions;broadmatch
primary-biliary-cirrhosis;diseases and conditions;broadmatch
angelman-syndrome;diseases and conditions;broadmatch
bed-bug-bites;insect bites and stings;broadmatch
bone-diseases;diseases and conditions;broadmatch
rosacea;diseases and conditions;broadmatch
organizations;fetal alcohol syndrome fas;broadmatch
fetal-alcohol-syndrome-fas;diseases and conditions;broadmatch
s;personal experience;broadmatch
antisocial-personality-disorder;diseases and conditions;broadmatch
von-hippel-lindau-disease;diseases and conditions;broadmatch
disruptive-behavior-disorders;diseases and conditions;broadmatch
shingles;diseases and conditions;broadmatch
local-chapters-and-programs;drug abuse resistance education dare;broadmatch
personal-experience;chronic fatigue syndrome;broadmatch
diabetic;peripheral neuropathy;broadmatch
trigeminal-neuralgia;diseases and conditions;broadmatch
fibrodysplasia-ossificans-progressiva;diseases and conditions;broadmatch
sports-injuries;diseases and conditions;broadmatch
organizations;ankylosing spondylitis;broadmatch
ankylosing-spondylitis;diseases and conditions;broadmatch
arachnoiditis;diseases and conditions;broadmatch
encephalitis;diseases and conditions;broadmatch
debtors-anonymous-da;support groups;broadmatch
support-groups;addiction and recovery;broadmatch
color-therapy;alternative medicine;broadmatch
blue-rubber-bleb-nevus-syndrome;diseases and conditions;broadmatch
vulvodynia;diseases and conditions;broadmatch
iliotibial-band-friction-syndrome;diseases and conditions;broadmatch
narcissistic-personality-disorder;diseases and conditions;broadmatch
cataract;diseases and conditions;broadmatch
polymorphous-light-eruption-pmle;diseases and conditions;broadmatch
serenity-prayer;twelve step approach;broadmatch
twelve-step-approach;addiction and recovery;broadmatch
bill;personal experience;broadmatch
personal-experience;cerebral palsy;broadmatch
trisomy-18;trisomy;broadmatch
narcotics-anonymous-united-states;narcotics anonymous na;broadmatch
narcotics-anonymous-na;support groups;broadmatch
marfan-syndrome;diseases and conditions;broadmatch
microphthalmia-and-anophthalmia;diseases and conditions;broadmatch
cold;diseases and conditions;broadmatch
personal-experience;endometriosis;broadmatch
tuskegee-study;syphilis;broadmatch
fred-hutchinson-cancer-research-center;institutes;broadmatch
yellow-fever;diseases and conditions;broadmatch
nephrogenic-diabetes-insipidus;diseases and conditions;broadmatch
mucormycosis;diseases and conditions;broadmatch
head-lice;diseases and conditions;broadmatch
muscular-dystrophy-association-mda;organizations;broadmatch
organizations;muscular dystrophy md;broadmatch
hepatitis-a;hepatitis;broadmatch
hepatitis;diseases and conditions;broadmatch
clubfoot;diseases and conditions;broadmatch
landau-kleffner-syndrome;diseases and conditions;broadmatch
bruxism;diseases and conditions;broadmatch
periodontitis;diseases and conditions;broadmatch
scarlet-fever;diseases and conditions;broadmatch
sickle-cell-disease-association-of-america-scdaa;organizations;broadmatch
organizations;sickle cell disease;broadmatch
rhabdomyolysis;diseases and conditions;broadmatch
mononucleosis;diseases and conditions;broadmatch
web-directories;herpes;broadmatch
herpes;diseases and conditions;broadmatch
facioscapulohumeral-muscular-dystrophy;diseases and conditions;broadmatch
s-disease;diseases and conditions;broadmatch
smart-recovery;support groups;broadmatch
hepatitis-b;hepatitis;broadmatch
coronary-artery-disease;diseases and conditions;broadmatch
anal-cancer;diseases and conditions;broadmatch
personal-experience;dissociative identity disorder;broadmatch
maple-syrup-urine-disease-msud;diseases and conditions;broadmatch
genetic-disorders;diseases and conditions;broadmatch
susan-g-komen-breast-cancer-foundation;organizations;broadmatch
organizations;breast cancer;broadmatch
faq;massage therapy;broadmatch
typhus;diseases and conditions;broadmatch
personal-experience;depressive disorders;broadmatch
vaginitis;diseases and conditions;broadmatch
personal-experience;mental health disorders;broadmatch
mental-health-disorders;diseases and conditions;broadmatch
yawning;diseases and conditions;broadmatch
leprosy;diseases and conditions;broadmatch
gum-disease;diseases and conditions;broadmatch
achilles-tendinitis;diseases and conditions;broadmatch
eye-conditions;diseases and conditions;broadmatch
anaphylactic-shock;diseases and conditions;broadmatch
rosen-method;bodywork;broadmatch
addiction-and-recovery;diseases and conditions;broadmatch
therapeutic-humor;alternative medicine;broadmatch
adema;diseases and conditions;broadmatch
organizations;scleroderma;broadmatch
scleroderma;diseases and conditions;broadmatch
chemotherapy;therapies;broadmatch
therapies;cancers;broadmatch
national-kidney-foundation-nkf;organizations;broadmatch
organizations;kidney diseases;broadmatch
burning-mouth-syndrome-bms;diseases and conditions;broadmatch
hyperlexia;diseases and conditions;broadmatch
lymphoma;diseases and conditions;broadmatch
enlarged-heart-cardiomegaly;diseases and conditions;broadmatch
stockholm-syndrome;diseases and conditions;broadmatch
gonorrhea;diseases and conditions;broadmatch
graft-versus-host-disease;diseases and conditions;broadmatch
thalassemia;diseases and conditions;broadmatch
ectodermal-dysplasia;diseases and conditions;broadmatch
neutropenia;diseases and conditions;broadmatch
temporo-mandibular-joint-syndrome-tmj;diseases and conditions;broadmatch
liver-diseases;diseases and conditions;broadmatch
s;personal experience;broadmatch
photic-sneezing;diseases and conditions;broadmatch
nail-patella-syndrome;diseases and conditions;broadmatch
operation-snowball;prevention;broadmatch
colic;diseases and conditions;broadmatch
pemphigus-vulgaris;diseases and conditions;broadmatch
gastroesophageal-reflux-disease-gerd;diseases and conditions;broadmatch
fundraisers;leukemia;broadmatch
thyroid-nodules;thyroid diseases;broadmatch
organizations;schizophrenia;broadmatch
mitral-valve-prolapse;diseases and conditions;broadmatch
chronic-myelogenous-leukemia;diseases and conditions;broadmatch
gastroenteritis;diseases and conditions;broadmatch
aicardi-goutires-syndrome;diseases and conditions;broadmatch
scleroderma-foundation;organizations;broadmatch
intracranial-hypotension;diseases and conditions;broadmatch
chronic-obstructive-pulmonary-disease-copd;diseases and conditions;broadmatch
dancesafe;harm reduction;broadmatch
personal-experience;borderline personality disorder bpd;broadmatch
borderline-personality-disorder-bpd;diseases and conditions;broadmatch
fundraisers;diabetes;broadmatch
teen-depression;depressive disorders;broadmatch
heart-attack;diseases and conditions;broadmatch
dementia;diseases and conditions;broadmatch
folliculitis;diseases and conditions;broadmatch
ehlers-danlos-syndrome;diseases and conditions;broadmatch
organizations;hepatitis;broadmatch
personal-experience;encephalitis;broadmatch
gingivitis;diseases and conditions;broadmatch
costochondritis;diseases and conditions;broadmatch
ectopic-pregnancy;diseases and conditions;broadmatch
chicken-pox;diseases and conditions;broadmatch
american-heart-association-aha;organizations;broadmatch
organizations;heart diseases;broadmatch
asthma-and-allergy-foundation-of-america;organizations;broadmatch
organizations;allergies;broadmatch
empyema;diseases and conditions;broadmatch
thrush;diseases and conditions;broadmatch
congenital-adrenal-hyperplasia-cah;diseases and conditions;broadmatch
creutzfeldt-jakob-disease-cjd;diseases and conditions;broadmatch
cold-sores;diseases and conditions;broadmatch
reactive-attachment-disorder;diseases and conditions;broadmatch
parry-romberg-syndrome;diseases and conditions;broadmatch
stomach-gastric-cancer;diseases and conditions;broadmatch
anthrax-research-project;anthrax;broadmatch
pap-smear-test;cervical cancer;broadmatch
necrotizing-fasciitis;diseases and conditions;broadmatch
tularemia;diseases and conditions;broadmatch
mind-body-medicine;alternative medicine;broadmatch
hypertension;diseases and conditions;broadmatch
pranic-healing;alternative medicine;broadmatch
organizations;anxiety disorders;broadmatch
thoracic-outlet-syndrome;diseases and conditions;broadmatch
s;organizations;broadmatch
multiple-sclerosis-ms;diseases and conditions;broadmatch
osteoporosis;diseases and conditions;broadmatch
smith-magenis-syndrome-sms;diseases and conditions;broadmatch
personal-experience;cyclic vomiting syndrome cvs;broadmatch
cyclic-vomiting-syndrome-cvs;diseases and conditions;broadmatch
heat-rash;diseases and conditions;broadmatch
institutes;fibromyalgia;broadmatch
dysplastic-nevi;diseases and conditions;broadmatch
personal-experience;eating disorders;broadmatch
chemotherapy-related-hair-loss;hair loss;broadmatch
magazines;alternative medicine;broadmatch
lyme-disease;diseases and conditions;broadmatch
amebiasis;diseases and conditions;broadmatch
natural-hygiene;alternative medicine;broadmatch
angina-pectoris;diseases and conditions;broadmatch
pseudofolliculitis-barbae;diseases and conditions;broadmatch
ataxia;diseases and conditions;broadmatch
s-macroglobulinemia;diseases and conditions;broadmatch
antiphospholipid-syndrome-aps;diseases and conditions;broadmatch
testicular-self-exam;testicular cancer;broadmatch
testicular-cancer;diseases and conditions;broadmatch
dengue-fever;diseases and conditions;broadmatch
root-canal;dental surgeries;broadmatch
dental-surgeries;dental conditions;broadmatch
meningitis;diseases and conditions;broadmatch
international-dyslexia-association;organizations;broadmatch
autonomic;peripheral neuropathy;broadmatch
sex-addicts-anonymous;sexual addiction;broadmatch
kleine-levin-syndrome;diseases and conditions;broadmatch
race-for-the-cure;fundraisers;broadmatch
chat;alcoholics anonymous aa;broadmatch
alcoholics-anonymous-aa;support groups;broadmatch
repetitive-strain-disorder;diseases and conditions;broadmatch
klippel-feil-syndrome;diseases and conditions;broadmatch
regional-chapters;national hemophilia foundation;broadmatch
national-hemophilia-foundation;organizations;broadmatch
personal-experience;myositis;broadmatch
myomectomy;uterine fibroids;broadmatch
cellulitis;diseases and conditions;broadmatch
hiv;diseases and conditions;broadmatch
measles;diseases and conditions;broadmatch
lymphadenopathy;diseases and conditions;broadmatch
institutes;diseases and conditions;broadmatch
retinitis-pigmentosa;diseases and conditions;broadmatch
anemia;diseases and conditions;broadmatch
marburg-hemorrhagic-fever;diseases and conditions;broadmatch
camps;organizations;broadmatch
trachoma;diseases and conditions;broadmatch
ross-river-virus-infection;diseases and conditions;broadmatch
magazines;holistic health;broadmatch
screening-tests;depressive disorders;broadmatch
hypophosphatasia;diseases and conditions;broadmatch
urine-therapy;alternative medicine;broadmatch
keratoconus;diseases and conditions;broadmatch
food-allergies;diseases and conditions;broadmatch
craniofacial-anomalies;diseases and conditions;broadmatch
respiratory-diseases;diseases and conditions;broadmatch
personality-disorders;diseases and conditions;broadmatch
organizations;spinal cord injury;broadmatch
spinal-cord-injury;diseases and conditions;broadmatch
vasculitis;diseases and conditions;broadmatch
malaria;diseases and conditions;broadmatch
gastric-bypass-surgery;obesity;broadmatch
inguinal-hernia;diseases and conditions;broadmatch
testing;substance abuse;broadmatch
nystagmus;diseases and conditions;broadmatch
amnesia;diseases and conditions;broadmatch
lymphagioleiomyomatosis-lam;diseases and conditions;broadmatch
congenital-hip-dysplasia;diseases and conditions;broadmatch
osteomyelitis;diseases and conditions;broadmatch
mitochondrial-disease;diseases and conditions;broadmatch
alcoholism;diseases and conditions;broadmatch
organizations;pancreatic cancer;broadmatch
pancreatic-cancer;diseases and conditions;broadmatch
keratosis-pilaris;diseases and conditions;broadmatch
organizations;sleep disorders;broadmatch
organizations;peripheral neuropathy;broadmatch
oral-cancer;diseases and conditions;broadmatch
compulsive-skin-picking;diseases and conditions;broadmatch
sleep-paralysis;diseases and conditions;broadmatch
dental-conditions;diseases and conditions;broadmatch
psoriasis;diseases and conditions;broadmatch
genital-warts;diseases and conditions;broadmatch
hypothermia;diseases and conditions;broadmatch
aromatherapy;alternative medicine;broadmatch
polarity-therapy;alternative medicine;broadmatch
