head;tail;relation
queyrat's erythroplasia (disorder);penile carcinoma in situ;exactmatch
epithelial-myoepithelial carcinoma (morphologic abnormality);epithelial-myoepithelial carcinoma;exactmatch
malignant melanoma of ciliary body (disorder);ciliary body melanoma;exactmatch
melanocytic nevus of skin (disorder);benign skin melanocytic nevus;exactmatch
precancerous melanosis (disorder);precancerous melanosis;exactmatch
carcinoma of upper gum (disorder);upper gingival carcinoma;exactmatch
ganglioglioma, anaplastic (morphologic abnormality);anaplastic ganglioglioma;exactmatch
lipoma of chest wall (disorder);chest wall lipoma;exactmatch
squamous intraepithelial neoplasia, low grade (morphologic abnormality);low grade squamous intraepithelial neoplasia;exactmatch
malignant neoplasm of lateral wall of urinary bladder (disorder);lateral wall of the bladder;exactmatch
acute promyelocytic leukemia - hypogranular variant (disorder);microgranular acute promyelocytic leukemia;exactmatch
acute myeloid leukemia with maturation, fab m2 (disorder);acute myeloid leukemia with maturation;exactmatch
in situ follicular neoplasia (morphologic abnormality);in situ follicular neoplasia;exactmatch
primary malignant neoplasm of bone (disorder);malignant bone neoplasm;exactmatch
large cell carcinoma (morphologic abnormality);large cell carcinoma;exactmatch
atypical lipoma (morphologic abnormality);atypical lipomatous tumor/well differentiated liposarcoma;exactmatch
squamous intraepithelial neoplasia grade 2 (morphologic abnormality);grade ii squamous intraepithelial neoplasia;exactmatch
neoplasm of sweat gland (disorder);sweat gland neoplasm;exactmatch
pancreatobiliary-type carcinoma (morphologic abnormality);ampulla of vater pancreatobiliary type adenocarcinoma;exactmatch
malignant lymphoma, large b-cell, diffuse, no international classification of diseases for oncology subtype (morphologic abnormality);diffuse large b-cell lymphoma;exactmatch
synovial sarcoma, epithelioid cell (morphologic abnormality);epithelial synovial sarcoma;exactmatch
granulosa cell tumor of ovary (disorder);malignant ovarian granulosa cell tumor;exactmatch
neoplasm of oculomotor nerve (disorder);oculomotor nerve neoplasm;exactmatch
metastatic urothelial carcinoma (disorder);metastatic urothelial carcinoma;exactmatch
neoplasm of ethmoidal sinus (disorder);ethmoid sinus neoplasm;exactmatch
plexiform fibrohistiocytic tumor (morphologic abnormality);plexiform fibrohistiocytic tumor;exactmatch
thymoma, type b1, malignant (morphologic abnormality);malignant type b1 thymoma;exactmatch
angiosarcoma of skin (disorder);skin angiosarcoma;exactmatch
proteus syndrome (disorder);proteus syndrome;exactmatch
monoclonal b-cell lymphocytosis (morphologic abnormality);monoclonal b-cell lymphocytosis;exactmatch
philadelphia chromosome-positive acute lymphoblastic leukemia (disorder);"b acute lymphoblastic leukemia with t(9;22)(q34.1;q11.2); bcr-abl1";exactmatch
precursor t cell lymphoblastic leukemia/lymphoblastic lymphoma (morphologic abnormality);t lymphoblastic leukemia/lymphoma;exactmatch
primary angiosarcoma of breast (disorder);primary breast angiosarcoma;exactmatch
spongioneuroblastoma (morphologic abnormality);spongioneuroblastoma;exactmatch
pulmonary hamartoma (morphologic abnormality);pulmonary hamartoma;exactmatch
cementoma (morphologic abnormality);cementoblastoma;exactmatch
primary cutaneous diffuse large cell b-cell lymphoma (disorder);primary cutaneous diffuse large b-cell lymphoma;exactmatch
epithelioid sarcoma (morphologic abnormality);epithelioid sarcoma;exactmatch
klatskin's tumor (morphologic abnormality);hilar cholangiocarcinoma;exactmatch
african burkitt's lymphoma (disorder);endemic burkitt lymphoma;exactmatch
atypical papilloma of choroid plexus (disorder);atypical choroid plexus papilloma;exactmatch
ependymoma, anaplastic (morphologic abnormality);embryonal tumor with multilayered rosettes, c19mc-altered;exactmatch
sinusoidal hemangioma (morphologic abnormality);sinusoidal hemangioma;exactmatch
benign neoplasm of maxillary sinus (disorder);benign maxillary sinus neoplasm;exactmatch
epithelioid hemangioendothelioma, malignant (morphologic abnormality);epithelioid hemangioendothelioma;exactmatch
actinic cheilitis (disorder);actinic keratosis;exactmatch
papillary hidradenoma (morphologic abnormality);hidradenoma papilliferum;exactmatch
primary intraosseous squamous cell carcinoma derived from odontogenic cyst (morphologic abnormality);primary intraosseous squamous cell carcinoma derived from odontogenic cyst;exactmatch
nodal marginal zone b-cell lymphoma (disorder);nodal marginal zone lymphoma;exactmatch
polyglandular activity in multiple endocrine adenomatosis (disorder);multiple endocrine neoplasia;exactmatch
lymphoplasmocyte-rich meningioma (morphologic abnormality);lymphoplasmacyte-rich meningioma;exactmatch
benign neoplasm of pituitary gland (disorder);benign pituitary gland neoplasm;exactmatch
malignant tumor of nasal sinuses (disorder);malignant paranasal sinus neoplasm;exactmatch
dermal duct tumor (morphologic abnormality);dermal duct tumor;exactmatch
germ cell tumor (disorder);germ cell tumor;exactmatch
small cell carcinoma of prostate (disorder);prostate small cell neuroendocrine carcinoma;exactmatch
secondary malignant neoplasm of vulva (disorder);metastatic malignant neoplasm in the vulva;exactmatch
benign neoplasm of lung (disorder);benign lung neoplasm;exactmatch
fibrous dysplasia (morphologic abnormality);fibrous dysplasia;exactmatch
benign epithelial tumor of ovary (disorder);benign ovarian epithelial tumor;exactmatch
benign neoplasm of retroperitoneum (disorder);benign retroperitoneal neoplasm;exactmatch
sebaceous adenoma of skin (disorder);sebaceous adenoma;exactmatch
yolk sac tumor (disorder);yolk sac tumor;exactmatch
pulmonary lymphangioleiomyomatosis (disorder);lung lymphangioleiomyomatosis;exactmatch
carcinoma of duodenum (disorder);duodenal carcinoma;exactmatch
malignant melanoma of eyelid (disorder);eyelid melanoma;exactmatch
choriocarcinoma of placenta (disorder);placental choriocarcinoma;exactmatch
nephroblastoma (morphologic abnormality);kidney wilms tumor;exactmatch
pigmented nevus, no international classification of diseases for oncology subtype (morphologic abnormality);melanocytic nevus;exactmatch
glomus tympanicum tumor (disorder);tympanic paraganglioma;exactmatch
teratoma of ovary (disorder);ovarian teratoma;exactmatch
adamantinoma of long bone (disorder);adamantinoma;exactmatch
polyp of nasal sinus (disorder);paranasal sinus polyp;exactmatch
mantle cell lymphoma (morphologic abnormality);multifocal lymphomatous polyposis;exactmatch
hodgkin's disease, mixed cellularity (disorder);mixed cellularity classic hodgkin lymphoma;exactmatch
carcinosarcoma of ovary (disorder);ovarian carcinosarcoma;exactmatch
ameloblastoma (morphologic abnormality);ameloblastoma;exactmatch
secondary malignant neoplasm of spinal cord (disorder);metastatic malignant neoplasm in the spinal cord;exactmatch
squamous cell carcinoma of mouth (disorder);oral cavity squamous cell carcinoma;exactmatch
carcinoma ex pleomorphic adenoma (morphologic abnormality);carcinoma ex pleomorphic adenoma;exactmatch
carcinoma of sigmoid colon (disorder);sigmoid colon carcinoma;exactmatch
follicular lymphoma grade 3b (morphologic abnormality);grade 3b follicular lymphoma;exactmatch
senile angioma (disorder);cherry hemangioma;exactmatch
meningeal melanomatosis (morphologic abnormality);meningeal melanomatosis;exactmatch
acute myelomonocytic leukemia, fab m4 (disorder);acute myelomonocytic leukemia;exactmatch
metastatic sarcoma (disorder);metastatic sarcoma;exactmatch
gynandroblastoma of ovary (disorder);ovarian gynandroblastoma;exactmatch
benign adrenal cortical tumor (morphologic abnormality);benign adrenal cortex neoplasm;exactmatch
myelodysplastic syndrome with ring sideroblasts and multilineage dysplasia (morphologic abnormality);myelodysplastic syndrome with ring sideroblasts and multilineage dysplasia;exactmatch
hidradenoma of skin (disorder);hidradenoma;exactmatch
meningeal melanoma (morphologic abnormality);meningeal melanoma;exactmatch
primary malignant neoplasm of rectosigmoid junction (disorder);malignant rectosigmoid neoplasm;exactmatch
cellular blue nevus of skin (disorder);cellular blue nevus;exactmatch
large cell anaplastic lymphoma t cell and null cell type (disorder);anaplastic large cell lymphoma;exactmatch
hodgkin's disease, nodular sclerosis - mixed cellularity (disorder);hodgkin's disease, nodular sclerosis, mixed cellularity;exactmatch
morpheic basal cell carcinoma (disorder);skin sclerosing/morphoeic basal cell carcinoma;exactmatch
metastatic papillary thyroid carcinoma (morphologic abnormality);stage iv thyroid gland papillary carcinoma ajcc v7;exactmatch
spindle cell squamous cell carcinoma (disorder);skin spindle cell squamous cell carcinoma;exactmatch
embryonal rhabdomyosarcoma (disorder);embryonal rhabdomyosarcoma;exactmatch
solid papillary carcinoma in situ of breast (disorder);breast solid papillary carcinoma in situ;exactmatch
malignant neoplasm of body of uterus (disorder);malignant uterine corpus neoplasm;exactmatch
ductal carcinoma in situ with microinvasion (morphologic abnormality);microinvasive breast carcinoma;exactmatch
ganglioneuroma (morphologic abnormality);ganglioneuroma;exactmatch
corticotroph adenoma (disorder);corticotroph adenoma;exactmatch
pancoast's syndrome (disorder);pancoast syndrome;exactmatch
choriocarcinoma of ovary (disorder);ovarian choriocarcinoma;exactmatch
neuroendocrine carcinoma of appendix (disorder);appendix neuroendocrine carcinoma;exactmatch
fibroepithelial polyp (morphologic abnormality);skin tag;exactmatch
follicular low grade b-cell lymphoma (disorder);follicular lymphoma;exactmatch
benign thymoma (disorder);benign thymoma;exactmatch
intradermal nevus (morphologic abnormality);dermal nevus;exactmatch
squamous cell carcinoma, keratinizing (morphologic abnormality);keratinizing squamous cell carcinoma;exactmatch
squamous cell carcinoma of lip (disorder);lip squamous cell carcinoma;exactmatch
precursor t cell lymphoblastic leukemia/lymphoblastic lymphoma (disorder);t lymphoblastic leukemia/lymphoma;exactmatch
papillary glioneuronal tumor (morphologic abnormality);papillary glioneuronal tumor;exactmatch
cellular fibroma (morphologic abnormality);cellular fibroma;exactmatch
cementoblastoma, benign (morphologic abnormality);cementoblastoma;exactmatch
neoplasm of penis (disorder);penile neoplasm;exactmatch
neoplasm of mouth (disorder);oral neoplasm;exactmatch
primary malignant neoplasm of orbit (disorder);malignant orbit neoplasm;exactmatch
sweat gland adenocarcinoma (morphologic abnormality);hidradenocarcinoma;exactmatch
metastatic squamous cell carcinoma (disorder);metastatic squamous cell carcinoma;exactmatch
benign neoplasm of uveal tract (disorder);benign uveal neoplasm;exactmatch
primary endometrioid carcinoma of endometrium of body of uterus (disorder);endometrial endometrioid adenocarcinoma;exactmatch
benign neoplasm of myocardium (disorder);benign myocardial neoplasm;exactmatch
residual tumor stage (observable entity);residual disease;exactmatch
