head;relation;tail
regional manager;exactmatch;manager of a distribution zone
bulk filler;exactmatch;bulk goods loader
locker room attendant;exactmatch;locker room assistant
service employee cinema, theatre;exactmatch;usher
attractions employee;exactmatch;fairground employee
learning support assistant;exactmatch;gon supervisor
solar plant operation technician;exactmatch;solar plant operation technician
energy production control room operator;exactmatch;energy control room operator
nuclear power plant operation technician;exactmatch;nuclear power plant maintenance electrician
hydropower plant operation technician;exactmatch;hydropower plant operator
geothermal energy plant operation technician;exactmatch;geothermal energy production operator
fossil fuel power plant operation technician;exactmatch;turbine operator
power line operating technician;exactmatch;high and low voltage cable laying technician
pulping operator;exactmatch;paper production operator
refinery operator;exactmatch;petroleum industry technician
distiller;exactmatch;refinery assistant
biogas technician;exactmatch;biogas plant operator
air separation plant operator;exactmatch;employee air separation plant
chemical industry process engineer;exactmatch;chemical industry panel operator
higher education geoscience teacher;exactmatch;higher education geoscience teacher
primary school director;exactmatch;primary school director
assistant director;exactmatch;assistant school leader
director of kindergarten;exactmatch;director of day-care centre
soap maker;exactmatch;soaper
tablet machine operator;exactmatch;tablet machine operator
perfume production machine operator;exactmatch;perfume production machine operator
rolling stock assembly technician;exactmatch;train component mechanic
higher education economics lecturer;exactmatch;lecturer in economic sciences
higher education space science lecturer;exactmatch;higher education space technology lecturer
head of assembly;exactmatch;assembly technician
forging machinery mechanic;exactmatch;maintenance mechanic for metal working installations
hydraulic machinery mechanic;exactmatch;hydraulic technician
textile machinery mechanic;exactmatch;textile machinery mechanic
rotating machinery mechanic;exactmatch;rotating machinery technician
pneumatic systems technician;exactmatch;pneumatic systems service technician
lecturer in nutritional science;exactmatch;lecturer in nutritional science
lecturer in communication in higher education;exactmatch;lecturer in communication science in higher education
lecturer in vocational nursing and obstetrics;exactmatch;lecturer in vocational nursing and obstetrics
lecturer in social work in higher education;exactmatch;lecturer in social work
teacher of educational sciences in higher education;exactmatch;teacher of pedagogy in higher education
energy production operator;exactmatch;energy production plant operator
airport installations maintenance engineer;exactmatch;airport maintenance engineer
vocational teacher in beauty care;exactmatch;vocational teacher in beauty care
rolling stock engineer;exactmatch;production rolling stock engineer
assembly supervisor for rolling stock assembly;exactmatch;responsible for rolling stock assembly
lecturer business administration higher education;exactmatch;lecturer business administration
vocational education teacher in business administration;exactmatch;vocational education teacher in business administration
botany laboratory assistant;exactmatch;routine botany analyst
bereavement counsellor;exactmatch;bereavement counsellor
freinet education teacher;exactmatch;freinet school teacher
teacher steiner education;exactmatch;teacher steiner school
primary school teacher;exactmatch;teacher
aircraft engine assembly technician;exactmatch;aircraft engine assembly worker
gas turbine engine maintenance engineer;exactmatch;gas turbine engine maintenance engineer
aircraft engine specialist;exactmatch;aircraft engine engineer
aircraft maintenance technician;exactmatch;aircraft maintenance technician
biochemical laboratory assistant;exactmatch;biochemistry laboratory engineer
librarian;exactmatch;employee municipal library
secondary school economics teacher;exactmatch;secondary school economics teacher
spiritual nurse;exactmatch;army pandit
biomedical laboratory assistant;exactmatch;employee pre-analytical department
textile quality inspector;exactmatch;textile quality controller
clothing quality inspector;exactmatch;garment quality controller
textile process controller;exactmatch;textile process inspector
campsite manager;exactmatch;campsite management
sewing machine operator;exactmatch;dressmaker (sewing)
seamstress;exactmatch;stitcher
higher education teacher in healthcare;exactmatch;higher education teacher in health sciences
higher education pharmaceutical science lecturer;exactmatch;higher education pharmacy lecturer
printed circuit board testing technician;exactmatch;printed circuit board testing technician
vocational teacher in agriculture, forestry and fisheries;exactmatch;teacher in agriculture, forestry and fisheries vocational education
metal heat treatment worker;exactmatch;steel hardener
blast furnace operator;exactmatch;lavour processor
moulding machine mechanic;exactmatch;moulding machine service mechanic
pipe welder;exactmatch;industrial assembly pipe fitter
spot welder;exactmatch;spot welding machine operator
laser welder;exactmatch;laser welder
electron beam welder;exactmatch;electron beam welder
robotic plant operator;exactmatch;welding robot controller
metal caster;exactmatch;casting machine operator
semiconductor industry technician;exactmatch;electronics cleanroom production operator
scallop caster;exactmatch;scallop caster
metal founder;exactmatch;metal core maker
metal forming machine operator;exactmatch;mould maker
foundry core maker;exactmatch;mould and core maker
hand mould maker at foundry;exactmatch;mould maker
higher education medicine teacher;exactmatch;higher education medicine teacher
welder;exactmatch;gas welder
drummer;exactmatch;drum machine operator
metallurgy engineer;exactmatch;mining engineer
specialist teacher in medical laboratory technology for vocational education;exactmatch;teacher in biomedical laboratory technology for vocational education
metal production manager;exactmatch;technical director of metal production
higher education dentistry teacher;exactmatch;higher education dentistry teacher
printed circuit board assembly assistant;exactmatch;printed circuit board assistant
welding coordinator;exactmatch;foreman welding
vehicle assembly technician;exactmatch;vehicle assembly technician
photography teacher;exactmatch;photography teacher
circus arts teacher;exactmatch;circus arts teacher
drama teacher in higher education;exactmatch;lecturer in theatre
assembly worker metal;exactmatch;assembly worker metal products
assembly worker electromechanical equipment;exactmatch;assembler electromechanical equipment
assembly technician electrical equipment;exactmatch;assembly technician electrical devices
assembly technician mechatronics;exactmatch;assembly assistant mechatronics
assembly technician industrial equipment;exactmatch;assembly assistant industrial equipment
assembly worker plastics;exactmatch;assembly worker plastics
assembly worker rubber;exactmatch;assembly worker rubber products
wood assembly worker;exactmatch;wood products assembly worker
mechanical engineer;exactmatch;mechanical engineer
industrial maintenance supervisor;exactmatch;technical maintenance supervisor
aircraft maintenance manager;exactmatch;aircraft maintenance coordinator
montessori school teacher;exactmatch;teacher at montessori school
technician-chemist;exactmatch;chemistry assistant
capsule filling machine operator;exactmatch;tablet machine operator
foster care supervisor;exactmatch;foster care counsellor
social work consultant;exactmatch;social work consultant
family social worker;exactmatch;family social worker
benefit counsellor;exactmatch;benefit counsellor
marriage counsellor;exactmatch;marriage counsellor
crisis intervention social worker;exactmatch;crisis care social worker
social worker alcohol, drug, gambling addicts;exactmatch;social worker drug addicts
social worker armed forces;exactmatch;company social worker armed forces
heating engineer;exactmatch;central heating installer
youth care worker;exactmatch;youth care assistant
bathroom fitter;exactmatch;bathroom fitter
guardian;exactmatch;youth guardian
games of chance inspector;exactmatch;inspector for the games of chance act
sports and recreation policy officer;exactmatch;leisure policy officer
housing counsellor;exactmatch;housing counsellor
support worker for persons with disabilities;exactmatch;support worker for persons with physical disabilities
helpline assistant;exactmatch;helpline assistant
social worker, specialising in mental health care;exactmatch;social worker for alcohol, drug and gambling addicts
education policy officer;exactmatch;education policy officer
team leader plumber;exactmatch;plumber foreman
mobile crane operator;exactmatch;mobile crane operator
laboratory technician leather goods;exactmatch;leather tester
community work social worker;exactmatch;community worker
policy officer social services;exactmatch;policy officer social services
policy officer social affairs and welfare;exactmatch;policy officer social domain
utility inspector;exactmatch;building inspector
elder worker;exactmatch;elder welfare worker
travel consultant;exactmatch;travel agent
travel agent;exactmatch;salesperson in a travel agency
manager oil and gas extraction;exactmatch; director gas production company
policy director recreation and tourism;exactmatch;tourism product development manager
pipeline maintenance engineer;exactmatch;water pipeline maintenance engineer
gas distribution worker;exactmatch;gas distribution worker
on-site tour guide;exactmatch;on-site tour guide
retail checkout department manager;exactmatch;retail checkout sales manager
drilling engineer;exactmatch;drilling supervisor
lift assembly team leader;exactmatch;lead lift technician
sales specialist;exactmatch;sales specialist
heating and ventilation engineer;exactmatch;heating, ventilation and air-conditioning engineer
mud logger;exactmatch;drilling suspension analyst
water systems engineer;exactmatch;sanitary water treatment engineer
civil affairs officer;exactmatch;administrative officer for civil affairs
administrative officer public administration;exactmatch;administrative assistant public administration
family counsellor;exactmatch;family counsellor assistant
archivist;exactmatch;archive manager
bacteriological laboratory technician;exactmatch;bacteriological analyst
groundwater monitoring technician;exactmatch;groundwater analysis technician
beauty salon manager;exactmatch;beauty salon manager
biotech laboratory assistant;exactmatch;biotechnician
distribution manager specialised articles;exactmatch;supply chain planner specialised articles
manager energy production company;exactmatch;manager hydropower operation
information manager;exactmatch;documentalist
care assistant;exactmatch;care assistant
cultural archive manager;exactmatch;archive manager
day-care centre worker;exactmatch;crã¨che worker
nanny;exactmatch;babysitter
childminder;exactmatch;child supervisor
art restorer;exactmatch;furniture restorer
hairdresser's assistant;exactmatch;hairdresser's assistant
art handler;exactmatch;art transport, storage and packaging assistant
textile quality technician;exactmatch;laboratory technician testing
physical technician;exactmatch;physical analyst
textile chemical grade technician;exactmatch;textile laboratory technician
biological laboratory technician;exactmatch;technician-biologist in an industrial control laboratory
water quality analyst;exactmatch;water quality manager
home help;exactmatch;home care assistant
companion;exactmatch;lady companion
educational officer;exactmatch;museum educator
education programme coordinator;exactmatch;training coordinator
dress adjuster;exactmatch;dress adjuster
social services manager;exactmatch;social services manager
derrickhand;exactmatch;derrick operator
rigger;exactmatch;rigger-mounted worker
childcare supervisor-coordinator;exactmatch;childcare network manager
roughneck;exactmatch;drill floor worker
roustabout;exactmatch;handler
protective clothing production worker;exactmatch;protective clothing production worker
embroidery machine operator;exactmatch;garment embroiderer
mattress maker;exactmatch;mattress maker
textile goods manufacturer;exactmatch;tent maker
embroiderer;exactmatch;hand embroiderer
chemistry technician;exactmatch;chemical industry manufacturing technician
textile industry production manager;exactmatch;textile workshop manager
quality manager textile industry;exactmatch;compliance officer textile
lasts operator;exactmatch;production assistant lasts
production assistant soles and heels;exactmatch;production assistant shoe soles
engraving machine operator;exactmatch;operator cnc engraving machine
marketing manager;exactmatch;head of marketing
technical draftsman vehicle construction;exactmatch;draftsman car bodywork
port crane driver;exactmatch;container crane driver
data analyst;exactmatch;data analyst
marketer;exactmatch;marketer
head of purchasing;exactmatch;purchasing manager
buyer;exactmatch; purchaser
purchasing coordinator;exactmatch;purchasing coordinator
sales manager;exactmatch;commercial director
technical draftsman shipbuilding;exactmatch;draftsman shipbuilding
wall and floor covering sales specialist;exactmatch;flooring sales specialist
voice-over;exactmatch;voice actor
technical draughtsman in mechanical engineering;exactmatch;mechanical studies draughtsman
manager multimodal logistics;exactmatch;manager storage and transhipment company
radio and television technician;exactmatch;radio and television technician
refrigeration, air and heating engineer;exactmatch;hvacr engineer
stuntman;exactmatch;stuntwoman
prop writer;exactmatch;prop master
scriptwriter;exactmatch;dialogue writer
advertising assistant;exactmatch;advertising assistant
visual merchandiser;exactmatch;window dresser
hardware and paint sales specialist;exactmatch;hardware and tools sales specialist
financial trader;exactmatch;securities trader
auction house director;exactmatch;auction house manager
auctioneer;exactmatch;auction coordinator
aircraft designer-designer;exactmatch;aircraft designer
port controller;exactmatch;radar observer port
toy sales specialist;exactmatch;toy saleswoman
stevedoring company manager;exactmatch;port terminal manager
securities dealer;exactmatch;securities trader
futures trader;exactmatch;trader in futures
stock broker;exactmatch;stock broker
slimming consultant;exactmatch;slimming coach
issuer of securities;exactmatch;securities underwriter
stockbroker;exactmatch;securities salesperson
financial broker;exactmatch;broker
asset manager;exactmatch;wealth manager
media planner;exactmatch;web planner
advertising manager;exactmatch;communications manager
creative director;exactmatch;creative director of advertising
media consultant;exactmatch;media consultant
warehouse manager;exactmatch;goods warehouse manager
animation director;exactmatch;animation director/producer
shoe and leather goods processor;exactmatch;polisher (leather)
programme manager;exactmatch; television programme manager
higher education history teacher;exactmatch;higher education history teacher
extra;exactmatch; extras
waste treatment site manager;exactmatch;head of operation of a waste incineration plant
audio and video equipment sales specialist;exactmatch;audio and video equipment sales assistant
sales specialist household appliances;exactmatch;salesperson household appliances
post production manager;exactmatch; post production manager
special effects specialist;exactmatch;special effects specialist
film and video editor;exactmatch;film editor
v-belts finishing operator;exactmatch;v-belts finishing operator
optical instrument maker;exactmatch;optical instrument maker
retreader v-belts;exactmatch;retreader v-belts
production worker v-belts;exactmatch;production worker v-belts
tyre vulcaniser;exactmatch;tyre repairer
tyre maker;exactmatch; tyre maker
rubber presser;exactmatch; production worker for belts
rubber moulding machine operator;exactmatch; rubber processing machine operator
rubber cutting machine operator;exactmatch;rubber sheet production worker
foam rubber operator;exactmatch;mattress machine operator
higher education archaeology lecturer;exactmatch;higher education archaeology lecturer
optical instrument repairer;exactmatch;optical instrument repairer
order picker;exactmatch;order picker
location manager;exactmatch;location manager
mechanic of aircraft de-icing systems;exactmatch;mechanic de-icing systems (aircraft)
aerospace engineer;exactmatch;aircraft engineer
script supervisor;exactmatch;script girl
film assistant;exactmatch;assistant to the film director
radio production manager;exactmatch;radio producer
tool grinder;exactmatch;tool sharpener
video and cinema film producer;exactmatch;video producer
precision instrument maker;exactmatch;precision instrument maker
psychology assistant;exactmatch;psychodiagnostic assistant
sound editor;exactmatch;film composer
sound artist;exactmatch;sound artist
sound operator;exactmatch;sound employee
educational psychologist;exactmatch;educational psychologist
health care psychologist;exactmatch;health care psychologist
stevedore;exactmatch;goods handler at port
baggage handler;exactmatch;air cargo loader-unloader
studio recording engineer;exactmatch;recording studio technician
sound mastering engineer;exactmatch;audio mastering technician
ship broker;exactmatch;shipbroker
telecom products sales specialist;exactmatch;telecommunications equipment sales specialist
estate agent;exactmatch;estate agent
higher education chemistry teacher;exactmatch;higher education chemistry teacher
department store manager;exactmatch;supermarket manager
audio and video shop manager;exactmatch;department manager sales of audio and video equipment
gardener;exactmatch;assistant horticultural worker
agricultural worker;exactmatch;farm labourer
picker;exactmatch;mushroom picker
medical devices sales manager;exactmatch;pharmacy manager
lecturer in higher education in linguistics;exactmatch;lecturer in linguistics
sociology lecturer in higher education;exactmatch;lecturer in social studies in higher education
newspaper, magazine and stationery sales specialist;exactmatch;newspaper, magazine and stationery sales specialist
shop manager;exactmatch;branch manager
books, periodicals and stationery sales specialist;exactmatch;specialised bookseller
pipeline operator;exactmatch;refinery operator
antique dealer;exactmatch;art sales specialist
dredger driver;exactmatch;dredger crane driver
horse breeder;exactmatch;horse breeder
higher education law lecturer;exactmatch;higher education law lecturer
home improvement shop manager;exactmatch;home improvement store manager
higher education psychology lecturer;exactmatch;psychology lecturer
regional retail manager;exactmatch;district retail manager
wholesaler;exactmatch; wholesaler
textile sales specialist;exactmatch;fabric seller
higher education teacher in religious studies;exactmatch;higher education teacher in religious studies
specialist import and export of fish, crustaceans and molluscs;exactmatch;specialist import and export of fish, crustaceans and molluscs
specialist import and export of electronic and telecommunications equipment;exactmatch;specialist import and export of electronic and telecommunications equipment
specialist import and export of electrical household appliances;exactmatch;specialist import and export of electrical household appliances
agricultural machinery and equipment import and export specialist;exactmatch;agricultural machinery and equipment import and export specialist
import-export manager;exactmatch;head of customs affairs
commercial pilot;exactmatch;commercial pilot
pet and animal products sales specialist;exactmatch;pet shop sales specialist
import-export specialist;exactmatch;import and export specialist
games, multimedia and software sales specialist;exactmatch;electronic games salesman
wholesaler of electrical household appliances;exactmatch;wholesaler of electrical household appliances
marshaller;exactmatch;apron officer
civil engineering professional;exactmatch;civil engineering professional
wholesaler of jewellery and watches;exactmatch;wholesaler of watches and jewellery
wholesaler of pharmaceutical products;exactmatch;wholesaler of medicinal products
wholesaler of cosmetics and perfumes;exactmatch;wholesaler of perfumes and cosmetics
wholesaler of office furniture;exactmatch;wholesaler of office furniture
wholesaler of live animals;exactmatch;wholesaler of livestock
wholesaler of furniture, carpets and lighting equipment;exactmatch;wholesaler of furniture, carpets and lighting equipment
ammunition sales specialist;exactmatch;weapons sales specialist
manager of weapons sales;exactmatch;weapons sales specialist
retail wall and floor covering manager;exactmatch;branch manager wall and floor covering sales
butcher;exactmatch;meat butcher
car rental assistant;exactmatch;rental assistant in a car rental company
video rental assistant;exactmatch;video lending assistant
petrol station sales assistant;exactmatch;petrol pump attendant
refrigeration, air and heating engineer;exactmatch;air technology engineer
property rental manager;exactmatch;property rental manager
property manager;exactmatch;property manager
bread and pastry sales specialist;exactmatch;bakery sales assistant
fruit and vegetable sales specialist;exactmatch;greengrocer
jewish slaughterer;exactmatch;kosher slaughterer
specialist business acquisition valuation;exactmatch;mergers and acquisitions advisor
appraiser of movable property;exactmatch;appraiser of paintings
general manager for inland waterway transport;exactmatch;general manager for inland waterway transport
agent;exactmatch;agent
healthcare products and tools sales specialist;exactmatch;pharmacist
sailor-engine driver;exactmatch;engine driver
furniture sales specialist;exactmatch;specialised furniture salesman
second-hand goods sales specialist;exactmatch;recycled goods sales specialist
rental employee motor vehicles;exactmatch;rental employee motor vehicles
book publisher;exactmatch;publisher
embalmer;exactmatch;funeral director
automotive engineer;exactmatch;automotive engineer
manager thrift shop;exactmatch;manager thrift shop
manager fabric shop;exactmatch;retail sales manager textile
shop manager telecom;exactmatch;manager telecom shop
manager sales of sports and camping articles;exactmatch;sales manager sports and outdoors
deckhand;exactmatch;deckwoman
toy shop manager;exactmatch;toy sales department manager
heating and air-conditioning engineer;exactmatch;hvac engineer
light sailor;exactmatch;inland navigation light sailor
vehicle designer;exactmatch;car designer
naval architect;exactmatch;ship designer
political science lecturer higher education;exactmatch;political science lecturer
design engineer industrial equipment;exactmatch;design engineer mechanical engineering
component engineer;exactmatch;component engineer
application engineer;exactmatch;systems development engineer
robotics engineer;exactmatch;robo-advisor
machinery and tool designer-constructor;exactmatch;tool designer-constructor
captain;exactmatch;captain of passenger ships
rubber production operator;exactmatch;all-round chemical industry operator
belt maker;exactmatch;belt maker
rubber production machine operator;exactmatch;rubber worker
ski instructor;exactmatch;ski coach
footwear designer;exactmatch;footwear designer
leather goods product development manager;exactmatch;project manager
leather goods product developer;exactmatch;leather goods product designer
leather goods designer;exactmatch;leather goods designer
higher education anthropology teacher;exactmatch;higher education anthropology teacher
receiver;exactmatch;tax collector
tennis instructor;exactmatch;tennis instructor
snowboard instructor;exactmatch;snowboard instructor
skating coach;exactmatch;skating instructor
manager product development footwear;exactmatch;director product development footwear
golf coach;exactmatch;golf instructor
boxing trainer;exactmatch;boxing teacher
sports instructor;exactmatch;sports initiator
football coach;exactmatch;football coach
sports coach;exactmatch;sports trainer
lifeguard instructor;exactmatch;lifeguard instructor
vocational education teacher;exactmatch;vocational education physical education teacher
sports coordinator;exactmatch;sports and recreation coordinator
footwear product developer;exactmatch;footwear designer
higher education vet teacher;exactmatch;higher education vet teacher
tobacco sales assistant;exactmatch;cigarette sales assistant
metal mesh weaving machine operator;exactmatch;wire bending machine operator
valet parking driver;exactmatch;valet parking employee
car and van courier;exactmatch;courier service driver
employee car leasing company;exactmatch;counter employee car leasing company
sales assistant;exactmatch;antique sales assistant
jewish butcher;exactmatch;kosher butcher
metal sawyer;exactmatch;metal saw machine operator
cable assembly worker;exactmatch;cable loom fitter
metal spring maker;exactmatch;wire processor
wire drawing machine operator;exactmatch;wire drawing plant operator
cloth product assembly worker;exactmatch;sailmaker
wire-drawing machine operator;exactmatch;wire-drawing machine operator
cutter;exactmatch;metallurgy cutter
oxygen burner operator;exactmatch;cutting torch operator
meat and meat products sales specialist;exactmatch;butchery sales specialist
industrial laundry manager;exactmatch;laundry manager
delicatessen sales specialist;exactmatch;delicatessen saleswoman
chemical production operational manager;exactmatch;chemical industry manager
chemical plant manager;exactmatch;chemical plant manager
public authority inspector;exactmatch;public administration inspector
shoemaker;exactmatch;artisan shoemaker
shoe and leather goods sales manager;exactmatch;shoe and leather goods retail sales manager
leather goods production manager;exactmatch;leather goods production manager
food production planner;exactmatch;food production manager
insurance collection officer;exactmatch;insurance collection officer
debt collection officer;exactmatch;debt collection officer
mailroom assistant;exactmatch;post processing administrative assistant
controller;exactmatch;accounting inspector
financial director;exactmatch;administrative and financial director
production manager footwear;exactmatch;production manager footwear
leather goods quality manager;exactmatch;director of quality in the leather industry
leather finishing manager;exactmatch;leather finishing manager
manager of sales of orthopaedic aids;exactmatch;head of orthopaedic shoe workshop
manager shoe production;exactmatch;manager shoe manufacturing
project finance manager;exactmatch;project finance manager
budget management controller;exactmatch;budget analyst
chief accountant;exactmatch;accounting office manager
metal press operator;exactmatch;metal press operator
food production engineer;exactmatch;food engineer
dairy technologist;exactmatch;cheese technologist
food technologist;exactmatch;food technologist
brewmaster;exactmatch;master brewer
cider master;exactmatch;master in a cider brewery
feed supervisor;exactmatch;feed and meat production supervisor
malting supervisor;exactmatch;malting manager
casino floor manager;exactmatch;casino pit boss
casino games manager;exactmatch;head of casino games
lottery manager;exactmatch;lottery director
gaming manager;exactmatch;gaming room director
betting office manager;exactmatch;director of betting office
metal sheet worker;exactmatch;sheet-metal worker
leather industry production manager;exactmatch;leather goods industry manager
wet house processing manager;exactmatch;wet processing department manager
health care inspector;exactmatch;medicines inspector
public health and environmental health inspector;exactmatch;environmental inspector
labour inspector;exactmatch;occupational hygienist
building safety manager;exactmatch;building safety inspector
building safety inspector;exactmatch;building safety expert
sports facility manager;exactmatch;stadium manager
food production manager;exactmatch;manager in a food factory
green coffee bean coordinator;exactmatch;green coffee bean coordinator
distillery supervisor;exactmatch;distillery manager
lottery assistant;exactmatch;lottery employee
lottery ticket sales assistant;exactmatch;national lottery sales assistant
clothing sales specialist;exactmatch;men's clothing sales specialist
policy officer labour market;exactmatch;policy officer labour market
executive producer;exactmatch; production manager
prop maker;exactmatch;prop maker
theatre director;exactmatch;stage director
theatre production assistant;exactmatch;assistant to the theatre director
producer;exactmatch;production manager
building materials sales specialist;exactmatch;do-it-yourself shop sales specialist
sports and camping goods sales specialist;exactmatch;sports goods sales specialist
employment programme coordinator;exactmatch;employment programme coordinator
ict research manager;exactmatch;technology innovation manager
