head;relation;tail
question mark ears, isolated;exactmatch;auricular cleft, congenital
premature ovarian failure 10;exactmatch;menopause, natural, age at, quantitative trait locus 3
epilepsy, idiopathic generalized, susceptibility to, 8;exactmatch;epilepsy, idiopathic generalized, susceptibility to, 8
cerebral palsy, spastic quadriplegic, 2;exactmatch;cerebral palsy, spastic quadriplegic, 2
leukoencephalopathy, cystic, without megalencephaly;exactmatch;leukoencephalopathy, cystic, without megalencephaly
retinitis pigmentosa 42;exactmatch;retinitis pigmentosa 42
hadziselimovic syndrome;exactmatch;hadziselimovic syndrome
microcephaly, growth retardation, cataract, hearing loss, and unusual appearance;exactmatch;microcephaly, growth retardation, cataract, hearing loss, and unusual appearance
stargardt macular degeneration, absent or hypoplastic corpus callosum, mental retardation, and dysmorphic facial features;exactmatch;stargardt macular degeneration, absent or hypoplastic corpus callosum, mental retardation, and dysmorphic facial features
developmental and epileptic encephalopathy 39;exactmatch;agc1 deficiency
psoriasis 12, susceptibility to;exactmatch;psoriasis 12, susceptibility to
aicardi-goutieres syndrome 5;exactmatch;aicardi-goutieres syndrome 5
keratosis palmoplantaris striata 2;exactmatch;keratoderma, palmoplantar, striate form 2
parkinson disease 14, autosomal recessive;exactmatch;dystonia-parkinsonism, adult-onset
myopathy, myofibrillar, 6;exactmatch;myopathy, myofibrillar, 6
long qt syndrome 12;exactmatch;long qt syndrome 12
ventricular fibrillation, paroxysmal familial, 2;exactmatch;ventricular fibrillation, paroxysmal familial, 2
multiple synostoses syndrome 3;exactmatch;multiple synostoses syndrome 3
premature ovarian failure 7;exactmatch;adrenal insufficiency, nr5a1-related
cutis laxa, autosomal recessive,  iia 2b;exactmatch;cutis laxa with progeroid features
growth retardation, developmental delay, and facial dysmorphism;exactmatch;growth retardation, developmental delay, and facial dysmorphism
muscular dystrophy-dystroglycanopathy (limb-girdle),  iia c, 15;exactmatch;cdg io
spastic paraplegia 50, autosomal recessive;exactmatch;cerebral palsy, spastic quadriplegic, 3, formerly
glycogen storage disease 11;exactmatch;glycogen storage disease 11
glycogen storage disease 13;exactmatch;enolase 3 deficiency
mycobacterium tuberculosis, susceptibility to, 3;exactmatch;mtbs3
hemolytic uremic syndrome, atypical, susceptibility to, 6;exactmatch;ahus, susceptibility to, 6
hemolytic uremic syndrome, atypical, susceptibility to, 5;exactmatch;ahus, susceptibility to, 5
hemolytic uremic syndrome, atypical, susceptibility to, 4;exactmatch;ahus, susceptibility to, 4
hemolytic uremic syndrome, atypical, susceptibility to, 3;exactmatch;ahus, susceptibility to, 3
hemolytic uremic syndrome, atypical, susceptibility to, 2;exactmatch;ahus, susceptibility to, 2
three m syndrome 2;exactmatch;3m syndrome 2
congenital lipomatous overgrowth, vascular malformations, and epidermal nevi;exactmatch;clove syndrome
giacheti syndrome;exactmatch;giacheti syndrome
zechi-ceide syndrome;exactmatch;occipital atretic cephalocele, unusual facies, and large feet
orofaciodigital syndrome 11;exactmatch;gabrielli syndrome
choroidal dystrophy, central areolar 2;exactmatch;choroidal dystrophy, central areolar 2
neutropenia, severe congenital, 2, autosomal dominant;exactmatch;neutropenia, severe congenital, 2, autosomal dominant
cholestasis, benign recurrent intrahepatic, 2;exactmatch;cholestasis, benign recurrent intrahepatic, 2
mononeuropathy of the median nerve, mild;exactmatch;carpal tunnel syndrome, susceptibility to
leber congenital amaurosis 14;exactmatch;leber congenital amaurosis 14
mseleni joint disease;exactmatch;mseleni joint disease
handigodu joint disease;exactmatch;handigodu joint disease
hypokalemic periodic paralysis,  iia 2;exactmatch;hypokalemic periodic paralysis,  iia 2
pancreatic cancer, susceptibility to, 2;exactmatch;pancreatic cancer, susceptibility to, 2
pancreatic cancer, susceptibility to, 3;exactmatch;pancreatic cancer, susceptibility to, 3
chromosome 17q23.1-q23.2 deletion syndrome;exactmatch;chromosome 17q23.1-q23.2 deletion syndrome
epilepsy, hot water, 1;exactmatch;bathing epilepsy
spastic paraplegia 41, autosomal dominant;exactmatch;spastic paraplegia 41, autosomal dominant
maturity-onset diabetes of the young,  iia 10;exactmatch;maturity-onset diabetes of the young,  iia 10
spinocerebellar ataxia 30;exactmatch;spinocerebellar ataxia 30
maturity-onset diabetes of the young,  iia 11;exactmatch;maturity-onset diabetes of the young,  iia 11
neuronopathy, distal hereditary motor,  iia 2c;exactmatch;hmn 2c
brachydactyly,  iia e2;exactmatch;brachydactyly,  iia e2
epilepsy, hot water, 2;exactmatch;epilepsy, hot water, 2
spondylo-megaepiphyseal-metaphyseal dysplasia;exactmatch;spondylo-megaepiphyseal-metaphyseal dysplasia
fatty liver disease, nonalcoholic, susceptibility to, 2;exactmatch;fatty liver disease, nonalcoholic, susceptibility to, 2
hypophosphatemic rickets, autosomal recessive, 2;exactmatch;hypophosphatemic rickets, autosomal recessive, 2
hearing loss, cisplatin-induced, susceptibility to;exactmatch;hearing loss, cisplatin-induced, susceptibility to
bile acid malabsorption, primary, 1;exactmatch;bile acid malabsorption, primary, 1
deafness, autosomal recessive 79;exactmatch;deafness, autosomal recessive 79
diamond-blackfan anemia 9;exactmatch;diamond-blackfan anemia 9
diamond-blackfan anemia 10;exactmatch;diamond-blackfan anemia 10
exudative vitreoretinopathy 5;exactmatch;exudative vitreoretinopathy 5
hemochromatosis,  iia 2b;exactmatch;hemochromatosis,  iia 2b
plasminogen activator inhibitor-1 deficiency;exactmatch;hyperfibrinolysis due to pai1 deficiency
miyoshi muscular dystrophy 2;exactmatch;miyoshi muscular dystrophy 2
miyoshi muscular dystrophy 3;exactmatch;miyoshi muscular dystrophy 3
spondylometaphyseal dysplasia, megarbane-dagher-melki  iia;exactmatch;chondrodysplasia, megarbane-dagher-melki  iia
rhabdoid tumor predisposition syndrome 2;exactmatch;rhabdoid tumor predisposition syndrome 2
lipodystrophy, congenital generalized,  iia 4;exactmatch;berardinelli-seip congenital lipodystrophy,  iia 4, with muscular dystrophy
roifman-chitayat syndrome;exactmatch;combined immunodeficiency, facial dysmorphism, optic nerve atrophy, skeletal anomalies, and developmental delay
autoimmune disease, multisystem, with facial dysmorphism;exactmatch;autoimmune disease, multisystem, with facial dysmorphism
fanconi renotubular syndrome 2;exactmatch;fanconi renotubular syndrome 2
candidiasis, familial, 4;exactmatch;candidiasis, familial chronic mucocutaneous
chromosome 14q11-q22 deletion syndrome;exactmatch;chromosome 14q11-q22 deletion syndrome
neurodevelopmental disorder with hypotonia, stereotypic hand movements, and impaired language;exactmatch;chromosome 5q14.3 deletion syndrome, proximal
chromosome 16p11.2 deletion syndrome, 220-kb;exactmatch;body mass index quantitative trait locus 16
frontonasal dysplasia 2;exactmatch;frontonasal dysplasia 2
deafness, autosomal recessive 91;exactmatch;deafness, autosomal recessive 91
rett syndrome, congenital variant;exactmatch;rett syndrome, congenital variant
frontonasal dysplasia 3;exactmatch;frontonasal dysplasia 3
chromosome 16p13.3 duplication syndrome;exactmatch;chromosome 16p13.3 duplication syndrome
amyotrophic lateral sclerosis 12 with or without frontotemporal dementia;exactmatch;amyotrophic lateral sclerosis 12 with or without frontotemporal dementia
retinitis pigmentosa 51;exactmatch;retinitis pigmentosa 51
hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency;exactmatch;hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency
reynolds syndrome;exactmatch;primary biliary cirrhosis, scleroderma, raynaud disease, and telangiectasia
developmental and epileptic encephalopathy 5;exactmatch;developmental and epileptic encephalopathy 5
lymphatic malformation 3;exactmatch;lymphatic malformation 3
long qt syndrome 13;exactmatch;long qt syndrome 13
autism, susceptibility to, 17;exactmatch;autism, susceptibility to, 17
retinitis pigmentosa 54;exactmatch;retinitis pigmentosa 54
fanconi anemia, complementation group o;exactmatch;fanconi anemia, complementation group o
arthrogryposis, renal dysfunction, and cholestasis 2;exactmatch;arthrogryposis, renal dysfunction, and cholestasis 2
deafness, autosomal recessive 84a;exactmatch;deafness, autosomal recessive 84
deafness, autosomal recessive 85;exactmatch;deafness, autosomal recessive 85
birbeck granule deficiency;exactmatch;birbeck granule deficiency
warsaw breakage syndrome;exactmatch;warsaw breakage syndrome
breast-ovarian cancer, familial, susceptibility to, 3;exactmatch;breast cancer, familial, susceptibility to, 3
microcephaly, seizures, and developmental delay;exactmatch;developmental and epileptic encephalopathy 10
witteveen-kolk syndrome;exactmatch;chromosome 15q24 deletion syndrome
cardiomyopathy, dilated, 1s;exactmatch;cardiomyopathy, dilated, 1s
leprosy, susceptibility to, 6;exactmatch;leprosy, susceptibility to, 6
autism, susceptibility to, 16;exactmatch;autism with or without seizures
oguchi disease 2;exactmatch;night blindness, congenital stationary, oguchi  iia 2
esophagitis, eosinophilic, 2;exactmatch;esophagitis, eosinophilic, 2
bone mineral density quantitative trait locus 15;exactmatch;bone mineral density quantitative trait locus 15
cardiomyopathy, dilated, 1r;exactmatch;cardiomyopathy, dilated, 1r
charcot-marie-tooth disease, axonal,  iia 2n;exactmatch;charcot-marie-tooth disease, axonal,  iia 2n
cardiomyopathy, dilated, 1ff;exactmatch;cardiomyopathy, dilated, 1ff
deafness, autosomal recessive 25;exactmatch;deafness, autosomal recessive 25
spastic paraplegia 45, autosomal recessive;exactmatch;spastic paraplegia 45, autosomal recessive
muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual impairment),  iia b, 1;exactmatch;muscular dystrophy, congenital, pomt1-related
muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development),  iia b, 2;exactmatch;muscular dystrophy, congenital, pomt2-related
muscular dystrophy-dystroglycanopathy (limb-girdle),  iia c, 3;exactmatch;muscular dystrophy, limb-girdle,  iia 2o
muscular dystrophy-dystroglycanopathy (limb-girdle),  iia c, 2;exactmatch;muscular dystrophy, limb-girdle,  iia 2n
nephronophthisis-like nephropathy 1;exactmatch;nephronophthisis-like nephropathy 1
beta-ureidopropionase deficiency;exactmatch;beta-ureidopropionase deficiency
gaba-transaminase deficiency;exactmatch;gaba-transaminase deficiency
muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies),  iia a, 5;exactmatch;muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies),  iia a, 5
parkinson disease 16;exactmatch;parkinson disease 16
cardiomyopathy, dilated, 1dd;exactmatch;cardiomyopathy, dilated, 1dd
chromosome 5p13 duplication syndrome;exactmatch;chromosome 5p13 duplication syndrome
cutis laxa, autosomal recessive,  iia 1c;exactmatch;cutis laxa with severe pulmonary, gastrointestinal, and urinary abnormalities
purine nucleoside phosphorylase deficiency;exactmatch;nucleoside phosphorylase deficiency
mental retardation, autosomal recessive 13;exactmatch;mental retardation, autosomal recessive 13
muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies),  iia a, 6;exactmatch;muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies),  iia a, 6
muscular dystrophy-dystroglycanopathy (congenital without impaired intellectual development),  iia b, 4;exactmatch;muscular dystrophy, congenital, fktn-related
fatty liver disease, nonalcoholic, susceptibility to, 1;exactmatch;fatty liver disease, nonalcoholic, susceptibility to, 1
cardiomyopathy, dilated, 1cc;exactmatch;cardiomyopathy, dilated, 1cc
macrothrombocytopenia, autosomal dominant, tubb1-related;exactmatch;macrothrombocytopenia, autosomal dominant, tubb1-related
neuropathy, hereditary sensory and autonomic,  iia 2b;exactmatch;neuropathy, hereditary sensory and autonomic,  iia 2b
thrombophilia due to histidine-rich glycoprotein deficiency;exactmatch;thrombophilia due to elevated histidine-rich glycoprotein
antithrombin 3 deficiency;exactmatch;antithrombin 3 deficiency
brugada syndrome 6;exactmatch;brugada syndrome 6
brugada syndrome 7;exactmatch;atrial fibrillation, familial, 16
brugada syndrome 8;exactmatch;brugada syndrome 8
muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development),  iia b, 3;exactmatch;muscular dystrophy, congenital, pomgnt1-related
hydrops fetalis, nonimmune, with gracile bones and dysmorphism;exactmatch;hydrops fetalis, nonimmune, with gracile bones and dysmorphism
parkinsonism-dystonia, infantile, 1;exactmatch;dopamine transporter deficiency syndrome
choroidal dystrophy, central areolar, 3;exactmatch;choroidal dystrophy, central areolar, 3
systemic lupus erythematosus, susceptibility to, 14;exactmatch;systemic lupus erythematosus, susceptibility to, 14
inflammatory bowel disease 28, autosomal recessive;exactmatch;inflammatory bowel disease 28, autosomal recessive
muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies),  iia a, 2;exactmatch;muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies),  iia a, 2
ciliary dyskinesia, primary, 13;exactmatch;ciliary dyskinesia, primary, 13
retinitis pigmentosa 50;exactmatch;retinitis pigmentosa 50
weill-marchesani syndrome 4;exactmatch;weill-marchesani syndrome 4
waardenburg syndrome,  iia 4b;exactmatch;waardenburg syndrome,  iia 4b
cardiomyopathy, familial hypertrophic, 13;exactmatch;cardiomyopathy, familial hypertrophic, 13
colorectal cancer, hereditary nonpolyposis,  iia 8;exactmatch;colorectal cancer, hereditary nonpolyposis,  iia 8
cardiomyopathy, familial hypertrophic, 14;exactmatch;cardiomyopathy, familial hypertrophic, 14
cardiomyopathy, dilated, 1ee;exactmatch;cardiomyopathy, dilated, 1ee
tuberous sclerosis 2;exactmatch;tsc2 angiomyolipomas, renal, modifier of
cardiomyopathy, familial hypertrophic, 15;exactmatch;cardiomyopathy, familial hypertrophic, 15
waardenburg syndrome,  iia 4c;exactmatch;waardenburg syndrome with hirschsprung disease,  iia 4c
muscular dystrophy, congenital, due to integrin alpha-7 deficiency;exactmatch;muscular dystrophy, congenital, due to integrin alpha-7 deficiency
corneal dystrophy, fuchs endothelial, 3;exactmatch;corneal dystrophy, fuchs endothelial, 3
corneal dystrophy, fuchs endothelial, 4;exactmatch;corneal dystrophy, fuchs endothelial, 4
corneal dystrophy, fuchs endothelial, 5;exactmatch;corneal dystrophy, fuchs endothelial, 5
corneal dystrophy, fuchs endothelial, 6;exactmatch;corneal dystrophy, fuchs endothelial, 6
corneal dystrophy, fuchs endothelial, 7;exactmatch;corneal dystrophy, fuchs endothelial, 7
hypermanganesemia with dystonia 1;exactmatch;hypermanganesemia with dystonia 1
pseudopili annulati;exactmatch;pseudopili annulati
thyrotoxic periodic paralysis, susceptibility to, 2;exactmatch;thyrotoxic periodic paralysis, susceptibility to, 2
spondyloarthropathy, susceptibility to, 3;exactmatch;spondyloarthropathy, susceptibility to, 3
focal segmental glomerulosclerosis 5;exactmatch;focal segmental glomerulosclerosis 5
factor xiii, b subunit, deficiency of;exactmatch;factor xiii, b subunit, deficiency of
trichotillomania;exactmatch;trichotillomania
cerebellar ataxia, mental retardation, and dysequilibrium syndrome 3;exactmatch;cerebellar ataxia and mental retardation with or without quadrupedal locomotion 3
factor xiii, a subunit, deficiency of;exactmatch;factor xiii, a subunit, deficiency of
noonan syndrome 6;exactmatch;noonan syndrome 6
leprosy, susceptibility to, 5;exactmatch;leprosy, protection against
diarrhea 5, with tufting enteropathy, congenital;exactmatch;diarrhea 5, with tufting enteropathy, congenital
night blindness, congenital stationary,  iia 1c;exactmatch;csnb, complete, autosomal recessive
chromosome 17p13.3, centromeric, duplication syndrome;exactmatch;chromosome 17p13.3, centromeric, duplication syndrome
amelogenesis imperfecta, hypomaturation type, iia3;exactmatch;amelogenesis imperfecta, hypomaturation type, iia3
asthma-related traits, susceptibility to, 8;exactmatch;asthma-related traits, susceptibility to, 8
spastic paraplegia 44, autosomal recessive;exactmatch;spastic paraplegia 44, autosomal recessive
muscular dystrophy, congenital, lmna-related;exactmatch;mdcl
cerebral creatine deficiency syndrome 2;exactmatch;cerebral creatine deficiency syndrome 2
faciocardiomelic syndrome;exactmatch;faciocardiomelic syndrome
cerebral creatine deficiency syndrome 3;exactmatch;agat deficiency
aneurysm, intracranial berry, 7;exactmatch;aneurysm, intracranial berry, 7
cardiomyopathy, familial hypertrophic, 12;exactmatch;cardiomyopathy, familial hypertrophic, 12
glut1 deficiency syndrome 2;exactmatch;dystonia 18
ectodermal dysplasia and immunodeficiency 2;exactmatch;ectodermal dysplasia and immunodeficiency 2
epidermolysis bullosa simplex 5c, with pyloric atresia;exactmatch;epidermolysis bullosa simplex 5c, with pyloric atresia
cardiomyopathy, dilated, 1aa, with or without left ventricular noncompaction;exactmatch;cardiomyopathy, dilated, 1aa, with or without left ventricular noncompaction
histiocytoma, angiomatoid fibrous;exactmatch;histiocytoma, angiomatoid fibrous
aneurysm, intracranial berry, 8;exactmatch;aneurysm, intracranial berry, 8
oculoauricular syndrome;exactmatch;microphthalmia, microcornea, anterior segment dysgenesis, cataract, ocular coloboma, retinal pigment epithelium abnormalities, rod-cone dystrophy, and anomalies of the external ear
developmental and epileptic encephalopathy 4;exactmatch;developmental and epileptic encephalopathy 4
retinitis pigmentosa 29;exactmatch;retinitis pigmentosa 29
diastasis recti and weakness of the linea alba;exactmatch;diastasis recti and weakness of the linea alba
cerebroretinal microangiopathy with calcifications and cysts 1;exactmatch;cerebroretinal microangiopathy with calcifications and cysts 1
atrial fibrillation, familial, 6;exactmatch;atrial fibrillation, familial, 6
ewing sarcoma;exactmatch;askin tumor
trehalase deficiency;exactmatch;trehalase deficiency
autism, susceptibility to, 15;exactmatch;autism, susceptibility to, 15
diabetes mellitus, ketosis-prone;exactmatch;diabetes mellitus, ketosis-prone
mitochondrial dna depletion syndrome 8a (encephalomyopathic  iia with renal tubulopathy);exactmatch;mitochondrial dna depletion syndrome 8a (encephalomyopathic  iia with renal tubulopathy)
cataract 47;exactmatch;cataract 47
spastic paraplegia 39, autosomal recessive;exactmatch;nte-related motor neuron disorder
coronary heart disease, susceptibility to, 9;exactmatch;coronary heart disease, susceptibility to, 9
dystonia 16;exactmatch;dystonia 16
amyotrophic lateral sclerosis 10 with or without frontotemporal dementia;exactmatch;amyotrophic lateral sclerosis 10 with or without frontotemporal dementia
mitochondrial dna depletion syndrome 5 (encephalomyopathic with or without methylmalonic aciduria);exactmatch;mitochondrial dna depletion syndrome 5 (encephalomyopathic with or without methylmalonic aciduria)
hypouricemia, renal, 2;exactmatch;gout susceptibility 2
trichoepithelioma, multiple familial, 2;exactmatch;mft2
alopecia, neurologic defects, and endocrinopathy syndrome;exactmatch;alopecia, neurologic defects, and endocrinopathy syndrome
hypophosphatemic rickets and hyperparathyroidism;exactmatch;hypophosphatemic rickets and hyperparathyroidism
retinitis pigmentosa 41;exactmatch;retinal degeneration, autosomal recessive, prominin-related
otosclerosis 8;exactmatch;otosclerosis 8
deafness, unilateral, with delayed endolymphatic hydrops;exactmatch;deafness, unilateral, with delayed endolymphatic hydrops
cardiomyopathy, familial hypertrophic, 11;exactmatch;cardiomyopathy, familial hypertrophic, 11
maturity-onset diabetes of the young,  iia 9;exactmatch;maturity-onset diabetes of the young,  iia 9
colorectal cancer, susceptibility to, 3;exactmatch;colorectal cancer, susceptibility to, 3
myopia 15, autosomal dominant;exactmatch;myopia 15, autosomal dominant
